start_time,bank_supply_ratio,date,close,change
2022-07-04,0.00656793,2022-07-04,20226.6,0.0476900843783505
2022-07-05,0.00656768,2022-07-05,20170.0,-0.0027982953140912
2022-07-06,0.0065674,2022-07-06,20554.1,0.0190431333663856
2022-07-07,0.00656707,2022-07-07,21613.4,0.0515371629018055
2022-07-08,0.00656675,2022-07-08,21587.9,-0.0011798236279345
2022-07-09,0.00656646,2022-07-09,21580.0,-0.0003659457381218
2022-07-10,0.00656613,2022-07-10,20853.8,-0.0336515291936978
2022-07-11,0.00656587,2022-07-11,19954.3,-0.0431336255262829
2022-07-12,0.00656554,2022-07-12,19322.9,-0.0316423026615816
2022-07-13,0.0065653,2022-07-13,20220.1,0.0464319537957551
2022-07-14,0.00656504,2022-07-14,20578.6,0.0177298826415299
2022-07-15,0.00656473,2022-07-15,20823.1,0.0118812747222842
2022-07-16,0.00656442,2022-07-16,21183.5,0.0173077015429981
2022-07-17,0.00656415,2022-07-17,20794.4,-0.0183680694880449
2022-07-18,0.00656387,2022-07-18,22423.9,0.0783624437348518
2022-07-19,0.00656357,2022-07-19,23385.9,0.0429006551045982
2022-07-20,0.0065633,2022-07-20,23221.5,-0.0070298769771529
2022-07-21,0.006563,2022-07-21,23144.5,-0.0033158925995305
2022-07-22,0.00656272,2022-07-22,22675.1,-0.0202812763291495
2022-07-23,0.00656239,2022-07-23,22440.2,-0.0103593809950121
2022-07-24,0.00656205,2022-07-24,22570.6,0.0058109999019615
2022-07-25,0.00656175,2022-07-25,21300.0,-0.0562944715692094
2022-07-26,0.0065614,2022-07-26,21241.0,-0.0027699530516431
2022-07-27,0.00656105,2022-07-27,22941.1,0.0800386045854715
2022-07-28,0.00656075,2022-07-28,23836.2,0.039017309544878
2022-07-29,0.00656043,2022-07-29,23771.1,-0.0027311400307097
2022-07-30,0.00656016,2022-07-30,23629.9,-0.0059399859493248
2022-07-31,0.00655983,2022-07-31,23290.1,-0.0143800862466622
2022-08-01,0.00655954,2022-08-01,23257.6,-0.001395442698829
2022-08-02,0.0065592,2022-08-02,22975.1,-0.0121465671436433
2022-08-03,0.00655889,2022-08-03,22801.5,-0.007556006285065
2022-08-04,0.00655861,2022-08-04,22608.9,-0.00844681270969
2022-08-05,0.00655829,2022-08-05,23298.1,0.0304835706292654
2022-08-06,0.00655794,2022-08-06,22943.3,-0.0152287096372665
2022-08-07,0.0065576,2022-08-07,23167.8,0.0097849916969223
2022-08-08,0.00655729,2022-08-08,23804.4,0.0274777924533189
2022-08-09,0.00655699,2022-08-09,23140.2,-0.0279024045974694
2022-08-10,0.00655667,2022-08-10,23940.9,0.034602120984261
2022-08-11,0.00655637,2022-08-11,23917.2,-0.0009899377216395
2022-08-12,0.00655604,2022-08-12,24387.5,0.0196636730052013
2022-08-13,0.00655574,2022-08-13,24429.0,0.0017016914402869
2022-08-14,0.00655546,2022-08-14,24294.1,-0.0055221253428302
2022-08-15,0.00655515,2022-08-15,24085.2,-0.0085987955923453
2022-08-16,0.00655483,2022-08-16,23843.0,-0.0100559679803364
2022-08-17,0.00655455,2022-08-17,23333.1,-0.0213857316612843
2022-08-18,0.00655424,2022-08-18,23185.1,-0.0063429205720628
2022-08-19,0.00655386,2022-08-19,20824.9,-0.101798137596991
2022-08-20,0.00655354,2022-08-20,21127.8,0.0145450878515622
2022-08-21,0.00655323,2022-08-21,21505.6,0.0178816535559782
2022-08-22,0.00655292,2022-08-22,21387.0,-0.0055148426456363
2022-08-23,0.00655255,2022-08-23,21518.2,0.006134567728059
2022-08-24,0.00655224,2022-08-24,21354.9,-0.0075889247241869
2022-08-25,0.0065519,2022-08-25,21548.3,0.0090564694753896
2022-08-26,0.00655152,2022-08-26,20228.7,-0.0612391696792785
2022-08-27,0.00655121,2022-08-27,20023.9,-0.0101242294363947
2022-08-28,0.00655087,2022-08-28,19547.5,-0.0237915690749555
2022-08-29,0.00655053,2022-08-29,20275.5,0.0372426141450312
2022-08-30,0.00655019,2022-08-30,19803.1,-0.023299055510345
2022-08-31,0.00654987,2022-08-31,20041.5,0.012038519221738
2022-09-01,0.00654958,2022-09-01,20122.5,0.0040416136516727
2022-09-02,0.0065493,2022-09-02,19941.0,-0.0090197540067089
2022-09-03,0.00654899,2022-09-03,19820.7,-0.0060327967504136
2022-09-04,0.00654863,2022-09-04,19992.7,0.0086777964451305
2022-09-05,0.0065483,2022-09-05,19784.9,-0.0103937937347131
2022-09-06,0.006548,2022-09-06,18781.5,-0.0507154446067456
2022-09-07,0.00654769,2022-09-07,19287.0,0.0269147831642839
2022-09-08,0.00654742,2022-09-08,19309.3,0.0011562192150151
2022-09-09,0.0065471,2022-09-09,21352.0,0.1057884024796342
2022-09-10,0.00654677,2022-09-10,21639.5,0.0134647808167853
2022-09-11,0.00654637,2022-09-11,21820.3,0.0083550913838119
2022-09-12,0.00654605,2022-09-12,22386.0,0.0259253997424417
2022-09-13,0.00654576,2022-09-13,20162.5,-0.0993254712766907
2022-09-14,0.00654548,2022-09-14,20217.0,0.0027030378177308
2022-09-15,0.00654517,2022-09-15,19690.8,-0.0260276005342039
2022-09-16,0.0065449,2022-09-16,19792.5,0.0051648485587179
2022-09-17,0.00654453,2022-09-17,20102.0,0.0156372363268915
2022-09-18,0.0065442,2022-09-18,19404.5,-0.0346980399960202
2022-09-19,0.00654393,2022-09-19,19528.6,0.0063954237419154
2022-09-20,0.0065436,2022-09-20,18866.8,-0.033888758026689
2022-09-21,0.0065433,2022-09-21,18447.5,-0.0222242245637839
2022-09-22,0.00654303,2022-09-22,19392.5,0.0512264534489768
2022-09-23,0.00654274,2022-09-23,19280.7,-0.005765115379657
2022-09-24,0.00654243,2022-09-24,18911.0,-0.0191746150295373
2022-09-25,0.00654211,2022-09-25,18799.7,-0.0058854634868594
2022-09-26,0.00654179,2022-09-26,19216.3,0.0221599280839586
2022-09-27,0.00654152,2022-09-27,19070.1,-0.007608124352763
2022-09-28,0.0065412,2022-09-28,19407.3,0.0176821306652823
2022-09-29,0.00654089,2022-09-29,19582.5,0.0090275308775564
2022-09-30,0.00654053,2022-09-30,19411.7,-0.0087220732797139
2022-10-01,0.00654015,2022-10-01,19304.0,-0.0055482003121829
2022-10-02,0.00653981,2022-10-02,19049.4,-0.0131889763779526
2022-10-03,0.00653948,2022-10-03,19622.0,0.0300586895125305
2022-10-04,0.00653914,2022-10-04,20333.0,0.0362348384466415
2022-10-05,0.00653876,2022-10-05,20150.0,-0.0090001475434023
2022-10-06,0.00653842,2022-10-06,19954.0,-0.0097270471464019
2022-10-07,0.00653806,2022-10-07,19520.9,-0.0217049213190336
2022-10-08,0.00653769,2022-10-08,19406.2,-0.0058757536793898
2022-10-09,0.00653735,2022-10-09,19430.0,0.0012264121775513
2022-10-10,0.00653699,2022-10-10,19124.0,-0.0157488419969119
2022-10-11,0.00653666,2022-10-11,19055.0,-0.003608031792512
2022-10-12,0.00653637,2022-10-12,19148.0,0.004880608764104
2022-10-13,0.00653606,2022-10-13,19365.5,0.0113588886567788
2022-10-14,0.00653573,2022-10-14,19164.6,-0.0103741189228268
2022-10-15,0.00653541,2022-10-15,19060.4,-0.0054371080012104
2022-10-16,0.0065351,2022-10-16,19251.9,0.0100470084573252
2022-10-17,0.00653478,2022-10-17,19540.6,0.0149959224803783
2022-10-18,0.00653448,2022-10-18,19320.9,-0.0112432576277082
2022-10-19,0.00653416,2022-10-19,19116.7,-0.010568865839583
2022-10-20,0.00653385,2022-10-20,19034.7,-0.0042894432616508
2022-10-21,0.00653352,2022-10-21,19150.9,0.0061046404724003
2022-10-22,0.00653323,2022-10-22,19195.1,0.0023079855254843
2022-10-23,0.0065329,2022-10-23,19560.7,0.0190465274992055
2022-10-24,0.00653261,2022-10-24,19318.1,-0.0124024191363295
2022-10-25,0.00653235,2022-10-25,20068.3,0.0388340468265513
2022-10-26,0.00653202,2022-10-26,20758.3,0.0343825834774245
2022-10-27,0.00653173,2022-10-27,20285.5,-0.0227764315960362
2022-10-28,0.00653139,2022-10-28,20582.8,0.0146557886174853
2022-10-29,0.00653109,2022-10-29,20796.7,0.0103921721048643
2022-10-30,0.0065308,2022-10-30,20615.6,-0.0087081123447471
2022-10-31,0.00653043,2022-10-31,20482.0,-0.0064805293079026
2022-11-01,0.00653013,2022-11-01,20472.1,-0.000483351235231
2022-11-02,0.00652987,2022-11-02,20140.1,-0.0162171931555629
2022-11-03,0.00652952,2022-11-03,20199.7,0.0029592703114682
2022-11-04,0.00652924,2022-11-04,21137.6,0.0464313826442965
2022-11-05,0.00652892,2022-11-05,21289.9,0.0072051699341459
2022-11-06,0.00652863,2022-11-06,20900.0,-0.0183138483506264
2022-11-07,0.00652833,2022-11-07,20578.6,-0.015377990430622
2022-11-08,0.00652798,2022-11-08,18534.0,-0.0993556412972699
2022-11-09,0.00652766,2022-11-09,15905.0,-0.1418474155605913
2022-11-10,0.00652735,2022-11-10,17588.0,0.1058157812008802
2022-11-11,0.00652707,2022-11-11,17058.3,-0.0301171253127132
2022-11-12,0.00652671,2022-11-12,16806.9,-0.014737693674047
2022-11-13,0.00652644,2022-11-13,16321.2,-0.0288988451171841
2022-11-14,0.00652618,2022-11-14,16605.2,0.0174006813224518
2022-11-15,0.00652585,2022-11-15,16888.3,0.0170488762556306
2022-11-16,0.00652553,2022-11-16,16650.6,-0.014074832872462
2022-11-17,0.00662935,2022-11-17,16682.1,0.0018918237180642
2022-11-18,0.00355004,2022-11-18,16689.7,0.0004555781346473
2022-11-19,0.00354987,2022-11-19,16692.9,0.0001917350221993
2022-11-20,0.00354969,2022-11-20,16272.6,-0.0251783692468056
2022-11-21,0.00354954,2022-11-21,15773.0,-0.0307019161043717
2022-11-22,0.0035494,2022-11-22,16220.6,0.0283776073036201
2022-11-23,0.00354924,2022-11-23,16595.8,0.0231310802313107
2022-11-24,0.00354909,2022-11-24,16592.4,-0.0002048711119679
2022-11-25,0.00354895,2022-11-25,16516.1,-0.0045984908753406
2022-11-26,0.00354882,2022-11-26,16449.2,-0.0040505930576829
2022-11-27,0.00354866,2022-11-27,16422.6,-0.0016170999197531
2022-11-28,0.0035485,2022-11-28,16204.5,-0.0132804793394467
2022-11-29,0.00354835,2022-11-29,16433.2,0.0141133635718473
2022-11-30,0.00354819,2022-11-30,17153.3,0.0438198281527637
2022-12-01,0.00354802,2022-12-01,16970.5,-0.0106568415406947
