start_time,date,nvm,close,change
2022-08-03,2022-08-03,0.45960736,22801.5,-0.007556006285065
2022-08-04,2022-08-04,0.47864789,22608.9,-0.00844681270969
2022-08-05,2022-08-05,0.49822232,23298.1,0.0304835706292654
2022-08-06,2022-08-06,0.57858689,22943.3,-0.0152287096372665
2022-08-07,2022-08-07,0.8829548,23167.8,0.0097849916969223
2022-08-08,2022-08-08,0.53829739,23804.4,0.0274777924533189
2022-08-09,2022-08-09,0.49201596,23140.2,-0.0279024045974694
2022-08-10,2022-08-10,0.4330981,23940.9,0.034602120984261
2022-08-11,2022-08-11,0.45100397,23917.2,-0.0009899377216395
2022-08-12,2022-08-12,0.51075393,24387.5,0.0196636730052013
2022-08-13,2022-08-13,0.6895605,24429.0,0.0017016914402869
2022-08-14,2022-08-14,0.70014668,24294.1,-0.0055221253428302
2022-08-15,2022-08-15,0.55188955,24085.2,-0.0085987955923453
2022-08-16,2022-08-16,0.43242889,23843.0,-0.0100559679803364
2022-08-17,2022-08-17,0.53912353,23333.1,-0.0213857316612843
2022-08-18,2022-08-18,0.43623166,23185.1,-0.0063429205720628
2022-08-19,2022-08-19,0.40353281,20824.9,-0.101798137596991
2022-08-20,2022-08-20,0.57427909,21127.8,0.0145450878515622
2022-08-21,2022-08-21,0.70404978,21505.6,0.0178816535559782
2022-08-22,2022-08-22,0.52627638,21387.0,-0.0055148426456363
2022-08-23,2022-08-23,0.47468262,21518.2,0.006134567728059
2022-08-24,2022-08-24,0.48389479,21354.9,-0.0075889247241869
2022-08-25,2022-08-25,0.49222814,21548.3,0.0090564694753896
2022-08-26,2022-08-26,0.45142463,20228.7,-0.0612391696792785
2022-08-27,2022-08-27,0.5444596,20023.9,-0.0101242294363947
2022-08-28,2022-08-28,0.63538135,19547.5,-0.0237915690749555
2022-08-29,2022-08-29,0.44376081,20275.5,0.0372426141450312
2022-08-30,2022-08-30,0.42258379,19803.1,-0.023299055510345
2022-08-31,2022-08-31,0.45359868,20041.5,0.012038519221738
2022-09-01,2022-09-01,0.41401388,20122.5,0.0040416136516727
2022-09-02,2022-09-02,0.39002682,19941.0,-0.0090197540067089
2022-09-03,2022-09-03,0.42952019,19820.7,-0.0060327967504136
2022-09-04,2022-09-04,0.64635875,19992.7,0.0086777964451305
2022-09-05,2022-09-05,0.43470471,19784.9,-0.0103937937347131
2022-09-06,2022-09-06,0.41975878,18781.5,-0.0507154446067456
2022-09-07,2022-09-07,0.40385345,19287.0,0.0269147831642839
2022-09-08,2022-09-08,0.42831191,19309.3,0.0011562192150151
2022-09-09,2022-09-09,0.38497326,21352.0,0.1057884024796342
2022-09-10,2022-09-10,0.52029726,21639.5,0.0134647808167853
2022-09-11,2022-09-11,0.56908578,21820.3,0.0083550913838119
2022-09-12,2022-09-12,0.44406316,22386.0,0.0259253997424417
2022-09-13,2022-09-13,0.43204118,20162.5,-0.0993254712766907
2022-09-14,2022-09-14,0.40135986,20217.0,0.0027030378177308
2022-09-15,2022-09-15,0.4168587,19690.8,-0.0260276005342039
2022-09-16,2022-09-16,0.43685948,19792.5,0.0051648485587179
2022-09-17,2022-09-17,0.44773465,20102.0,0.0156372363268915
2022-09-18,2022-09-18,0.62416182,19404.5,-0.0346980399960202
2022-09-19,2022-09-19,0.45152622,19528.6,0.0063954237419154
2022-09-20,2022-09-20,0.39157261,18866.8,-0.033888758026689
2022-09-21,2022-09-21,0.42821772,18447.5,-0.0222242245637839
2022-09-22,2022-09-22,0.50153218,19392.5,0.0512264534489768
2022-09-23,2022-09-23,0.38396895,19280.7,-0.005765115379657
2022-09-24,2022-09-24,0.55689229,18911.0,-0.0191746150295373
2022-09-25,2022-09-25,0.58031523,18799.7,-0.0058854634868594
2022-09-26,2022-09-26,0.43006694,19216.3,0.0221599280839586
2022-09-27,2022-09-27,0.40560738,19070.1,-0.007608124352763
2022-09-28,2022-09-28,0.50381092,19407.3,0.0176821306652823
2022-09-29,2022-09-29,0.48399436,19582.5,0.0090275308775564
2022-09-30,2022-09-30,0.3826936,19411.7,-0.0087220732797139
2022-10-01,2022-10-01,0.48121053,19304.0,-0.0055482003121829
2022-10-02,2022-10-02,0.52389739,19049.4,-0.0131889763779526
2022-10-03,2022-10-03,0.38958815,19622.0,0.0300586895125305
2022-10-04,2022-10-04,0.45025475,20333.0,0.0362348384466415
2022-10-05,2022-10-05,0.49129137,20150.0,-0.0090001475434023
2022-10-06,2022-10-06,0.4367882,19954.0,-0.0097270471464019
2022-10-07,2022-10-07,0.42486117,19520.9,-0.0217049213190336
2022-10-08,2022-10-08,0.5627764,19406.2,-0.0058757536793898
2022-10-09,2022-10-09,0.62922629,19430.0,0.0012264121775513
2022-10-10,2022-10-10,0.44348179,19124.0,-0.0157488419969119
2022-10-11,2022-10-11,0.45699543,19055.0,-0.003608031792512
2022-10-12,2022-10-12,0.48602181,19148.0,0.004880608764104
2022-10-13,2022-10-13,0.41873368,19365.5,0.0113588886567788
2022-10-14,2022-10-14,0.38524485,19164.6,-0.0103741189228268
