start_time,date,sopr_ratio,close,change
2022-02-20,2022-02-20,1.6548003130011977,,
2022-02-21,2022-02-21,1.5095342663033198,,
2022-02-22,2022-02-22,1.1709058036582458,,
2022-02-23,2022-02-23,1.827476375428064,,
2022-02-24,2022-02-24,1.3421327075172884,,
2022-02-25,2022-02-25,1.125557969385098,,
2022-02-26,2022-02-26,1.2848726774146098,,
2022-02-27,2022-02-27,1.335161221494818,,
2022-02-28,2022-02-28,1.2154759071835977,,
2022-03-01,2022-03-01,1.0644362096864304,,
2022-03-02,2022-03-02,1.8550603695391297,,
2022-03-03,2022-03-03,1.5520444389995245,,
2022-03-04,2022-03-04,1.265590049566905,,
2022-03-05,2022-03-05,1.5018931538646518,,
2022-03-06,2022-03-06,1.563578685272112,,
2022-03-07,2022-03-07,1.6647412167983469,,
2022-03-08,2022-03-08,1.3011175442681548,,
2022-03-09,2022-03-09,1.458174506260785,,
2022-03-10,2022-03-10,1.5009032619062264,,
2022-03-11,2022-03-11,3.227073749485001,,
2022-03-12,2022-03-12,1.1784777042374757,,
2022-03-13,2022-03-13,1.5179100350785242,,
2022-03-14,2022-03-14,1.6029534904071316,,
2022-03-15,2022-03-15,1.2605183421618862,,
2022-03-16,2022-03-16,1.7269541039686962,,
2022-03-17,2022-03-17,1.662068669518081,,
2022-03-18,2022-03-18,1.3011250930249838,,
2022-03-19,2022-03-19,1.656857256995879,,
2022-03-20,2022-03-20,1.1368796082401775,,
2022-03-21,2022-03-21,1.1739367822010085,,
2022-03-22,2022-03-22,1.2452135128524435,,
2022-03-23,2022-03-23,1.3698340796122073,,
2022-03-24,2022-03-24,1.0842770218741362,,
2022-03-25,2022-03-25,3.4325268566727747,,
2022-03-26,2022-03-26,1.1418045735923046,,
2022-03-27,2022-03-27,1.3926655742740734,,
2022-03-28,2022-03-28,1.4023407258648772,,
2022-03-29,2022-03-29,3.2144969139763964,,
2022-03-30,2022-03-30,1.17528894304786,,
2022-03-31,2022-03-31,1.2155007012672832,,
2022-04-01,2022-04-01,1.4421864370931154,,
2022-04-02,2022-04-02,1.010017363343391,,
2022-04-03,2022-04-03,1.5692477614697296,,
2022-04-04,2022-04-04,1.0447882254325729,,
2022-04-05,2022-04-05,1.2131435703067202,,
2022-04-06,2022-04-06,1.2005511932878754,,
2022-04-07,2022-04-07,1.5595962063295363,,
2022-04-08,2022-04-08,1.2215651156082044,,
2022-04-09,2022-04-09,1.3703510982524802,,
2022-04-10,2022-04-10,1.3895212408953608,,
2022-04-11,2022-04-11,1.443300092480098,,
2022-04-12,2022-04-12,1.6574959794090047,,
2022-04-13,2022-04-13,0.983843386235206,,
2022-04-14,2022-04-14,2.4449048332085503,,
2022-04-15,2022-04-15,1.162548631489656,,
2022-04-16,2022-04-16,1.1104576575752896,,
2022-04-17,2022-04-17,1.3099431275524491,,
2022-04-18,2022-04-18,1.0192024911644346,,
2022-04-19,2022-04-19,1.190184184570158,,
2022-04-20,2022-04-20,1.35785308527728,,
2022-04-21,2022-04-21,2.4941160111462035,,
2022-04-22,2022-04-22,0.7811235231004888,,
2022-04-23,2022-04-23,1.4676642851005772,,
2022-04-24,2022-04-24,1.0449982916729632,,
2022-04-25,2022-04-25,1.0668696096019776,,
2022-04-26,2022-04-26,0.913734019480752,,
2022-04-27,2022-04-27,1.0524760461704212,,
2022-04-28,2022-04-28,1.02665024428258,,
2022-04-29,2022-04-29,0.9045094593902244,,
2022-04-30,2022-04-30,0.9767516497632546,,
2022-05-01,2022-05-01,1.4112551410790148,,
2022-05-02,2022-05-02,0.8138026723008788,,
2022-05-03,2022-05-03,0.8220216609816563,,
