start_time,date,market_premium,close,change
2023-08-23,2023-08-23,-23.626819088223595,26419.2,0.0143908095406306
2023-08-24,2023-08-24,-25.101762884355978,26164.6,-0.0096369307170542
2023-08-25,2023-08-25,-26.131168231885827,26051.7,-0.0043149904833247
2023-08-28,2023-08-28,-25.242223648690157,26106.5,0.000720646128252
2023-08-29,2023-08-29,-17.639344591369188,27700.1,0.0610422691666825
2023-08-30,2023-08-30,-19.886309783388224,27290.4,-0.0147905603228868
2023-08-31,2023-08-31,-19.9045818352514,25928.0,-0.0499223170052472
2023-09-01,2023-09-01,-20.47155371454369,25795.6,-0.005106448626967
2023-09-05,2023-09-05,-20.12497445324857,25779.7,-0.0013287363446191
2023-09-06,2023-09-06,-19.787918616907028,25747.4,-0.0012529238121467
2023-09-07,2023-09-07,-18.379179263659896,26240.7,0.0191592160761862
2023-09-08,2023-09-08,-17.262565770355508,25899.8,-0.0129912692877858
2023-09-11,2023-09-11,-17.650527294072482,25150.4,-0.02625017422682
2023-09-12,2023-09-12,-17.206973780935797,25825.8,0.0268544436668998
2023-09-13,2023-09-13,-18.616322716499145,26209.9,0.0148727241750499
2023-09-14,2023-09-14,-18.501620808158524,26510.3,0.0114613180515759
2023-09-15,2023-09-15,-19.53051692164316,26591.1,0.0030478719592006
2023-09-18,2023-09-18,-20.133894945516573,26749.9,0.0088895761516469
2023-09-19,2023-09-19,-18.988389065368505,27196.0,0.0166766978568144
2023-09-20,2023-09-20,-20.423149610688085,27107.7,-0.003246801000147
2023-09-21,2023-09-21,-20.511980514519617,26552.6,-0.020477576481959
2023-09-22,2023-09-22,-20.966239106634387,26566.7,0.0005310214442277
2023-09-25,2023-09-25,-23.010000002453683,26290.5,0.0022148183162806
2023-09-26,2023-09-26,-23.0099999962436,26208.8,-0.0031075863905213
2023-09-27,2023-09-27,-23.18000000082884,26359.6,0.0057537926192727
2023-09-28,2023-09-28,-23.070000002968705,27011.8,0.024742408837767
2023-09-29,2023-09-29,-20.740000001175357,26890.9,-0.0044758216779332
2023-10-02,2023-10-02,-22.660000003296965,27477.6,-0.0180048174859014
2023-10-03,2023-10-03,-22.660000000251824,27412.0,-0.0023873991906133
2023-10-04,2023-10-04,-19.899999997188253,27759.8,0.0126878739238289
2023-10-05,2023-10-05,-18.92000000162346,27398.4,-0.0130188257840473
2023-10-06,2023-10-06,-17.570000003610332,27916.3,0.0189025636533519
2023-10-09,2023-10-09,-16.44000000415673,27578.3,-0.0115729789399739
2023-10-10,2023-10-10,-16.44000000287139,27381.2,-0.0071469234869443
2023-10-11,2023-10-11,-16.549999998414933,26864.5,-0.0188706119527267
2023-10-12,2023-10-12,-16.58000000455988,26744.0,-0.0044854733942563
2023-10-13,2023-10-13,-15.880000002690176,26849.8,0.0039560275201913
2023-10-16,2023-10-16,-14.91894880868697,28486.3,0.0496134827817449
2023-10-17,2023-10-17,-13.180371381725454,28381.9,-0.0036649196280316
2023-10-18,2023-10-18,-12.745548789454784,28307.1,-0.0026354824729846
2023-10-19,2023-10-19,-13.919476505525708,28696.9,0.0137703968262381
2023-10-20,2023-10-20,-11.294347937567906,29653.0,0.0333171875707829
2023-10-23,2023-10-23,-16.799735379314463,33074.0,0.1031469406133782
2023-10-24,2023-10-24,-14.135086188002488,33917.0,0.025488298965955
2023-10-25,2023-10-25,-13.537596114949924,34487.7,0.0168263702568032
2023-10-26,2023-10-26,-16.006205865409562,34154.0,-0.0096759134416037
2023-10-27,2023-10-27,-17.650854112484062,33893.1,-0.0076389295543713
2023-10-30,2023-10-30,-14.475038620153482,34483.8,-0.0012974751365533
2023-10-31,2023-10-31,-13.968193115006356,34651.4,0.0048602532203527
2023-11-01,2023-11-01,-15.405766656867382,35437.4,0.0226830661964596
2023-11-02,2023-11-02,-13.39032225014768,34940.1,-0.0140331965663396
2023-11-03,2023-11-03,-13.203816250190334,34700.4,-0.0068603123631585
2023-11-06,2023-11-06,-14.337257605855314,35057.4,0.0009107650140611
2023-11-07,2023-11-07,-11.593529831462424,35406.5,0.009957954668629
2023-11-08,2023-11-08,-13.0727059877356,35626.7,0.0062191970400913
2023-11-09,2023-11-09,-11.67803372038174,36719.5,0.0306736239954865
2023-11-10,2023-11-10,-10.485716337362284,37330.4,0.0166369367774616
2023-11-13,2023-11-13,-11.146376919860757,36486.2,-0.0161599546992761
2023-11-14,2023-11-14,-14.03269925167695,35559.0,-0.0254123476821372
2023-11-15,2023-11-15,-12.439420184693027,37885.6,0.0654292865378665
2023-11-16,2023-11-16,-10.640450784613044,36176.0,-0.0451253246616127
2023-11-17,2023-11-17,-11.776305226977655,36621.9,0.0123258513931889
2023-11-20,2023-11-20,-11.34936602112625,37462.5,0.0023170010621818
2023-11-21,2023-11-21,-8.936947972659826,35737.0,-0.0460593927260594
2023-11-22,2023-11-22,-9.251438845579774,37413.4,0.0469093656434507
2023-11-24,2023-11-24,-7.726656996371584,37706.3,0.0110472645953938
2023-11-27,2023-11-27,-9.826854806912024,37234.3,-0.0054383392230866
2023-11-28,2023-11-28,-7.056592774644333,37812.1,0.0155179498473181
2023-11-29,2023-11-29,-8.600143247904924,37837.1,0.0006611640189251
2023-11-30,2023-11-30,-10.56495785404791,37716.8,-0.0031794191415303
2023-12-01,2023-12-01,-8.494278507592924,38660.0,0.0250074237475077
2023-12-04,2023-12-04,-10.602451554020742,41993.1,0.0503605579831765
2023-12-05,2023-12-05,-11.132653155485883,44081.7,0.0497367424648333
2023-12-06,2023-12-06,-10.940460552601596,43774.8,-0.0069620726968332
2023-12-07,2023-12-07,-9.944950582738576,43296.0,-0.0109377998300392
2023-12-08,2023-12-08,-10.297645945363964,44209.5,0.0210989467849223
2023-12-11,2023-12-11,-12.129508775617726,41271.0,-0.0579548048390778
2023-12-12,2023-12-12,-10.05927276729558,41515.0,0.00591214169756
2023-12-13,2023-12-13,-7.327746590136474,42875.0,0.0327592436468746
2023-12-14,2023-12-14,-9.432847394199085,43032.4,0.003671137026239
2023-12-15,2023-12-15,-9.208824820185024,41968.0,-0.0247348509495171
2023-12-18,2023-12-18,-9.571033577020373,42671.7,0.0308045366154143
2023-12-19,2023-12-19,-7.703062577370734,42298.3,-0.008750530210889
2023-12-20,2023-12-20,-8.303720258120551,43708.9,0.0333488579919287
2023-12-21,2023-12-21,-7.595806505208614,43896.3,0.004287456330404
2023-12-22,2023-12-22,-6.28821051256212,43999.2,0.0023441611251973
