start_time,date,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2021-02-07,2021-02-07,57222.65299257,0.00027567,7775454239.239292,37.45849872,432294252.1374641,2.08259134,659725311.7705616,3.17824772,2308159.42430505,0.01111963,141254616.32070154,0.68049862,27436938.60470231,0.13217833,1794098080.4988785,8.64312471,165918555.39634198,0.79931793,3284401152.314096,15.82270728,1645410817.2522168,7.92681908,408660037.7528,1.96873276,4420497615.191317,21.29588821,38849.25,-0.0101985908624662
2021-02-08,2021-02-08,82518.24976739,0.00039753,7780086684.818792,37.48084681,431780713.1050488,2.08011908,659859262.3761225,3.17889568,2090366.4160497,0.01007042,144764558.63700277,0.69740846,25305115.73472904,0.1219083,1792018143.2092545,8.63311171,166820409.31597066,0.80366331,3286256736.652171,15.83165976,1645690840.498902,7.92817468,407506051.6615939,1.96317503,4415238356.183568,21.27056923,46451.32,0.195681255107885
2021-02-09,2021-02-09,162974.12416972,0.00078541,7784830809.681921,37.51685166,432880630.6547952,2.08614918,659673725.6448674,3.17911614,2151138.16224662,0.01036682,141591806.9221236,0.68236278,24436893.18306593,0.11776689,1788478106.2452874,8.61907849,166833769.9739289,0.80400948,3284635149.773493,15.829396,1646245770.8273067,7.93362886,405247769.4418923,1.9529802,4413055595.785657,21.26750808,46492.54,0.0008873805954277
2021-02-10,2021-02-10,146890.1939354,0.00070785,7789763848.377814,37.53800704,431669860.8993161,2.08016913,659299123.2650614,3.17708927,2488389.80858676,0.01199127,140698064.22733253,0.67800835,23435587.97041307,0.1129335,1785036295.7374518,8.6018917,166913926.14644974,0.80433968,3288956613.184473,15.84911672,1645926296.817158,7.93153607,404756643.2058667,1.95047732,4412579802.060721,21.26373211,44850.0,-0.0353291087129247
2021-02-11,2021-02-11,107247.22175244,0.00051668,7794336258.454777,37.55007818,430468943.8570184,2.07383181,659384541.2301326,3.17665806,2544798.6476088,0.01225985,142414074.66463828,0.68609558,22882562.88993958,0.11023928,1785178297.3817782,8.60029416,167422620.1813416,0.80657702,3289637493.429163,15.84819297,1645749566.1106594,7.92858081,404973204.92345935,1.95100327,4412077569.121919,21.25567235,48060.21,0.0715765886287624
2021-02-12,2021-02-12,112507.02331976,0.00054193,7805336035.758346,37.59699277,433254781.7585164,2.08691552,658373352.2392917,3.17127386,2479752.41462327,0.01194455,145326830.88788334,0.70001494,22764184.68657907,0.10965125,1779165620.7947974,8.56994198,165223884.92170748,0.7958557,3295168815.079516,15.87227476,1645048785.7964284,7.92392371,403695292.3000828,1.94453242,4404583007.097937,21.21613659,47361.03,-0.0145480013508055
2021-02-13,2021-02-13,66498.91299205,0.00032014,7810586910.031453,37.60230976,434414978.8072991,2.09139298,657232660.9656519,3.16409847,3014776.96912704,0.01451396,149487919.7471046,0.71967589,21621844.29040026,0.10409349,1778328968.5272422,8.56136389,163098766.84812364,0.78520224,3288016800.499577,15.82941559,1655057972.7456932,7.96790347,406549795.9516588,1.95724233,4404083638.850118,21.20246777,47221.62,-0.0029435592933683
2021-02-14,2021-02-14,51636.86503183,0.0002485,7814041467.790552,37.60510089,433130114.4237405,2.08444014,658754452.6185882,3.17025802,3436667.47799041,0.01653897,152651070.0846438,0.73463379,21422212.53237962,0.10309447,1774565935.1630294,8.54010454,160969908.27410802,0.77466823,3292164801.370476,15.8435542,1655823702.2779813,7.96865715,410208283.5824904,1.97412875,4401985977.98744,21.18457235,48655.21,0.0303587636341149
2021-02-15,2021-02-15,168811.37660494,0.00081221,7819484277.041001,37.62206788,432515464.0653602,2.08097178,647042458.7779299,3.11313054,3492680.4822313,0.01680442,150180870.0390997,0.72256874,22022680.74075888,0.10595824,1782382757.8132317,8.57561992,161889616.65786183,0.77890331,3297965504.1886363,15.86757869,1653483436.4739082,7.95544359,412121163.0833849,1.98284821,4401552463.411785,21.17729248,47981.58,-0.0138449715868043
2021-02-16,2021-02-16,71339.23748852,0.00034318,7822785690.233292,37.63234113,431395418.5640251,2.07527346,647973916.837264,3.11714732,2692849.64769571,0.01295424,151043278.4955108,0.72660973,23800340.97370042,0.11449407,1781642146.117059,8.57077871,162339596.62582773,0.78095187,3295304882.478493,15.85241401,1652913837.8569622,7.95151751,413879911.3994133,1.99101326,4401557880.779749,21.17416151,49197.94,0.0253505616113516
2021-02-17,2021-02-17,103867.03836455,0.00049961,7827874679.107593,37.65279036,430622691.21359,2.07133438,647670343.5036532,3.11535336,2342805.93555072,0.01126911,152316340.27876988,0.73265547,23846487.49970676,0.11470378,1779864961.281831,8.56131262,162478177.4175713,0.78153484,3293958983.5526304,15.84424281,1653305763.6153204,7.95255135,414436972.3895704,1.99347959,4400804946.942937,21.16827273,52194.62,0.0609106804065373
2021-02-18,2021-02-18,88126.14342188,0.00042394,7832468907.004611,37.67876364,430810064.1731678,2.07244877,647007738.2581942,3.11248623,2220453.939992,0.01068168,153224930.95238912,0.73710168,22450382.33503563,0.10799949,1775310035.887704,8.54028124,164328402.0684401,0.79051588,3296251667.4710217,15.85690144,1652596317.1705425,7.94995636,412968887.8404248,1.98662226,4397763244.666284,21.15581738,51619.7,-0.0110149283585166
2021-02-19,2021-02-19,104355.64685373,0.00050212,7840311308.902924,37.72481961,431845850.4170778,2.0778903,642541703.6313758,3.09168462,1579166.23093554,0.00759839,153792426.99142006,0.73999505,22977412.10146719,0.11055922,1772875020.7952886,8.53045086,163148559.88014838,0.78501347,3298707081.8073144,15.87221791,1649807543.0662563,7.93829346,411581751.6548306,1.98038658,4393627221.106784,21.1405884,56004.1,0.0849365649161075
2021-02-20,2021-02-20,125821.45297277,0.00060547,7846504355.35314,37.75875436,430118065.4606021,2.06980353,628234159.2087084,3.0231729,2078601.46268191,0.01000259,153856415.35317495,0.74038404,22788431.81242017,0.10966193,1784250827.5715585,8.58612774,163902422.14234477,0.78872719,3297103116.8557773,15.86623814,1649880833.2811725,7.93951577,410958405.88795096,1.97760389,4390821446.414234,21.12940246,55917.41,-0.0015479223842539
2021-02-21,2021-02-21,63018.05840928,0.0003032,7850344315.319778,37.77020088,427438677.0450324,2.05652696,628918277.9757403,3.02590163,2628381.41624359,0.01264588,155460631.7249005,0.74796455,22852925.2554451,0.10995181,1755240842.453407,8.44495433,163749147.6019324,0.78784292,3318038068.1042547,15.96400862,1656533983.4610922,7.97004804,412880076.4240968,1.98648146,4390343483.438781,21.12316972,57487.43,0.0280774806987662
2021-02-22,2021-02-22,82759.52425753,0.00039811,7854315912.190398,37.78280455,432663406.1044903,2.08130626,629997235.6963714,3.03057105,2987760.17948984,0.01437247,155372269.78731978,0.74741074,23110614.4337729,0.11117249,1749660185.1264937,8.41665519,163764611.26760027,0.78778169,3320706565.770179,15.97409737,1658869683.6048627,7.9799119,406421865.72340447,1.95507261,4390117272.357974,21.11844554,54121.1,-0.0585576707812472
