start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,mean,std,z-score,close,change
2021-01-16 22:14:00,29.58,20.74202878,0.0828564,0.05811478,24.38953333333173,12.360030053576416,0.4199396477330073,,
2021-01-16 22:15:00,21.43,16.10582077,0.05970735,0.04488,24.375299999998727,12.360974471143937,-0.2382740945606173,,
2021-01-16 22:16:00,18.72,17.40631435,0.05214069,0.04848347,24.326433333331952,12.35423297985968,-0.4538066703511068,,
2021-01-16 22:17:00,34.23,26.55499865,0.09547827,0.07408613,24.360099999998543,12.367450630872565,0.7980545299581359,,
2021-01-16 22:18:00,42.68,31.924997,0.11905157,0.08907829,24.361833333331937,12.369989859981168,1.4808554310889266,,
2021-01-16 22:19:00,29.66,16.39890922,0.08297854,0.04589556,24.362866666665457,12.37042088309808,0.4282096287097319,,
2021-01-16 22:20:00,39.42,26.2559241,0.11009328,0.07335524,24.411866666665688,12.400916455865822,1.2102438869536325,,
2021-01-16 22:21:00,36.53,23.80411945,0.1018406,0.06638615,24.467866666665845,12.41762481861906,0.971372022389348,,
2021-01-16 22:22:00,44.23,31.90759675,0.12337476,0.08903335,24.511499999999067,12.464059075817357,1.5820287660749752,,
2021-01-16 22:23:00,42.13,25.59920586,0.11749449,0.07142541,24.533233333332465,12.48913520650011,1.4089659832899482,,
2021-01-16 22:24:00,44.35,31.25311314,0.12355258,0.08709834,24.68106666666572,12.460216189423804,1.5785386894032556,,
2021-01-16 22:25:00,52.84,33.7354713,0.14725866,0.09406672,24.78113333333245,12.565320594970515,2.2330402519055976,,
2021-01-16 22:26:00,51.89,33.6728914,0.1447995,0.09401226,24.854333333332324,12.65903111556364,2.13568214027286,,
2021-01-16 22:27:00,36.55,18.03833556,0.10202871,0.05037973,24.87956666666588,12.674817162885777,0.920757529150584,,
2021-01-16 22:28:00,28.39,13.73554029,0.07909391,0.03828253,24.87243333333249,12.672228414483635,0.2775807499371718,,
2021-01-16 22:29:00,40.6,25.09757272,0.11334007,0.07009339,24.90586666666592,12.700510256868116,1.2357088822354272,,
2021-01-16 22:30:00,14.84,-0.16478124,0.04130041,-0.00045879,24.843033333332667,12.703535117456877,-0.7874212367537563,,
2021-01-16 22:31:00,28.57,10.47566872,0.07928843,0.02908703,24.82353333333236,12.693270997301791,0.2951537604029748,,
2021-01-16 22:32:00,39.42,19.02105166,0.10943865,0.05283656,24.853033333332665,12.716932769437992,1.1454779962095454,,
2021-01-16 22:33:00,39.76,20.38852871,0.11049239,0.05668989,24.860766666666212,12.7253153167967,1.170834117852281,,
2021-01-16 22:34:00,28.88,2.0026698,0.08024882,0.00556897,24.841766666666373,12.715006245571672,0.3175958592029826,,
2021-01-16 22:35:00,42.85,19.63136626,0.11931161,0.05469695,24.884433333332804,12.753957796587231,1.408626792812072,,
2021-01-16 22:36:00,37.37,13.73091615,0.10400455,0.03823969,24.912666666666045,12.772238637828776,0.97534454895306,,
2021-01-16 22:37:00,45.95,16.86705387,0.12790596,0.04698897,25.008466666666013,12.821957923769313,1.633255502618101,,
2021-01-16 22:38:00,46.59,23.55787185,0.12962677,0.06558677,25.09203333333251,12.880707756430436,1.6690050790054658,,
2021-01-16 22:39:00,44.54,17.88882778,0.12370545,0.04972123,25.21893333333273,12.884162227967696,1.4995982140559332,,
2021-01-16 22:40:00,42.81,17.26813232,0.11904802,0.04805412,25.304866666666157,12.915296587199046,1.355379895083788,,
2021-01-16 22:41:00,32.01,4.22722487,0.08895195,0.01175602,25.31826666666621,12.920176321661172,0.5179289482384877,,
2021-01-16 22:42:00,33.83,6.2003907,0.09398457,0.01723879,25.315533333332667,12.918282139160285,0.6591020829972978,,
2021-01-16 22:43:00,54.43,31.21495745,0.1513721,0.08686614,25.41273333333277,13.027182509762616,2.227439942974744,,
2021-01-16 22:44:00,40.82,40.38177627,0.1134552,0.11223856,25.45646666666609,13.056875359852867,1.1766623261621632,,
2021-01-16 22:45:00,42.88,18.28138706,0.11936652,0.05092537,25.5061666666662,13.094796752099503,1.3267738065921668,,
2021-01-16 22:46:00,40.56,15.43155032,0.11279378,0.04294377,25.549299999999736,13.12306406846824,1.1438410969940769,,
2021-01-16 22:47:00,39.16,14.42732882,0.10850408,0.04000247,25.579899999999903,13.144115956231948,1.03316952202947,,
2021-01-16 22:48:00,27.23,2.57860057,0.07531181,0.00713667,25.578833333333023,13.14396852810366,0.1256216235710356,,
2021-01-16 22:49:00,38.01,15.52993464,0.10522382,0.04301857,25.63329999999958,13.161560229278448,0.940367234917022,,
2021-01-16 22:50:00,52.92,28.23346317,0.14675838,0.07835098,25.70806666666642,13.2526356410217,2.0533223783126435,,
2021-01-16 22:51:00,43.24,13.50353485,0.12008306,0.03753203,25.78803333333305,13.285873597789733,1.3135731375293451,,
2021-01-16 22:52:00,52.07,18.12577212,0.14452151,0.0503559,25.854799999999425,13.36747588984498,1.961118180876299,,
2021-01-16 22:53:00,46.83,17.2554806,0.1301048,0.04797919,25.876233333332543,13.39600005738215,1.564180843304822,,
2021-01-16 22:54:00,26.24,0.84292769,0.07285952,0.00234217,25.876933333332417,13.39601360594549,0.0271025901695444,,
2021-01-16 22:55:00,24.59,-1.88527086,0.06829309,-0.00523976,25.842366666665768,13.385872928043325,-0.0935588342574257,,
2021-01-16 22:56:00,43.08,16.49130505,0.11938234,0.04573401,25.87326666666544,13.414994730062926,1.2826492801204288,,
2021-01-16 22:57:00,13.56,-13.12165289,0.03754586,-0.03635898,25.83386666666561,13.433792875394383,-0.9136560895729366,,
2021-01-16 22:58:00,26.59,0.91985708,0.07374515,0.00255296,25.83303333333228,13.433738007535776,0.0563481784625466,,
2021-01-16 22:59:00,28.88,6.20930145,0.07995322,0.01720101,25.819966666665472,13.428844298607144,0.2278701923479682,,
2021-01-16 23:00:00,32.23,8.44788639,0.08945266,0.02346214,25.887799999998727,13.409576938601973,0.4729604840659859,36025.66,-0.0035255601729532
2021-01-16 23:01:00,32.91,7.34078665,0.09149184,0.02042235,25.92849999999899,13.412307833533797,0.520529359052264,,
2021-01-16 23:02:00,17.12,-6.62388722,0.04756836,-0.01841678,25.92626666666552,13.41372324524321,-0.6565117309832977,,
2021-01-16 23:03:00,25.05,7.02581689,0.06953584,0.01951259,25.935499999998918,13.412158217213868,-0.0660221856660187,,
2021-01-16 23:04:00,18.38,0.31556,0.05091413,0.00087456,25.932599999998928,13.413702569717168,-0.563051100972651,,
2021-01-16 23:05:00,33.4,16.32861702,0.09256157,0.04527298,25.974766666665676,13.417238809452066,0.5534099406580927,,
2021-01-16 23:06:00,33.51,15.98482203,0.09280407,0.04429056,25.97466666666558,13.417182348125287,0.5616181652615975,,
2021-01-16 23:07:00,36.78,21.27683655,0.10189777,0.05897209,26.01789999999882,13.431072965083864,0.8012837118805706,,
2021-01-16 23:08:00,51.15,36.38888219,0.14144538,0.10066745,26.10386666666561,13.509156453158148,1.8540116416727963,,
2021-01-16 23:09:00,40.48,23.65550744,0.11180035,0.06536371,26.19689999999905,13.511744701297037,1.0570877644416905,,
2021-01-16 23:10:00,25.95,12.50834794,0.07159312,0.03452192,26.213833333332246,13.50822928813076,-0.019531304044718,,
2021-01-16 23:11:00,16.9,2.53107956,0.04667785,0.00699362,26.17723333333231,13.518570752721548,-0.6862584442563668,,
2021-01-16 23:12:00,15.81,0.15195169,0.04371717,0.00042035,26.146699999999257,13.531644719181024,-0.7638908805628813,,
2021-01-16 23:13:00,31.92,16.85290735,0.08830432,0.04664176,26.192833333332867,13.527642712739668,0.4233676767108559,,
2021-01-16 23:14:00,19.66,8.719879,0.0544328,0.02415011,26.198799999999657,13.524353824910438,-0.4834833578485558,,
2021-01-16 23:15:00,9.33,0.66057608,0.02581579,0.00182823,26.16293333333296,13.554842008247018,-1.2418391393342312,,
2021-01-16 23:16:00,16.44,7.95423386,0.04557063,0.02205381,26.17713333333261,13.54237019199468,-0.7190124915569455,,
2021-01-16 23:17:00,18.98,8.69671921,0.05269146,0.02415035,26.173866666666,13.543992993315143,-0.5311481385302436,,
2021-01-16 23:18:00,26.99,19.92158532,0.07495128,0.05533314,26.15349999999938,13.538135709111335,0.0617884188764368,,
2021-01-16 23:19:00,37.23,28.79668844,0.10342609,0.08001683,26.206366666666,13.550354860855943,0.8135309699658788,,
2021-01-16 23:20:00,40.28,28.84735173,0.11190173,0.08016618,26.278199999999487,13.567697969343705,1.031995260481009,,
2021-01-16 23:21:00,8.03,-4.08701968,0.02228608,-0.01134673,26.22196666666617,13.608328496936316,-1.3368259496940995,,
2021-01-16 23:22:00,15.08,-0.92073704,0.04185544,-0.0025567,26.18469999999933,13.623523831299854,-0.8151121646285405,,
2021-01-16 23:23:00,15.62,6.37235867,0.04337894,0.01770148,26.09939999999944,13.609237283484685,-0.7700211100526981,,
2021-01-16 23:24:00,9.9,-8.89185954,0.02751443,-0.02472548,26.069999999999613,13.63473532408788,-1.185941612774308,,
2021-01-16 23:25:00,-15.38,-23.47952549,-0.04265637,-0.06513499,25.88483333333279,13.818569094217857,-2.9861871407944367,,
2021-01-16 23:26:00,5.44,-0.01289467,0.01505831,-3.57e-05,25.81166666666589,13.868592843080927,-1.4689065355919912,,
2021-01-16 23:27:00,-7.07,-16.36974225,-0.01958596,-0.04536065,25.720333333332867,13.994465600627132,-2.343092924667552,,
2021-01-16 23:28:00,12.92,3.85456463,0.03580229,0.01068397,25.663566666666497,14.011780385717692,-0.9094894664247026,,
