start_time,date,nul,nup,nupl,close,change
2021-08-09,2021-08-09,0.02528748,0.5902577,0.56719438,46259.7,0.0564539684765428
2021-08-10,2021-08-10,0.02793641,0.58508708,0.55990123,45589.99,-0.014477179921184
2021-08-11,2021-08-11,0.02723409,0.58953754,0.55862695,45522.12,-0.0014887039896256
2021-08-12,2021-08-12,0.03229318,0.58021887,0.54728901,44385.09,-0.0249775274086533
2021-08-13,2021-08-13,0.01963095,0.59817303,0.57874942,47792.52,0.0767696990137905
2021-08-14,2021-08-14,0.02186971,0.59374092,0.57126736,47083.74,-0.0148303542060556
2021-08-15,2021-08-15,0.02199751,0.59398733,0.57021558,47006.02,-0.0016506760083204
2021-08-16,2021-08-16,0.02586323,0.58814719,0.5593716,45926.23,-0.0229713130360748
2021-08-17,2021-08-17,0.0316325,0.57833439,0.54699796,44704.84,-0.026594606176035
2021-08-18,2021-08-18,0.03034789,0.58267714,0.54665352,44714.09,0.0002069127190702
2021-08-19,2021-08-19,0.02335537,0.58642549,0.56590032,46772.0,0.0460237477716756
2021-08-20,2021-08-20,0.01517532,0.60262156,0.58775391,49332.74,0.0547494227315488
2021-08-21,2021-08-21,0.01617726,0.60162292,0.58304708,48848.29,-0.0098200505384455
2021-08-22,2021-08-22,0.01515239,0.60257551,0.58615939,49273.28,0.0087002021974567
2021-08-23,2021-08-23,0.01446399,0.60352076,0.58692436,49523.91,0.0050865296566415
2021-08-24,2021-08-24,0.02008387,0.59227564,0.57085274,47719.36,-0.0364379549191492
2021-08-25,2021-08-25,0.01621631,0.5957017,0.5803964,48992.65,0.0266828809103893
2021-08-26,2021-08-26,0.0216418,0.59237911,0.56072107,46853.06,-0.0436716527887347
2021-08-27,2021-08-27,0.01579281,0.59553345,0.58023542,49083.98,0.04761524647483
2021-08-28,2021-08-28,0.01624812,0.59412393,0.57852202,48931.99,-0.0030965296620202
2021-08-29,2021-08-29,0.01614899,0.59636906,0.57718553,48795.41,-0.002791221039651
2021-08-30,2021-08-30,0.02293393,0.58204141,0.56060483,47024.7,-0.036288454180424
2021-08-31,2021-08-31,0.02198453,0.58393646,0.56117579,47150.32,0.002671362071422
2021-09-01,2021-09-01,0.01632156,0.59197096,0.57605103,48842.94,0.0358983777840744
2021-09-02,2021-09-02,0.01489349,0.59542445,0.57900137,49299.14,0.0093401420962784
2021-09-03,2021-09-03,0.01306835,0.59851992,0.58450351,50027.08,0.0147657748187899
2021-09-04,2021-09-04,0.01333756,0.59697068,0.58345439,49940.74,-0.001725865271369
2021-09-05,2021-09-05,0.00924848,0.60677409,0.59804055,51799.57,0.0372207139902212
2021-09-06,2021-09-06,0.00744897,0.61179402,0.60425501,52683.97,0.0170735008031919
2021-09-07,2021-09-07,0.02391614,0.57893216,0.55554302,46864.39,-0.1104620627488779
2021-09-08,2021-09-08,0.02609605,0.57983486,0.54754247,46062.29,-0.0171153406669755
2021-09-09,2021-09-09,0.02554511,0.57473826,0.55009518,46413.88,0.0076329248936601
2021-09-10,2021-09-10,0.0354973,0.55773966,0.53454939,44860.83,-0.0334608957492886
2021-09-11,2021-09-11,0.03150597,0.56704216,0.53775955,45193.78,0.0074218421727818
2021-09-12,2021-09-12,0.02621861,0.57525641,0.54610097,46046.73,0.0188731723701802
2021-09-13,2021-09-13,0.03200786,0.56720697,0.53536241,44975.96,-0.0232539856793306
2021-09-14,2021-09-14,0.02208881,0.57697982,0.55627444,47087.18,0.0469410769664504
2021-09-15,2021-09-15,0.01832005,0.58262822,0.56479361,48106.12,0.021639435617083
2021-09-16,2021-09-16,0.0194736,0.5801653,0.56064826,47745.55,-0.007495304131782
2021-09-17,2021-09-17,0.02135481,0.57632639,0.5561409,47303.11,-0.0092666227533246
2021-09-18,2021-09-18,0.01816331,0.57924274,0.56502814,48285.15,0.0207605800126038
2021-09-19,2021-09-19,0.02152714,0.57599335,0.55512328,47256.91,-0.0212951601061609
2021-09-20,2021-09-20,0.0432435,0.55451499,0.51207906,43026.6,-0.0895172790603533
2021-09-21,2021-09-21,0.05733419,0.54290822,0.4856149,40726.1,-0.0534669251114426
2021-09-22,2021-09-22,0.03925394,0.556925,0.51871343,43520.0,0.0686021985900933
2021-09-23,2021-09-23,0.03281815,0.55976065,0.53266522,44828.29,0.0300618106617647
2021-09-24,2021-09-24,0.04291172,0.55346131,0.51085422,42798.49,-0.0452794429588994
2021-09-25,2021-09-25,0.04348743,0.5533027,0.50914046,42651.58,-0.0034325977388454
2021-09-26,2021-09-26,0.04027858,0.55298369,0.51145502,43150.0,0.011685850793804
2021-09-27,2021-09-27,0.04594879,0.54912275,0.49931197,42122.69,-0.0238078794901506
2021-09-28,2021-09-28,0.05441642,0.53837906,0.48590973,41006.32,-0.0265028183147848
2021-09-29,2021-09-29,0.05036252,0.54181176,0.49201397,41499.71,0.0120320477428845
2021-09-30,2021-09-30,0.0365633,0.55260069,0.51797884,43796.57,0.0553464108544372
2021-10-01,2021-10-01,0.01768101,0.57741727,0.56023013,48123.94,0.098806139384888
2021-10-02,2021-10-02,0.01823291,0.5803914,0.5547968,47626.61,-0.0103343574944196
2021-10-03,2021-10-03,0.01739694,0.57746893,0.55968623,48187.3,0.0117726203901558
