start_time,date,sca,scda,close,change
2022-09-01,2022-09-01,25312779400.100285,164074909897391.75,20122.5,0.0040416136516727
2022-09-02,2022-09-02,25325740851.492825,164347003989557.3,19941.0,-0.0090197540067089
2022-09-03,2022-09-03,25341602785.454643,164718972198022.94,19820.7,-0.0060327967504136
2022-09-04,2022-09-04,25342979070.28502,165077925322594.4,19992.7,0.0086777964451305
2022-09-05,2022-09-05,25358808575.464336,165417689887949.38,19784.9,-0.0103937937347131
2022-09-06,2022-09-06,25366363729.929417,165579159273142.72,18781.5,-0.0507154446067456
2022-09-07,2022-09-07,25378378460.072853,165851897923992.53,19287.0,0.0269147831642839
2022-09-08,2022-09-08,25393078423.54977,166145028038716.94,19309.3,0.0011562192150151
2022-09-09,2022-09-09,25407562956.109703,166445234604186.9,21352.0,0.1057884024796342
2022-09-10,2022-09-10,25423817086.82556,166796688339286.1,21639.5,0.0134647808167853
2022-09-11,2022-09-11,25439950962.881058,167128765762863.03,21820.3,0.0083550913838119
2022-09-12,2022-09-12,25454495193.43809,167430669332273.6,22386.0,0.0259253997424417
2022-09-13,2022-09-13,25457852955.698017,167315308673344.34,20162.5,-0.0993254712766907
2022-09-14,2022-09-14,25469933188.643105,167523303718547.7,20217.0,0.0027030378177308
2022-09-15,2022-09-15,25482210841.97932,167729912833815.78,19690.8,-0.0260276005342039
2022-09-16,2022-09-16,25498205528.332905,168062304904202.2,19792.5,0.0051648485587179
2022-09-17,2022-09-17,25515002948.4691,168412539198697.72,20102.0,0.0156372363268915
2022-09-18,2022-09-18,25532465831.409046,168778809006248.9,19404.5,-0.0346980399960202
2022-09-19,2022-09-19,25538881240.37118,168991836476814.78,19528.6,0.0063954237419154
2022-09-20,2022-09-20,25552128015.85028,169263144940668.03,18866.8,-0.033888758026689
2022-09-21,2022-09-21,25564227542.876183,169505721951634.0,18447.5,-0.0222242245637839
2022-09-22,2022-09-22,25578609621.056515,169837459358779.4,19392.5,0.0512264534489768
2022-09-23,2022-09-23,25593186064.30001,170148466744807.1,19280.7,-0.005765115379657
2022-09-24,2022-09-24,25610702809.17668,170523603685224.7,18911.0,-0.0191746150295373
2022-09-25,2022-09-25,25627346183.22041,170879773314879.47,18799.7,-0.0058854634868594
2022-09-26,2022-09-26,25641667486.187702,171195544032798.56,19216.3,0.0221599280839586
2022-09-27,2022-09-27,25649398167.81175,171396860426313.34,19070.1,-0.007608124352763
2022-09-28,2022-09-28,25662645263.10839,171621682314742.66,19407.3,0.0176821306652823
2022-09-29,2022-09-29,25675842569.78895,171886629603631.66,19582.5,0.0090275308775564
2022-09-30,2022-09-30,25686377804.32312,172063652115165.28,19411.7,-0.0087220732797139
2022-10-01,2022-10-01,25703263907.6724,172422979661770.16,19304.0,-0.0055482003121829
2022-10-02,2022-10-02,25720221659.71624,172782519821595.75,19049.4,-0.0131889763779526
2022-10-03,2022-10-03,25735033178.36307,173097911115726.16,19622.0,0.0300586895125305
2022-10-04,2022-10-04,25748745657.017387,173359384495292.38,20333.0,0.0362348384466415
2022-10-05,2022-10-05,25760368632.39812,173595457115398.0,20150.0,-0.0090001475434023
2022-10-06,2022-10-06,25774522148.10562,173903218595134.06,19954.0,-0.0097270471464019
2022-10-07,2022-10-07,25787055592.86228,174194540957256.5,19520.9,-0.0217049213190336
2022-10-08,2022-10-08,25801296179.227818,174421037116399.5,19406.2,-0.0058757536793898
2022-10-09,2022-10-09,25818562577.582005,174787172876376.28,19430.0,0.0012264121775513
2022-10-10,2022-10-10,25833505536.7063,175104327253488.3,19124.0,-0.0157488419969119
2022-10-11,2022-10-11,25845888769.576717,175381323203912.7,19055.0,-0.003608031792512
2022-10-12,2022-10-12,25855658971.85488,175538989356433.56,19148.0,0.004880608764104
2022-10-13,2022-10-13,25869940412.03442,175842396949758.1,19365.5,0.0113588886567788
2022-10-14,2022-10-14,25884184493.5735,176158962807541.3,19164.6,-0.0103741189228268
2022-10-15,2022-10-15,25901574982.41487,176529109269950.94,19060.4,-0.0054371080012104
2022-10-16,2022-10-16,25917408974.08251,176857431654829.75,19251.9,0.0100470084573252
2022-10-17,2022-10-17,25913401791.327053,176778692567726.78,19540.6,0.0149959224803783
2022-10-18,2022-10-18,25877104940.480988,176748830495432.72,19320.9,-0.0112432576277082
2022-10-19,2022-10-19,25888288829.088257,176969977265498.16,19116.7,-0.010568865839583
2022-10-20,2022-10-20,25903770264.25885,177283972226951.9,19034.7,-0.0042894432616508
2022-10-21,2022-10-21,25918775555.20238,177611547448635.84,19150.9,0.0061046404724003
2022-10-22,2022-10-22,25924144410.98092,177758480028357.25,19195.1,0.0023079855254843
2022-10-23,2022-10-23,25940954210.491505,178094641369518.34,19560.7,0.0190465274992055
2022-10-24,2022-10-24,25955710665.001587,178411589466237.56,19318.1,-0.0124024191363295
2022-10-25,2022-10-25,25962431142.06678,178675187622150.06,20068.3,0.0388340468265513
2022-10-26,2022-10-26,25962517296.96146,178672537187425.12,20758.3,0.0343825834774245
2022-10-27,2022-10-27,25969232922.129528,178912855538377.8,20285.5,-0.0227764315960362
2022-10-28,2022-10-28,25983824125.326664,179210294923987.28,20582.8,0.0146557886174853
2022-10-29,2022-10-29,25999536910.654,179553131856942.16,20796.7,0.0103921721048643
2022-10-30,2022-10-30,26015691570.82938,179864374468964.75,20615.6,-0.0087081123447471
2022-10-31,2022-10-31,26028566403.851048,180115184220365.7,20482.0,-0.0064805293079026
2022-11-01,2022-11-01,26040926723.316143,180347508374589.8,20472.1,-0.000483351235231
2022-11-02,2022-11-02,26041710837.58245,180494376746593.56,20140.1,-0.0162171931555629
2022-11-03,2022-11-03,26052817818.30785,180756196197745.2,20199.7,0.0029592703114682
2022-11-04,2022-11-04,26033723067.29389,180733923986621.8,21137.6,0.0464313826442965
2022-11-05,2022-11-05,26043798251.062088,181004246718437.72,21289.9,0.0072051699341459
2022-11-06,2022-11-06,26053883251.68722,181196691746085.7,20900.0,-0.0183138483506264
2022-11-07,2022-11-07,26052310520.85563,180645597247508.53,20578.6,-0.015377990430622
2022-11-08,2022-11-08,26057483033.118404,180725930192093.7,18534.0,-0.0993556412972699
2022-11-09,2022-11-09,26050360029.3734,180305782362204.75,15905.0,-0.1418474155605913
2022-11-10,2022-11-10,26052633953.94279,180272863877423.4,17588.0,0.1058157812008802
2022-11-11,2022-11-11,26024562594.9751,180132877662066.4,17058.3,-0.0301171253127132
2022-11-12,2022-11-12,26012613730.92139,179749490658609.12,16806.9,-0.014737693674047
2022-11-13,2022-11-13,26027539109.47079,180054582735068.8,16321.2,-0.0288988451171841
