start_time,date,range_0d_1d,range_0d_1d_percent,range_10y_inf,range_10y_inf_percent,range_12m_18m,range_12m_18m_percent,range_18m_2y,range_18m_2y_percent,range_1d_1w,range_1d_1w_percent,range_1m_3m,range_1m_3m_percent,range_1w_1m,range_1w_1m_percent,range_2y_3y,range_2y_3y_percent,range_3m_6m,range_3m_6m_percent,range_3y_5y,range_3y_5y_percent,range_5y_7y,range_5y_7y_percent,range_6m_12m,range_6m_12m_percent,range_7y_10y,range_7y_10y_percent,close,change
2022-01-15,2022-01-15,2385.77704456,73.72977422,0.0,0.0,12.97172023,0.40087652,2.82872382,0.08741855,519.15936373,16.04404014,90.02857422,2.78223251,121.82330811,3.76481324,4.47573806,0.13831768,51.7904656,1.60052648,1.99499983,0.06165324,0.02084879,0.00064431,44.96732086,1.38966481,0.00123898,3.829e-05,43070.51,0.0006530769659685
2022-01-16,2022-01-16,2041.94646791,72.83068181,0.0,0.0,23.06719357,0.82274411,10.69434724,0.38143831,449.42237721,16.02967495,92.55663988,3.30124383,97.22072252,3.46759899,2.46201167,0.08781327,27.86088897,0.9937222,1.6759881,0.05977794,0.02374811,0.00084703,56.7520658,2.02419197,0.00744633,0.00026559,43060.66,-0.0002286947612182
2022-01-17,2022-01-17,4928.79542935,61.34781694,0.0,0.0,22.28480271,0.27737487,2.57694093,0.03207471,1568.37115315,19.52122943,111.49257233,1.38772769,1242.53820846,15.46564625,9.63752508,0.11995652,98.26532988,1.22309062,3.96886617,0.04939975,0.01588169,0.00019768,46.23470561,0.57547494,0.00085103,1.059e-05,42176.34,-0.0205366104467513
2022-01-18,2022-01-18,5370.3768501,69.60371074,0.0,0.0,12.01861329,0.15576934,8.76316521,0.11357654,531.64772149,6.89051351,122.10476606,1.58256023,1369.65800835,17.75169276,156.28239241,2.02552535,36.69140708,0.47554541,3.82871759,0.04962277,0.02472485,0.00032045,104.22225448,1.3507908,0.02870978,0.0003721,42337.58,0.0038229964951914
2022-01-19,2022-01-19,6714.81666368,73.69882458,0.0,0.0,17.59245173,0.19308688,6.82032864,0.07485688,952.58783805,10.45517808,163.64144077,1.79605527,1093.27298638,11.99927535,8.44558879,0.09269501,96.8296457,1.06275889,5.37401357,0.05898277,0.10393719,0.00114077,51.22693155,0.56224389,0.44659742,0.00490165,41657.89,-0.0160540588290593
2022-01-20,2022-01-20,5746.48313697,68.24067721,0.0,0.0,40.62154332,0.48238924,2.81178392,0.03339052,770.42049405,9.1489029,1334.91902138,15.85243981,256.9743278,3.05162336,11.35402574,0.13483141,142.77811473,1.69551968,25.98871269,0.30862134,0.07926559,0.0009413,88.47514335,1.05066065,0.00021802,2.59e-06,40661.69,-0.0239138372106699
2022-01-21,2022-01-21,12822.85557468,61.79999324,1.0,0.00481952,64.08052602,0.3088373,24.6320533,0.11871464,2347.14333221,11.31210137,3239.31140992,15.61192217,1349.94988589,6.50610883,24.25973598,0.11692025,227.78121694,1.09779585,15.15134884,0.07302221,0.80677125,0.00388825,631.96503185,3.04576734,0.02262173,0.00010903,36425.98,-0.1041695512409838
2022-01-22,2022-01-22,10173.62634747,70.79381347,0.24012414,0.00167092,86.85752774,0.60440352,78.89216682,0.54897606,854.08993317,5.94323807,1129.3535526,7.85867713,880.40300917,6.12633925,39.54127239,0.27515041,481.91374675,3.35342686,22.26287147,0.15491758,0.18182344,0.00126523,623.39129842,4.33790723,0.0307892,0.00021425,35043.73,-0.0379468170794581
2022-01-23,2022-01-23,5633.2148435,40.00768947,0.0,0.0,38.97186637,0.27678233,7.28751422,0.0517567,7525.10408023,53.44408755,314.37619816,2.23273311,125.88355324,0.89403835,5.61741507,0.03989548,318.45083861,2.26167164,11.08620152,0.07873538,1.2426721,0.00882559,99.08231363,0.7036931,0.01285359,9.129e-05,36230.01,0.0338514193551884
2022-01-24,2022-01-24,12549.03252921,71.12897078,1.0,0.00566808,110.82942697,0.6281905,13.61853739,0.07719101,2039.67551616,11.56105221,1231.73214765,6.98156131,740.53383026,4.19740797,36.47281801,0.206731,259.24748919,1.46943655,134.06793564,0.75990832,0.29777263,0.0016878,525.93720616,2.98105628,0.20080541,0.00113818,36648.31,0.0115456771886068
2022-01-25,2022-01-25,8769.5042411,84.47991222,0.0,0.0,39.64648779,0.38192944,12.5214319,0.12062363,817.73639639,7.87756036,120.36926952,1.15956216,364.13804534,3.5078779,62.97568483,0.60666831,96.87686078,0.93325101,33.92382476,0.32680088,0.01297795,0.00012502,62.85995549,0.60555345,0.014077,0.00013561,36934.26,0.0078025426001908
2022-01-26,2022-01-26,8817.63087636,36.75053604,0.0,0.0,21.35221533,0.08899277,10.66746244,0.04446035,14016.88477106,58.42023058,542.67315725,2.26177867,370.10834678,1.54255495,9.06421616,0.03777827,100.80518363,0.42014058,10.97323673,0.04573477,0.00170861,7.12e-06,93.03973187,0.38777536,0.00252909,1.054e-05,36787.43,-0.0039754417714068
2022-01-27,2022-01-27,9267.1106298,82.47805977,0.0,0.0,21.55551373,0.19184588,2.6320454,0.02342542,731.09640433,6.50681915,460.83337824,4.10145561,548.66566646,4.88317033,7.0778125,0.06299312,144.31039282,1.28437457,4.39354518,0.03910292,0.01609598,0.00014326,47.90801239,0.42638532,0.24995851,0.00222465,37131.0,0.009339331396621
2022-01-28,2022-01-28,9914.73959838,82.00928519,0.0,0.0,14.56257542,0.12045363,3.22238558,0.02665381,1559.96146663,12.90314521,188.1986052,1.55667559,244.58251574,2.02305235,5.61680895,0.04645916,106.06984939,0.87735159,2.51375061,0.02079237,0.03886918,0.0003215,50.27045221,0.41580959,0.0,0.0,37696.21,0.0152220516549512
