start_time,datetime,reserve,reserve_usd,close,change
2024-06-17 01:00:00,2024-06-17 01:00:00,58288.04015662,3866599742.9779496,66443.9,-0.0016302943244721
2024-06-17 02:00:00,2024-06-17 02:00:00,58280.65193451,3864253993.4046354,66306.9,-0.0020618898047827
2024-06-17 03:00:00,2024-06-17 03:00:00,58265.59249074,3857102632.5024967,66188.9,-0.0017796036309946
2024-06-17 04:00:00,2024-06-17 04:00:00,58260.59675088,3863874039.618915,66432.7,0.0036833970650669
2024-06-17 05:00:00,2024-06-17 05:00:00,58267.81839875,3876373399.73421,66332.4,-0.0015097986383212
2024-06-17 06:00:00,2024-06-17 06:00:00,58256.70986887,3858854138.175251,66099.9,-0.0035050744432585
2024-06-17 07:00:00,2024-06-17 07:00:00,58263.36017826,3858664116.857871,66134.0,0.0005158858031555
2024-06-17 08:00:00,2024-06-17 08:00:00,58248.82158773,3857789160.703699,66165.2,0.000471769437808
2024-06-17 09:00:00,2024-06-17 09:00:00,58236.96705137,3823213503.1476607,65689.5,-0.0071895800209172
2024-06-17 10:00:00,2024-06-17 10:00:00,58260.35198834,3837756904.202698,65855.1,0.0025209508368917
2024-06-17 11:00:00,2024-06-17 11:00:00,58277.05015676,3834309065.097648,65778.6,-0.0011616412396306
2024-06-17 12:00:00,2024-06-17 12:00:00,58317.65101272,3821673826.915535,65593.3,-0.0028170255979909
2024-06-17 13:00:00,2024-06-17 13:00:00,58379.67469846,3810711369.7932215,65171.3,-0.0064335839178696
2024-06-17 14:00:00,2024-06-17 14:00:00,58400.17846315,3835999318.350407,65443.3,0.0041736163004266
2024-06-17 15:00:00,2024-06-17 15:00:00,58334.11597347,3815806098.963668,65324.9,-0.0018091997194518
2024-06-17 16:00:00,2024-06-17 16:00:00,58307.02867528,3835663295.011994,65860.0,0.0081913634770203
2024-06-17 17:00:00,2024-06-17 17:00:00,58302.49433553,3867027513.6454,66579.2,0.0109201336167628
2024-06-17 18:00:00,2024-06-17 18:00:00,58280.31049443,3905272241.363923,67070.4,0.0073776795155242
2024-06-17 19:00:00,2024-06-17 19:00:00,58271.68590264,3880038331.005594,66656.0,-0.0061785825043535
2024-06-17 20:00:00,2024-06-17 20:00:00,58265.81949564,3879421185.633948,66350.0,-0.0045907345175227
2024-06-17 21:00:00,2024-06-17 21:00:00,58276.0070862,3880010093.630529,66539.8,0.002860587792012
2024-06-17 22:00:00,2024-06-17 22:00:00,58272.81032346,3883939864.908264,66631.6,0.001379625427188
2024-06-17 23:00:00,2024-06-17 23:00:00,58239.68633936,3869925144.74226,66454.8,-0.0026533956861309
2024-06-18 00:00:00,2024-06-18 00:00:00,58140.66579954,3814540946.799916,65707.3,-0.0112482469287394
2024-06-18 01:00:00,2024-06-18 01:00:00,58089.35271764,3781567490.813206,65102.0,-0.0092120662392154
2024-06-18 02:00:00,2024-06-18 02:00:00,58006.25522658,3799408804.242484,65438.2,0.0051642038647046
2024-06-18 03:00:00,2024-06-18 03:00:00,57948.6075845,3798839575.8807087,65474.2,0.0005501373815295
2024-06-18 04:00:00,2024-06-18 04:00:00,57950.94157422,3801834705.0765057,65546.9,0.0011103610277025
