shortLiquidationUsd,t,longLiquidationUsd,low,high,open,close,volume
22397040.47201,1617062400.0,40659735.40263,57110.0,59560.0,57676.14,58794.16,232824.065
149748878.6618,1617148800.0,50337556.99959,56812.0,59920.0,58794.17,58807.24,337038.349
51252237.26296,1617235200.0,13638208.22938,58002.0,59592.22,58810.99,58794.01,196332.114
46569148.15238,1617321600.0,26527447.27351,58490.03,60397.85,58797.56,59031.36,189391.958
143960165.22988,1617408000.0,14115712.23138,56900.0,59925.0,59028.99,57134.65,198636.171
55931000.94185,1617494400.0,21455831.88396,56517.23,58553.0,57134.65,58234.61,152454.122
29493143.41726,1617580800.0,28051137.96208,56808.94,59385.0,58234.61,59243.39,174338.646
46712315.38401,1617667200.0,8473290.79238,57500.0,59626.18,59243.4,58059.99,165562.029
170948046.19644,1617753600.0,17347157.78915,55536.07,58720.0,58060.0,56018.18,265271.707
11791160.80498,1617840000.0,27295070.8488,55759.13,58200.0,56018.17,58122.26,161389.858
15107073.47405,1617926400.0,21523145.60439,57700.0,58950.0,58122.93,58176.03,141690.144
89878145.41192,1618012800.0,105852041.15711,57943.95,61800.0,58176.04,59832.43,240907.592
19140652.68226,1618099200.0,11127388.91628,59304.02,60816.88,59832.43,60090.2,148499.824
39041211.2775,1618185600.0,20678250.25517,59500.0,61449.91,60093.26,59911.18,196147.561
24484635.3761,1618272000.0,110716661.11102,59873.01,63850.0,59911.19,63649.71,279389.492
153140576.62846,1618358400.0,57406413.00509,61404.0,64986.11,63645.05,63019.1,323454.88
16199285.32048,1618444800.0,12492797.26141,62157.89,63905.83,63018.34,63232.55,178604.198
148406018.32009,1618531200.0,12616087.35597,60100.0,63600.0,63232.56,61424.67,255765.893
82269280.31532,1618617600.0,7092169.71958,59620.0,62610.0,61424.67,60090.14,194112.299
1112616792.14481,1618704000.0,87332852.14297,50050.0,60450.0,60090.14,56140.05,522006.276
87298347.37525,1618790400.0,38699569.80899,54200.0,57532.7,56140.05,55634.39,285041.716
78563112.36729,1618876800.0,54150687.17776,53330.82,57060.0,55634.38,56410.56,324494.085
82842722.7995,1618963200.0,20166431.6109,53610.0,56756.78,56411.25,53800.0,252601.972
238660984.89625,1619049600.0,72192617.25167,50534.34,55470.51,53794.72,51714.61,453489.185
318886941.17216,1619136000.0,129540513.53432,47546.16,52152.0,51714.62,51122.62,554666.026
69729613.70708,1619222400.0,56029516.99577,48690.0,51183.51,51122.63,50092.4,299663.131
152700353.40306,1619308800.0,50858511.34733,46930.43,50577.9,50094.27,49063.94,310306.501
47833225.54969,1619395200.0,173856759.17943,48763.0,54364.89,49063.94,53984.33,390494.148
13089597.49821,1619481600.0,29183830.83178,53225.14,55500.0,53984.34,55006.25,225440.361
11524382.61818,1619568000.0,15644722.46999,53852.0,56574.13,55006.25,54861.77,263170.559
10159764.4566,1619654400.0,5759147.82469,52350.0,55222.02,54861.76,53558.8,257045.19
4310366.6466,1619740800.0,18706657.06949,53043.62,57935.0,53558.57,57684.16,294683.751
6072353.32942,1619827200.0,8347428.84546,57051.23,58488.17,57688.29,57836.34,207854.398
8412483.63586,1619913600.0,4498855.22572,56100.0,57959.97,57836.35,56630.33,203712.515
10078160.05892,1620000000.0,9559476.50617,56500.65,59056.59,56630.34,57214.83,271733.972
20127112.7945,1620086400.0,11312997.83263,53094.59,57253.76,57214.84,53263.32,388988.754
7563174.57278,1620172800.0,14532750.13977,52880.38,57940.0,53263.32,57497.77,317811.705
13149332.35779,1620259200.0,9823691.35583,55297.91,58450.0,57497.76,56435.35,275471.204
13533344.16858,1620345600.0,13243689.15409,55300.0,58800.0,56435.35,57350.88,256159.504
9261170.53717,1620432000.0,13468786.30857,56961.25,59590.96,57350.89,58924.98,264906.729
9046382.40898,1620518400.0,7712700.41606,56316.0,59335.19,58926.36,58292.53,245954.014
26213969.00668,1620604800.0,14396250.58658,53250.0,59654.0,58292.53,55869.67,396237.133
11584516.94597,1620691200.0,10329084.66376,54541.33,56908.66,55869.41,56710.43,267226.104
18522564.3536,1620777600.0,13020746.56302,48503.74,58049.99,56712.7,49595.76,472329.152
32922449.37132,1620864000.0,28150093.2655,45596.32,51358.0,49596.75,49707.9,652476.689
11717258.2916,1620950400.0,12195216.86375,48870.41,51533.0,49706.27,49873.27,319069.002
24580993.93263,1621036800.0,18994784.43442,46584.32,50709.43,49873.26,46793.41,442023.496
26000168.69902,1621123200.0,22217977.86557,43866.0,49829.39,46794.62,46429.28,604537.63
40916212.13226,1621209600.0,27520732.80211,42151.0,46655.0,46429.28,43566.18,809129.365
22446127.88448,1621296000.0,20479330.51694,42268.0,45846.61,43565.11,42882.53,590358.592
79305480.7229,1621382400.0,45201021.15003,28688.0,43615.93,42882.54,36689.14,1373851.849
19622171.81331,1621468800.0,22071389.94968,34882.0,42460.0,36689.14,40500.3,775185.113
19243582.16062,1621555200.0,15782381.33481,33400.0,42270.42,40500.0,37211.02,930671.747
9587068.4142,1621641600.0,9104202.07425,35201.11,38851.34,37210.01,37432.58,588166.784
17188457.16932,1621728000.0,12175712.07176,31096.7,38261.71,37436.0,34651.6,996815.017
9280040.4781,1621814400.0,9861511.46048,34366.0,39917.09,34656.53,38779.66,707903.071
7482116.45496,1621900800.0,7274543.27094,36439.32,39790.05,38783.58,38326.84,598836.411
6531516.48638,1621987200.0,6288690.06796,37804.76,40900.0,38326.84,39224.2,577032.81
7240314.52009,1622073600.0,5559949.44574,37133.22,40438.82,39224.21,38527.38,543338.566
11682360.78854,1622160000.0,8703787.11066,34689.57,38888.35,38527.38,35670.99,832363.425
7487367.39851,1622246400.0,7322234.39972,33650.0,37375.0,35670.99,34611.94,733902.825
4426892.76326,1622332800.0,5693876.12534,33356.0,36501.0,34611.95,35651.81,511834.746
5833589.03469,1622419200.0,7425379.66789,34150.0,37500.0,35651.8,37243.38,635082.121
6717802.27995,1622505600.0,5636097.39294,35500.0,37893.76,37244.36,36693.41,590822.54
2896255.72325,1622592000.0,4621378.96428,35905.0,38232.99,36694.37,37569.99,441719.806
3575852.33578,1622678400.0,5440689.57193,37150.15,39470.0,37570.0,39247.4,507429.005
7986375.82533,1622764800.0,6562531.03127,35552.51,39297.35,39247.4,36828.03,700625.866
7227769.5283,1622851200.0,5491962.83345,34800.0,37900.49,36828.03,35498.62,631028.448
3074065.07982,1622937600.0,4140759.33874,35201.86,36521.16,35497.93,35801.71,443601.064
2089496.78309,1623024000.0,1737135.60032,33200.0,36820.0,35801.71,33550.96,636735.873
7315479.42254,1623110400.0,7261650.9154,30969.0,34061.57,33550.97,33372.58,976693.026
14020875.55774,1623196800.0,17991743.2944,32390.0,37511.31,33372.58,37368.45,1031014.087
14531691.20801,1623283200.0,14087320.36486,35750.0,38489.0,37369.99,36669.66,803185.699
9062724.94044,1623369600.0,8362563.14457,35900.0,37679.54,36669.65,37300.42,586122.898
12372812.47779,1623456000.0,8254460.8347,34585.9,37432.95,37300.41,35537.05,623532.476
7672032.76957,1623542400.0,10918442.16869,34739.06,39374.18,35535.95,38993.65,647035.314
10089394.55572,1623628800.0,9524984.65908,38720.0,41000.0,38993.66,40489.1,704979.881
9001361.48803,1623715200.0,10229821.66989,39500.0,41413.0,40489.1,40132.86,632066.994
11683625.1052,1623801600.0,7524833.14871,38105.0,40495.0,40132.86,38344.97,673235.496
8667750.49774,1623888000.0,7566548.77207,37334.76,39565.0,38344.97,38060.71,603849.861
15665678.34884,1623974400.0,11870340.65134,35100.0,38198.0,38060.71,35811.41,790379.249
12777519.88036,1624060800.0,12701899.09631,34704.08,36471.8,35811.41,35483.0,642185.382
12553195.95142,1624147200.0,13874319.57339,33312.0,36155.0,35483.01,35588.64,829896.441
31631962.60039,1624233600.0,19399046.11211,31250.51,35746.28,35588.63,31606.0,1397330.662
29801826.68156,1624320000.0,23167919.3218,28780.01,33274.0,31606.0,32496.0,1531824.85
15336519.69442,1624406400.0,18478990.71677,31711.5,34867.77,32496.0,33649.0,960700.369
10834828.39715,1624492800.0,11241652.39492,32300.0,35406.74,33650.0,34644.64,774899.165
25841262.47011,1624579200.0,17356151.87606,31250.0,35500.0,34644.65,31568.07,1093051.375
20302353.01631,1624665600.0,15991241.91422,30120.0,32720.52,31569.18,32255.56,1091384.749
12579476.27266,1624752000.0,14463640.86828,31960.0,34762.0,32250.15,34687.71,897147.453
9775593.15439,1624838400.0,7035277.66754,33855.0,35279.38,34687.71,34487.22,706158.545
9114184.98791,1624924800.0,11421803.63982,34206.0,36623.0,34486.58,35911.26,806140.329
9880999.92323,1625011200.0,8770076.95688,34042.74,36089.96,35910.64,35031.39,719742.983
9340239.07427,1625097600.0,8558491.10594,32672.04,35044.98,35031.39,33489.96,758966.493
9719236.73189,1625184000.0,10145188.05243,32684.0,33960.0,33489.96,33760.94,664923.202
5695130.4489,1625270400.0,6566852.99211,33296.98,34948.16,33760.94,34652.94,510614.258
3541402.74773,1625356800.0,5535403.67647,34340.75,35955.55,34653.32,35280.16,451001.556
10851358.19741,1625443200.0,6250307.03129,33032.0,35281.55,35280.17,33672.72,736706.409
7502969.05369,1625529600.0,10273773.27223,33500.0,35120.0,33672.72,34206.01,644229.007
4424365.97324,1625616000.0,5465884.02322,33756.48,35089.56,34206.0,33845.64,456218.909
9950439.15431,1625702400.0,7057047.51513,32066.0,33910.0,33845.63,32852.04,650317.664
4926056.98184,1625788800.0,7644223.15974,32250.0,34100.0,32855.0,33805.01,485662.879
6900464.75847,1625875200.0,4636305.03025,33010.0,34248.58,33805.01,33497.98,410271.979
3383781.10231,1625961600.0,4672345.03892,33306.03,34629.62,33497.98,34253.81,343905.35
9005420.77798,1626048000.0,4708836.43773,32650.0,34662.73,34253.88,33070.87,502747.758
10216908.00829,1626134400.0,4897021.34264,32186.99,33336.0,33070.86,32709.09,466567.713
6435850.23612,1626220800.0,7390551.50886,31556.02,33176.47,32708.66,32803.01,521140.41
9286304.04231,1626307200.0,4321237.16181,31140.0,33170.0,32803.0,31866.43,539111.667
13238679.80115,1626393600.0,6933666.41423,31018.59,32245.0,31865.53,31382.95,516577.743
6254059.5826,1626480000.0,5392153.29474,31150.02,31945.0,31382.96,31496.65,422650.418
4726402.65477,1626566400.0,6288317.85334,31075.1,32435.93,31496.65,31767.0,412189.401
8045725.23145,1626652800.0,3318149.57287,30358.77,31890.0,31765.23,30823.62,486305.627
8898687.34206,1626739200.0,6945043.30621,29242.24,31050.0,30823.62,29775.9,602688.19
5089690.02713,1626825600.0,14498227.02772,29472.41,32883.9,29775.89,32120.0,787077.39
5804463.97462,1626912000.0,6591800.94436,31700.0,32583.48,32120.0,32268.11,397258.936
4313387.5161,1626998400.0,13215807.54911,31970.82,33650.0,32268.12,33634.46,404650.016
3988057.7531,1627084800.0,7093135.4212,33379.81,34471.0,33631.74,34230.0,376046.028
4478880.03141,1627171200.0,10592506.02811,33812.0,35400.0,34230.0,35370.66,404114.844
18530360.96882,1627257600.0,31361151.70308,35185.49,48168.6,35370.67,37218.09,1162332.857
10773705.17361,1627344000.0,17764685.39108,36384.31,39546.34,37218.09,39442.33,675104.157
12514576.43977,1627430400.0,17828263.31021,38753.0,40894.0,39448.06,40003.08,736196.234
6903304.1437,1627516800.0,6467161.51725,39203.83,40665.0,40003.08,40012.9,463917.872
6277288.51634,1627603200.0,10321611.50827,38320.0,42316.6,40012.89,42203.25,561474.309
7094237.92073,1627689600.0,6013195.64564,41030.19,42494.0,42202.6,41448.11,381521.899
11414848.28685,1627776000.0,7897440.8993,39350.4,42614.98,41448.1,39846.78,487529.044
9399689.22731,1627862400.0,8898103.87721,38658.0,40450.0,39846.78,39147.48,451872.128
13808628.96754,1627948800.0,9047825.21472,37600.0,39774.93,39147.47,38203.26,517219.517
6891665.52197,1628035200.0,11918323.38031,37500.0,39975.32,38201.33,39731.31,479560.473
15510979.72802,1628121600.0,16155313.03632,37291.0,41350.0,39731.31,40882.4,746249.712
10224564.37458,1628208000.0,14833873.01875,39849.82,43400.0,40882.39,42825.43,653451.154
10571312.6476,1628294400.0,19485720.23819,42395.2,44753.01,42825.43,44601.11,583750.891
14989379.41543,1628380800.0,13134157.16386,43265.0,45350.0,44601.11,43787.71,553684.698
10695659.05977,1628467200.0,19426682.50616,42785.0,46483.0,43787.71,46259.7,626220.503
9545391.95952,1628553600.0,9564226.70118,44670.05,46800.0,46259.7,45589.99,460478.861
6760912.16104,1628640000.0,9623448.64145,45354.0,46754.27,45589.99,45522.12,390660.571
15356396.19472,1628726400.0,7534254.44589,43800.0,46226.67,45522.13,44385.09,468276.056
3065354.94886,1628812800.0,16415748.93847,44208.88,47980.69,44385.09,47792.52,438025.46
8060992.47207,1628899200.0,7126048.74448,46000.0,48300.0,47792.52,47083.74,374368.796
8975583.22436,1628985600.0,8230070.01416,45480.0,47388.75,47083.75,47006.02,370950.807
11812258.98969,1629072000.0,6474875.96784,45682.03,48074.23,47006.02,45926.23,412537.605
18362758.6035,1629158400.0,10340272.44833,44412.01,47194.0,45926.23,44704.84,474316.4
10351238.44427,1629244800.0,8919409.90962,44227.32,46050.0,44704.85,44714.09,395836.158
9121070.98574,1629331200.0,18570520.35645,43938.38,47100.0,44714.09,46772.0,439402.162
3321483.5834,1629417600.0,13851496.83984,46650.0,49500.0,46772.0,49332.74,401499.081
5831535.57011,1629504000.0,7006761.27113,48250.0,49833.0,49332.99,48848.29,347594.451
6567422.17645,1629590400.0,6052770.79582,48075.81,49556.2,48846.11,49273.28,294672.223
6546929.89376,1629676800.0,9851306.00401,49075.01,50600.0,49273.28,49523.91,355733.496
17972437.72045,1629763200.0,6393723.51906,47600.0,49888.88,49523.23,47719.36,398682.002
5604165.87797,1629849600.0,11967211.38796,47130.57,49297.8,47719.37,48992.65,389100.384
