start_time,datetime,open_interest
2022-08-23 16:00:00,2022-08-23 16:00:00,1849535379.855
2022-08-23 17:00:00,2022-08-23 17:00:00,1849794051.8662405
2022-08-23 18:00:00,2022-08-23 18:00:00,1842922247.10416
2022-08-23 19:00:00,2022-08-23 19:00:00,1840599605.33347
2022-08-23 20:00:00,2022-08-23 20:00:00,1840237803.28864
2022-08-23 21:00:00,2022-08-23 21:00:00,1845047096.6632
2022-08-23 22:00:00,2022-08-23 22:00:00,1835699924.9205
2022-08-23 23:00:00,2022-08-23 23:00:00,1841266520.3617
2022-08-24 00:00:00,2022-08-24 00:00:00,1825155738.33668
2022-08-24 01:00:00,2022-08-24 01:00:00,1803427596.7670405
2022-08-24 02:00:00,2022-08-24 02:00:00,1802508554.80634
2022-08-24 03:00:00,2022-08-24 03:00:00,1799722062.14075
2022-08-24 04:00:00,2022-08-24 04:00:00,1792935184.14102
2022-08-24 05:00:00,2022-08-24 05:00:00,1777042967.18732
2022-08-24 06:00:00,2022-08-24 06:00:00,1801969879.18826
2022-08-24 07:00:00,2022-08-24 07:00:00,1786989913.9022
2022-08-24 08:00:00,2022-08-24 08:00:00,1788766149.34492
2022-08-24 09:00:00,2022-08-24 09:00:00,1794917938.8061998
2022-08-24 10:00:00,2022-08-24 10:00:00,1790163400.54673
2022-08-24 11:00:00,2022-08-24 11:00:00,1827629742.4798295
2022-08-24 12:00:00,2022-08-24 12:00:00,1868903620.06962
2022-08-24 13:00:00,2022-08-24 13:00:00,1886104560.60893
2022-08-24 14:00:00,2022-08-24 14:00:00,1874595990.86095
2022-08-24 15:00:00,2022-08-24 15:00:00,1926987169.57
2022-08-24 16:00:00,2022-08-24 16:00:00,1920274225.8925
2022-08-24 17:00:00,2022-08-24 17:00:00,1903618788.69634
2022-08-24 18:00:00,2022-08-24 18:00:00,1906822399.34912
2022-08-24 19:00:00,2022-08-24 19:00:00,1912357537.44384
2022-08-24 20:00:00,2022-08-24 20:00:00,1914678506.62928
2022-08-24 21:00:00,2022-08-24 21:00:00,1902898337.16956
2022-08-24 22:00:00,2022-08-24 22:00:00,1905236380.7802
2022-08-24 23:00:00,2022-08-24 23:00:00,1895215385.36762
2022-08-25 00:00:00,2022-08-25 00:00:00,1902988661.34512
2022-08-25 01:00:00,2022-08-25 01:00:00,1905090216.17847
2022-08-25 02:00:00,2022-08-25 02:00:00,1907483421.62285
2022-08-25 03:00:00,2022-08-25 03:00:00,1906303795.2005496
2022-08-25 04:00:00,2022-08-25 04:00:00,1909213086.09856
2022-08-25 05:00:00,2022-08-25 05:00:00,1923462173.39402
2022-08-25 06:00:00,2022-08-25 06:00:00,1980851501.94478
2022-08-25 07:00:00,2022-08-25 07:00:00,2023204231.4375095
2022-08-25 08:00:00,2022-08-25 08:00:00,2057580483.54352
2022-08-25 09:00:00,2022-08-25 09:00:00,2069770972.19826
2022-08-25 10:00:00,2022-08-25 10:00:00,2052985579.20956
2022-08-25 11:00:00,2022-08-25 11:00:00,2070471920.0530496
2022-08-25 12:00:00,2022-08-25 12:00:00,2082979533.6119
2022-08-25 13:00:00,2022-08-25 13:00:00,2093583900.453
2022-08-25 14:00:00,2022-08-25 14:00:00,2095192771.81784
2022-08-25 15:00:00,2022-08-25 15:00:00,2078414452.2821
2022-08-25 16:00:00,2022-08-25 16:00:00,2075754770.4230504
2022-08-25 17:00:00,2022-08-25 17:00:00,2088185860.59684
2022-08-25 18:00:00,2022-08-25 18:00:00,2086299418.2061
2022-08-25 19:00:00,2022-08-25 19:00:00,2091471548.6316
2022-08-25 20:00:00,2022-08-25 20:00:00,2100139701.676
2022-08-25 21:00:00,2022-08-25 21:00:00,2094938891.8196597
2022-08-25 22:00:00,2022-08-25 22:00:00,2086848671.977
2022-08-25 23:00:00,2022-08-25 23:00:00,2052915842.1121504
2022-08-26 00:00:00,2022-08-26 00:00:00,1981423319.50342
2022-08-26 01:00:00,2022-08-26 01:00:00,1982505000.44824
2022-08-26 02:00:00,2022-08-26 02:00:00,1984625884.02566
2022-08-26 03:00:00,2022-08-26 03:00:00,1978527445.6544497
2022-08-26 04:00:00,2022-08-26 04:00:00,1984092350.5786
2022-08-26 05:00:00,2022-08-26 05:00:00,1950609674.52061
2022-08-26 06:00:00,2022-08-26 06:00:00,1954777836.73484
2022-08-26 07:00:00,2022-08-26 07:00:00,1951365472.19766
2022-08-26 08:00:00,2022-08-26 08:00:00,1949856280.30255
2022-08-26 09:00:00,2022-08-26 09:00:00,1948967039.0736
2022-08-26 10:00:00,2022-08-26 10:00:00,1961643587.75153
2022-08-26 11:00:00,2022-08-26 11:00:00,1915977590.58995
2022-08-26 12:00:00,2022-08-26 12:00:00,1896179831.7441
2022-08-26 13:00:00,2022-08-26 13:00:00,1888248286.57181
2022-08-26 14:00:00,2022-08-26 14:00:00,1866571722.88372
2022-08-26 15:00:00,2022-08-26 15:00:00,1818595052.52562
2022-08-26 16:00:00,2022-08-26 16:00:00,1797517425.5294
2022-08-26 17:00:00,2022-08-26 17:00:00,1781491342.50296
2022-08-26 18:00:00,2022-08-26 18:00:00,1743447929.4222498
2022-08-26 19:00:00,2022-08-26 19:00:00,1748986649.1559
2022-08-26 20:00:00,2022-08-26 20:00:00,1736766241.88104
2022-08-26 21:00:00,2022-08-26 21:00:00,1723938506.06864
2022-08-26 22:00:00,2022-08-26 22:00:00,1729696888.7206402
2022-08-26 23:00:00,2022-08-26 23:00:00,1674081215.00382
2022-08-27 00:00:00,2022-08-27 00:00:00,1687166582.11328
2022-08-27 01:00:00,2022-08-27 01:00:00,1688691574.3989398
2022-08-27 02:00:00,2022-08-27 02:00:00,1688290351.09472
2022-08-27 03:00:00,2022-08-27 03:00:00,1710763956.67826
2022-08-27 04:00:00,2022-08-27 04:00:00,1721655350.03111
2022-08-27 05:00:00,2022-08-27 05:00:00,1738021771.86393
2022-08-27 06:00:00,2022-08-27 06:00:00,1751918211.6030102
2022-08-27 07:00:00,2022-08-27 07:00:00,1759969160.81678
2022-08-27 08:00:00,2022-08-27 08:00:00,1745219410.3468602
2022-08-27 09:00:00,2022-08-27 09:00:00,1753203250.53914
2022-08-27 10:00:00,2022-08-27 10:00:00,1746380096.57989
2022-08-27 11:00:00,2022-08-27 11:00:00,1747620900.73005
2022-08-27 12:00:00,2022-08-27 12:00:00,1757105488.49936
2022-08-27 13:00:00,2022-08-27 13:00:00,1753548190.83588
2022-08-27 14:00:00,2022-08-27 14:00:00,1744311087.7536
2022-08-27 15:00:00,2022-08-27 15:00:00,1711619724.38846
2022-08-27 16:00:00,2022-08-27 16:00:00,1716027088.1656
2022-08-27 17:00:00,2022-08-27 17:00:00,1714649184.53302
2022-08-27 18:00:00,2022-08-27 18:00:00,1718349868.83841
2022-08-27 19:00:00,2022-08-27 19:00:00,1718123541.48755
2022-08-27 20:00:00,2022-08-27 20:00:00,1715323644.0561
