sell,buy,time,close,high,open,low,volume
111833.679,111542.748,1690416000,29209.7,29558.4,29336.0,29065.5,223376.534
109059.4,112240.463,1690502400,29299.9,29535.7,29209.8,29112.8,221299.867
43028.744,44071.975,1690588800,29339.1,29397.9,29300.0,29237.5,87100.719
86622.496,83278.733,1690675200,29271.1,29442.5,29339.1,29006.0,169901.253
114800.798,115578.265,1690761600,29220.8,29525.8,29271.2,29100.0,230381.722
220446.067,221882.274,1690848000,29701.2,29735.0,29220.8,28550.0,442328.643
253075.27,238623.961,1690934400,29170.1,30059.9,29701.2,28906.3,491725.492
128495.438,123472.48,1691020800,29180.2,29440.0,29170.2,28955.4,251967.942
118140.952,111252.622,1691107200,29101.1,29323.8,29180.1,28780.0,229395.673
41741.827,40766.797,1691193600,29057.7,29145.0,29101.1,28960.0,82508.624
51621.955,51455.485,1691280000,29075.9,29199.0,29057.7,28978.5,103094.44
148892.174,148860.278,1691366400,29202.7,29274.5,29075.9,28682.3,297752.439
219067.194,240192.843,1691452800,29759.0,30250.0,29202.7,29132.4,459269.801
183453.643,178555.795,1691539200,29572.8,30149.7,29758.9,29362.0,362009.701
119315.843,115230.12,1691625600,29443.7,29729.8,29572.9,29303.7,234546.038
90620.819,88423.189,1691712000,29415.5,29565.1,29443.7,29220.0,179044.008
27423.434,28814.601,1691798400,29420.7,29470.0,29415.5,29360.0,56238.035
44089.885,40100.62,1691884800,29293.3,29463.0,29420.8,29256.6,84190.505
147238.627,147796.674,1691971200,29419.5,29686.7,29293.3,29070.0,295035.383
98495.085,92794.87,1692057600,29188.8,29492.1,29419.5,29050.0,191289.959
146854.16,133680.785,1692144000,28714.4,29257.4,29188.9,28705.1,272023.138
463673.256,404832.251,1692230400,26609.7,28775.9,28714.4,24581.0,868508.22
268241.862,254129.418,1692316800,26042.1,26818.0,26609.7,25600.0,522375.316
104976.238,97242.829,1692403200,26088.3,26269.4,26042.0,25783.4,202219.153
71897.666,69192.184,1692489600,26175.9,26285.0,26088.4,25948.5,141089.85
118834.295,113298.611,1692576000,26115.4,26280.0,26175.9,25800.0,232505.265
158513.611,154599.135,1692662400,26044.4,26128.2,26115.4,25280.0,313113.576
203929.557,209008.517,1692748800,26419.2,26806.0,26044.5,25800.0,412969.028
144699.198,142053.995,1692835200,26164.6,26568.3,26419.2,25835.0,286753.337
138603.418,136225.91,1692921600,26051.7,26300.0,26164.6,25754.4,274830.494
32336.376,31589.486,1693008000,26004.3,26129.4,26051.7,25969.0,63925.862
42689.409,43815.989,1693094400,26087.7,26173.6,26004.3,25955.6,86505.398
110729.174,109259.053,1693180800,26106.5,26244.6,26087.6,25850.4,219992.051
341121.48,359110.886,1693267200,27700.1,28168.0,26106.5,25905.2,700233.946
161641.499,153656.899,1693353600,27290.4,27758.2,27700.1,26950.0,315313.916
260391.097,242515.049,1693440000,25928.0,27674.3,27290.4,25617.8,502906.277
180696.21,180488.71,1693526400,25795.6,26151.6,25928.0,25312.0,361184.924
53971.362,53671.502,1693612800,25855.8,25975.0,25795.6,25740.6,107642.864
66129.725,66887.107,1693699200,25962.1,26135.2,25855.8,25777.0,133016.832
89044.087,84103.786,1693785600,25814.0,26099.3,25962.1,25610.0,173147.873
93401.611,93238.064,1693872000,25779.7,25900.0,25814.0,25531.2,186639.945
126805.911,124308.973,1693958400,25747.4,26052.0,25779.7,25326.0,251122.66
124415.272,132925.013,1694044800,26240.7,26451.0,25747.4,25602.3,257349.902
127428.248,121841.512,1694131200,25899.8,26437.5,26240.7,25630.0,249269.761
33692.802,34217.007,1694217600,25892.6,25940.6,25899.9,25781.5,67909.81
81004.514,81967.899,1694304000,25828.4,26037.3,25892.6,25508.7,162972.413
218745.302,208469.694,1694390400,25150.4,25895.0,25828.4,24888.0,427216.374
286964.11,305085.164,1694476800,25825.8,26580.0,25150.4,25116.4,592049.678
163947.772,171304.91,1694563200,26209.9,26400.0,25825.8,25750.0,335252.718
189057.568,191608.891,1694649600,26510.3,26880.0,26209.9,26106.6,380666.471
123334.316,128322.454,1694736000,26591.1,26890.0,26510.3,26206.6,251656.77
74443.455,66039.008,1694822400,26546.9,26763.5,26591.1,26430.0,140482.465
60914.547,53324.583,1694908800,26514.2,26614.3,26547.0,26377.4,114239.394
232074.467,240446.485,1694995200,26749.9,27397.0,26514.2,26358.6,472539.032
217036.668,216473.976,1695081600,27196.0,27480.0,26749.9,26653.2,433511.747
175523.001,173398.437,1695168000,27107.7,27381.0,27195.9,26740.0,348921.447
161706.068,156286.794,1695254400,26552.6,27149.0,27107.7,26360.1,317992.869
88272.277,85262.371,1695340800,26566.7,26737.7,26552.6,26452.9,173534.648
30073.965,27762.124,1695427200,26563.1,26620.6,26566.7,26492.2,57836.484
76034.834,70597.939,1695513600,26232.4,26739.9,26563.0,26081.0,146632.773
132329.311,136046.437,1695600000,26290.5,26440.0,26232.4,25965.0,268385.836
88438.848,92050.681,1695686400,26208.8,26388.0,26290.5,26073.8,180491.169
174762.292,178231.95,1695772800,26359.6,26849.9,26208.7,26050.0,353002.84
209527.811,220053.048,1695859200,27011.8,27308.7,26359.6,26325.2,429587.858
139973.243,137424.114,1695945600,26890.9,27231.5,27011.7,26625.0,277397.643
45500.218,46815.654,1696032000,26950.9,27085.0,26890.9,26870.4,92317.154
112146.43,128236.229,1696118400,27981.4,28365.2,26951.0,26939.0,240382.946
298226.89,295032.743,1696204800,27477.6,28613.0,27981.4,27255.0,593277.72
142993.664,140081.744,1696291200,27412.0,27665.0,27477.7,27123.0,283077.899
137860.087,142923.895,1696377600,27759.8,27830.0,27412.0,27163.9,280784.322
187120.958,183060.159,1696464000,27398.4,28110.0,27759.7,27333.5,370190.087
214013.563,224431.298,1696550400,27916.3,28450.0,27398.3,27156.0,438445.904
59624.549,57424.596,1696636800,27943.0,28018.7,27916.3,27822.1,117049.145
89592.194,88788.113,1696723200,27901.2,28082.0,27943.0,27671.0,178380.307
159749.786,154566.795,1696809600,27578.3,27977.0,27901.2,27250.0,314316.581
122073.702,117705.794,1696896000,27381.2,27727.3,27578.4,27281.0,239779.496
201422.389,186764.342,1696982400,26864.5,27467.6,27381.3,26525.0,388186.571
111997.868,108281.012,1697068800,26744.0,26939.0,26864.5,26534.8,220279.04
122420.314,120801.665,1697155200,26849.8,27120.8,26744.0,26670.1,243222.154
41530.33,40634.451,1697241600,26836.3,26986.4,26849.7,26773.1,82164.781
75231.957,84768.5,1697328000,27139.8,27456.1,26836.4,26790.4,160000.462
399126.845,423876.937,1697414400,28486.3,30720.0,27139.8,27095.4,823003.782
159521.228,154667.281,1697500800,28381.9,28605.0,28486.3,28055.0,314189.758
147743.253,149433.375,1697587200,28307.1,29100.0,28382.0,28126.6,297176.628
167030.624,166642.583,1697673600,28696.9,28933.4,28307.2,28076.0,333673.207
264665.698,286339.629,1697760000,29653.0,30243.0,28697.0,28560.0,551005.327
125044.927,133151.029,1697846400,29895.4,30374.6,29653.0,29443.5,258195.956
