o,h,l,t,c,open,close,high,volume,low
0.01,0.01,-0.002119,1607731200,0.01,18031.71,18800.0,18950.0,196962.282,18012.21
0.01,0.01,0.004685,1607817600,0.01,18800.0,19175.07,19432.0,239760.089,18705.46
0.01,0.01,0.01,1607904000,0.01,19175.06,19270.7,19355.35,181555.823,19004.72
0.01,0.01,0.01,1607990400,0.01,19270.71,19424.91,19598.0,248744.054,19039.64
0.01,0.046466,0.01,1608076800,0.01,19424.9,21346.8,21600.0,459302.012,19274.55
0.01,0.098447,0.01,1608163200,0.031104,21346.81,22816.99,23888.04,823435.821,21231.5
0.028594,0.067871,0.01,1608249600,0.01,22816.99,23124.35,23330.0,305997.222,22363.94
0.01,0.111152,0.01,1608336000,0.087522,23124.35,23847.28,24281.61,337535.438,22735.81
0.078569,0.078569,0.037484,1608422400,0.054883,23847.28,23472.96,24376.0,322289.774,23076.25
0.042034,0.042034,0.01,1608508800,0.01,23472.96,22730.1,24145.0,476456.589,21920.0
0.01,0.029158,0.01,1608595200,0.01,22736.05,23826.99,23850.0,326124.313,22387.0
0.011348,0.014238,0.01,1608681600,0.01,23826.74,23238.27,24235.42,394754.939,22572.52
0.01,0.037104,0.01,1608768000,0.025154,23237.73,23737.44,23819.81,237754.257,22700.0
0.018651,0.050059,0.01,1608854400,0.01,23738.75,24730.0,24827.64,284523.431,23450.0
0.01,0.026449,0.01,1608940800,0.021419,24729.99,26508.83,26926.0,367265.555,24507.24
0.019983,0.086215,0.011475,1609027200,0.054354,26508.84,26305.64,28459.84,540264.148,25850.0
0.04362,0.078515,0.016529,1609113600,0.040294,26301.76,27102.66,27538.82,267563.468,26117.1
0.037686,0.056852,0.023942,1609200000,0.04514,27101.45,27402.83,27441.73,260759.449,25913.01
0.049104,0.08262,0.046795,1609286400,0.051567,27402.83,28906.99,29063.72,374737.655,27401.0
0.053241,0.077256,0.01,1609372800,0.022005,28906.99,28951.68,29376.7,313648.835,27848.0
0.022763,0.044983,0.01,1609459200,0.01,28948.19,29337.16,29668.86,210716.398,28627.12
0.01,0.172593,0.01,1609545600,0.147133,29337.15,32199.91,33480.0,545541.08,28958.24
