start_time,long_liquidation_usd,short_liquidation_usd,time
2022-01-23,6723924.17301,6350292.57558,1642896000000
2022-01-24,17204508.54848,14700246.12662,1642982400000
2022-01-25,7459995.79898,9634979.74291,1643068800000
2022-01-26,10880358.07881,10407847.80879,1643155200000
2022-01-27,10297423.95681,7906025.12035,1643241600000
2022-01-28,5610406.42225,8064155.73049,1643328000000
2022-01-29,3109028.63459,3248840.64201,1643414400000
2022-01-30,3076000.18218,2466566.26902,1643500800000
2022-01-31,4260981.50379,6155206.96954,1643587200000
2022-02-01,5081817.39371,5619095.84524,1643673600000
2022-02-02,8247535.43237,3233015.54309,1643760000000
2022-02-03,6024043.89358,4424276.14936,1643846400000
2022-02-04,4301209.62751,10617820.91866,1643932800000
2022-02-05,5721147.38546,4896934.94917,1644019200000
2022-02-06,2250233.51814,4443234.4331,1644105600000
2022-02-07,4878332.93154,11553402.67822,1644192000000
2022-02-08,10446999.61621,11274512.91236,1644278400000
2022-02-09,6838878.63804,6845894.9677,1644364800000
2022-02-10,11411854.268,9770115.60004,1644451200000
2022-02-11,8848454.50288,6309160.72134,1644537600000
2022-02-12,3940295.91732,3889592.14025,1644624000000
2022-02-13,3050875.85412,1953928.68089,1644710400000
2022-02-14,4833817.78546,4013158.77884,1644796800000
2022-02-15,1653117.97482,7579723.28769,1644883200000
2022-02-16,4653966.54395,3859371.9895,1644969600000
2022-02-17,7969784.50914,3837927.79288,1645056000000
2022-02-18,7300002.74234,4434584.89208,1645142400000
2022-02-19,2723788.63258,1820454.72564,1645228800000
2022-02-20,5314572.7649,2382743.23749,1645315200000
2022-02-21,9550773.47953,8025188.59059,1645401600000
2022-02-22,4926526.40051,6512247.71902,1645488000000
2022-02-23,5764581.24258,2672867.06403,1645574400000
2022-02-24,11368265.12745,12971029.33329,1645660800000
2022-02-25,5444414.87997,4866048.35711,1645747200000
2022-02-26,3910536.03356,2172748.90511,1645833600000
2022-02-27,6686989.63656,4574198.03175,1645920000000
2022-02-28,5808501.70476,8819206.42687,1646006400000
2022-03-01,5638754.28191,5179255.93108,1646092800000
2022-03-02,5363610.73795,4262294.00456,1646179200000
2022-03-03,6302389.43555,3914471.47631,1646265600000
2022-03-04,11048831.67016,4573561.00519,1646352000000
2022-03-05,1944893.48166,2479851.91287,1646438400000
2022-03-06,4703342.94989,2754537.67913,1646524800000
2022-03-07,6724477.57132,5372689.27719,1646611200000
2022-03-08,5727763.07394,6572630.69296,1646697600000
2022-03-09,4141900.67722,5610265.53465,1646784000000
2022-03-10,6179242.41482,4325817.45833,1646870400000
2022-03-11,5838218.43511,3747947.83564,1646956800000
2022-03-12,1892548.48857,964981.8792,1647043200000
2022-03-13,2986975.31184,1170213.89245,1647129600000
2022-03-14,3222747.18153,3201692.59257,1647216000000
2022-03-15,2564771.42064,2487694.56812,1647302400000
2022-03-16,6451691.17622,6402132.81433,1647388800000
2022-03-17,1925495.39131,2424498.27258,1647475200000
2022-03-18,2452504.00928,3226631.96276,1647561600000
2022-03-19,1492336.10524,1499191.21957,1647648000000
2022-03-20,3152273.51952,1859958.83593,1647734400000
2022-03-21,2812468.6237,2871521.01877,1647820800000
2022-03-22,3201391.17314,3414329.8481,1647907200000
2022-03-23,2848875.73608,2873330.32832,1647993600000
2022-03-24,1933863.91408,3997311.7427,1648080000000
2022-03-25,3906901.80494,3833816.32934,1648166400000
2022-03-26,949320.82619,1222242.87787,1648252800000
2022-03-27,1842468.63849,3933013.30315,1648339200000
