h,l,t,c,o,open,low,high,close,volume
0.00548635,-0.01209649,1625875200,0.00341261,-0.01209649,33805.01,33010.0,34248.58,33497.98,410271.979
0.00638043,-0.00742029,1625961600,0.00186705,-0.00043654,33497.98,33306.03,34629.62,34253.81,343905.35
0.00662815,-0.00533309,1626048000,0.00384274,-0.00131401,34253.88,32650.0,34662.73,33070.87,502747.758
0.00863569,-0.00998754,1626134400,-0.00063395,0.00364105,33070.86,32186.99,33336.0,32709.09,466567.713
0.00405048,-0.01143981,1626220800,-0.00950508,-0.00178902,32708.66,31556.02,33176.47,32803.01,521140.41
0.00640662,-0.0111743,1626307200,-0.00869661,-0.00900235,32803.0,31140.0,33170.0,31866.43,539111.667
0.00893233,-0.00687021,1626393600,0.00681892,-0.00687021,31865.53,31018.59,32245.0,31382.95,516577.743
0.00483587,-0.01510617,1626480000,-0.00384037,0.00483587,31382.96,31150.02,31945.0,31496.65,422650.418
0.00553539,-0.00952838,1626566400,-0.00952838,-0.0045155,31496.65,31075.1,32435.93,31767.0,412189.401
0.00513566,-0.01650716,1626652800,0.0000532,-0.01165471,31765.23,30358.77,31890.0,30823.62,486305.627
0.00310811,-0.01279572,1626739200,-0.00367475,-0.00169152,30823.62,29242.24,31050.0,29775.9,602688.19
-0.00353753,-0.02861187,1626825600,-0.01129203,-0.0106702,29775.89,29472.41,32883.9,32120.0,787077.39
0.00342144,-0.02433918,1626912000,0.00342144,-0.01366595,32120.0,31700.0,32583.48,32268.11,397258.936
0.00116794,-0.01672146,1626998400,-0.00148462,0.00036368,32268.12,31970.82,33650.0,33634.46,404650.016
0.0064938,-0.02340751,1627084800,-0.01517618,-0.0018273,33631.74,33379.81,34471.0,34230.0,376046.028
-0.01180041,-0.02911836,1627171200,-0.01180041,-0.01923601,34230.0,33812.0,35400.0,35370.66,404114.844
0.01191942,-0.03858184,1627257600,0.00706951,-0.01249628,35370.67,35185.49,48168.6,37218.09,1162332.857
0.0066554,-0.0181805,1627344000,-0.00985721,0.0066554,37218.09,36384.31,39546.34,39442.33,675104.157
0.00985302,-0.00485377,1627430400,0.00648636,-0.00485377,39448.06,38753.0,40894.0,40003.08,736196.234
0.00796701,-0.00018998,1627516800,0.00339177,0.00544959,40003.08,39203.83,40665.0,40012.9,463917.872
0.01078004,-0.00537931,1627603200,-0.00537931,0.00444946,40012.89,38320.0,42316.6,42203.25,561474.309
0.01291739,-0.00741241,1627689600,0.0078713,-0.00741241,42202.6,41030.19,42494.0,41448.11,381521.899
0.01025467,-0.00163375,1627776000,-0.00163375,0.00698721,41448.1,39350.4,42614.98,39846.78,487529.044
0.00380777,-0.00893085,1627862400,-0.00124554,-0.00395759,39846.78,38658.0,40450.0,39147.48,451872.128
0.0078497,-0.00829899,1627948800,0.00351853,0.00114614,39147.47,37600.0,39774.93,38203.26,517219.517
0.00745286,-0.00406161,1628035200,0.00231826,0.00257862,38201.33,37500.0,39975.32,39731.31,479560.473
0.0099575,-0.01094753,1628121600,0.0058437,0.00338981,39731.31,37291.0,41350.0,40882.4,746249.712
0.01308795,0.00066855,1628208000,0.01074288,0.00632409,40882.39,39849.82,43400.0,42825.43,653451.154
0.0129094,-0.0047627,1628294400,0.00104266,0.00631702,42825.43,42395.2,44753.01,44601.11,583750.891
0.01292256,0.00416958,1628380800,0.00422249,0.00416958,44601.11,43265.0,45350.0,43787.71,553684.698
0.0156858,0.0023866,1628467200,0.01130531,0.00358838,43787.71,42785.0,46483.0,46259.7,626220.503
0.01455559,0.00346001,1628553600,0.00682308,0.00988434,46259.7,44670.05,46800.0,45589.99,460478.861
0.01409878,0.00337757,1628640000,0.00526199,0.00617257,45589.99,45354.0,46754.27,45522.12,390660.571
0.01327784,0.00013124,1628726400,0.00682402,0.00339669,45522.13,43800.0,46226.67,44385.09,468276.056
0.01748209,0.00515586,1628812800,0.00929462,0.00652971,44385.09,44208.88,47980.69,47792.52,438025.46
0.01501236,-0.00029991,1628899200,0.00610471,0.00991964,47792.52,46000.0,48300.0,47083.74,374368.796
0.01333462,0.00617765,1628985600,0.0080129,0.00716738,47083.75,45480.0,47388.75,47006.02,370950.807
0.01580129,0.0049047,1629072000,0.01259508,0.00793711,47006.02,45682.03,48074.23,45926.23,412537.605
0.01190308,0.00503065,1629158400,0.00875973,0.01131662,45926.23,44412.01,47194.0,44704.84,474316.4
0.01459376,0.00601651,1629244800,0.00945018,0.00867214,44704.85,44227.32,46050.0,44714.09,395836.158
0.01248398,0.0046578,1629331200,0.01118079,0.00937455,44714.09,43938.38,47100.0,46772.0,439402.162
0.01604511,0.00844685,1629417600,0.01552529,0.01211093,46772.0,46650.0,49500.0,49332.74,401499.081
0.01641748,0.00664692,1629504000,0.00898954,0.01641748,49332.99,48250.0,49833.0,48848.29,347594.451
0.00980708,0.00225682,1629590400,0.00738334,0.00811302,48846.11,48075.81,49556.2,49273.28,294672.223
0.0165138,0.00468878,1629676800,0.0086487,0.00935423,49273.28,49075.01,50600.0,49523.91,355733.496
0.02057042,0.00491809,1629763200,0.01527112,0.0096496,49523.23,47600.0,49888.88,47719.36,398682.002
0.02846574,0.00689278,1629849600,0.00850157,0.01891202,47719.37,47130.57,49297.8,48992.65,389100.384
0.01255662,0.00377165,1629936000,0.00621089,0.00669086,48992.65,46280.0,49380.0,46853.06,475183.123
0.01275013,0.00417443,1630022400,0.00451322,0.0057748,46854.22,46359.97,49220.0,49083.98,403667.012
0.02245296,0.00460752,1630108800,0.01695331,0.00460752,49082.13,48395.65,49333.0,48931.99,222793.024
0.01748551,0.00594782,1630195200,0.00829178,0.01657544,48931.99,47741.31,49769.2,48795.41,315105.499
