start_time,block_bytes,datetime
2022-04-12 18:00:00,1565234.25,2022-04-12 18:00:00
2022-04-12 19:00:00,1489402.0,2022-04-12 19:00:00
2022-04-12 20:00:00,1512472.6,2022-04-12 20:00:00
2022-04-12 21:00:00,1597044.5,2022-04-12 21:00:00
2022-04-12 22:00:00,1211683.0,2022-04-12 22:00:00
2022-04-12 23:00:00,889874.57142857,2022-04-12 23:00:00
2022-04-13 00:00:00,949320.875,2022-04-13 00:00:00
2022-04-13 01:00:00,692025.625,2022-04-13 01:00:00
2022-04-13 02:00:00,930042.8,2022-04-13 02:00:00
2022-04-13 03:00:00,677705.66666667,2022-04-13 03:00:00
2022-04-13 04:00:00,1308123.75,2022-04-13 04:00:00
2022-04-13 05:00:00,1399087.0,2022-04-13 05:00:00
2022-04-13 06:00:00,1257673.14285714,2022-04-13 06:00:00
2022-04-13 07:00:00,1222617.0,2022-04-13 07:00:00
2022-04-13 08:00:00,1104503.875,2022-04-13 08:00:00
2022-04-13 09:00:00,717153.33333333,2022-04-13 09:00:00
2022-04-13 10:00:00,1406278.0,2022-04-13 10:00:00
2022-04-13 11:00:00,718311.25,2022-04-13 11:00:00
2022-04-13 12:00:00,1492909.0,2022-04-13 12:00:00
2022-04-13 13:00:00,1175084.6,2022-04-13 13:00:00
2022-04-13 14:00:00,1485267.0,2022-04-13 14:00:00
2022-04-13 15:00:00,1433607.66666667,2022-04-13 15:00:00
2022-04-13 16:00:00,1425241.2,2022-04-13 16:00:00
2022-04-13 17:00:00,1537973.0,2022-04-13 17:00:00
2022-04-13 18:00:00,1471684.0,2022-04-13 18:00:00
2022-04-13 19:00:00,1505412.875,2022-04-13 19:00:00
2022-04-13 20:00:00,1468225.33333333,2022-04-13 20:00:00
2022-04-13 21:00:00,1479270.0,2022-04-13 21:00:00
2022-04-13 22:00:00,1582472.375,2022-04-13 22:00:00
2022-04-13 23:00:00,1506101.83333333,2022-04-13 23:00:00
2022-04-14 00:00:00,1501847.5,2022-04-14 00:00:00
2022-04-14 01:00:00,1016148.33333333,2022-04-14 01:00:00
2022-04-14 02:00:00,1356342.0,2022-04-14 02:00:00
2022-04-14 03:00:00,1431125.5,2022-04-14 03:00:00
2022-04-14 04:00:00,875249.625,2022-04-14 04:00:00
2022-04-14 05:00:00,1087495.0,2022-04-14 05:00:00
2022-04-14 06:00:00,1088560.25,2022-04-14 06:00:00
2022-04-14 07:00:00,812197.57142857,2022-04-14 07:00:00
2022-04-14 08:00:00,846023.5,2022-04-14 08:00:00
2022-04-14 09:00:00,495094.14285714,2022-04-14 09:00:00
2022-04-14 10:00:00,1408193.0,2022-04-14 10:00:00
2022-04-14 11:00:00,1532742.0,2022-04-14 11:00:00
2022-04-14 12:00:00,1504176.83333333,2022-04-14 12:00:00
2022-04-14 13:00:00,1277311.66666667,2022-04-14 13:00:00
2022-04-14 14:00:00,1606687.22222222,2022-04-14 14:00:00
2022-04-14 15:00:00,1729482.75,2022-04-14 15:00:00
2022-04-14 16:00:00,1402020.2,2022-04-14 16:00:00
2022-04-14 17:00:00,1427657.33333333,2022-04-14 17:00:00
2022-04-14 18:00:00,1440193.42857143,2022-04-14 18:00:00
2022-04-14 19:00:00,1489931.0,2022-04-14 19:00:00
2022-04-14 20:00:00,1498039.5,2022-04-14 20:00:00
2022-04-14 21:00:00,1465209.16666667,2022-04-14 21:00:00
2022-04-14 22:00:00,1503513.83333333,2022-04-14 22:00:00
