longAccount,longShortRatio,shortAccount,time,low,close,high,open,volume
56.13,1.28,43.87,1687046400.0,26230.9,26329.7,26709.4,26508.8,241977.484
55.7,1.26,44.3,1687132800.0,26241.2,26828.5,27077.0,26329.6,400533.758
55.69,1.26,44.31,1687219200.0,26633.9,28290.6,28397.8,26828.6,758176.297
54.92,1.22,45.08,1687305600.0,28236.4,29988.5,30822.0,28290.7,1123474.427
58.15,1.39,41.85,1687392000.0,29500.1,29875.0,30488.0,29988.5,561051.742
58.55,1.41,41.45,1687478400.0,29792.0,30673.4,31500.0,29875.0,699073.071
58.73,1.42,41.27,1687564800.0,30222.0,30524.2,30796.5,30673.5,279539.288
59.24,1.45,40.76,1687651200.0,30252.6,30458.0,31053.2,30524.2,301533.154
58.24,1.4,41.76,1687737600.0,29890.1,30260.1,30667.3,30458.0,415099.356
59.03,1.44,40.97,1687824000.0,30213.0,30683.2,30998.5,30260.1,406073.348
59.08,1.44,40.92,1687910400.0,29804.6,30066.3,30701.8,30683.2,416656.434
58.85,1.43,41.15,1687996800.0,30036.1,30439.9,30837.0,30066.3,382072.846
58.67,1.42,41.33,1688083200.0,29500.0,30460.2,31300.0,30439.9,809331.305
59.68,1.48,40.32,1688169600.0,30311.3,30573.6,30668.2,30460.2,135520.246
60.21,1.51,39.79,1688256000.0,30149.9,30612.7,30800.0,30573.6,231866.188
60.57,1.54,39.43,1688342400.0,30559.4,31149.0,31395.2,30612.7,370293.236
59.75,1.48,40.25,1688428800.0,30600.0,30756.1,31319.4,31149.0,300832.26
59.66,1.48,40.34,1688515200.0,30175.8,30488.4,30875.2,30756.1,294896.578
59.55,1.47,40.45,1688601600.0,29818.0,29874.4,31568.0,30488.4,721267.219
59.19,1.45,40.81,1688688000.0,29680.0,30327.9,30443.6,29874.3,337801.654
58.21,1.39,41.79,1688774400.0,30026.8,30269.3,30380.0,30328.0,138734.493
58.88,1.43,41.12,1688860800.0,30042.0,30147.8,30443.4,30269.2,162296.263
58.59,1.42,41.41,1688947200.0,29928.8,30396.9,31040.0,30147.8,429115.537
58.76,1.43,41.24,1689033600.0,30261.4,30608.4,30804.9,30396.9,298904.747
58.33,1.4,41.67,1689120000.0,30186.0,30368.9,30980.5,30608.3,425058.257
57.97,1.38,42.03,1689206400.0,30233.0,31441.7,31850.0,30368.9,696023.51
57.91,1.38,42.09,1689292800.0,29876.6,30293.3,31640.0,31441.6,538692.246
56.55,1.3,43.45,1689379200.0,30220.2,30276.4,30380.0,30293.3,111622.474
55.97,1.27,44.03,1689465600.0,30050.0,30216.8,30441.6,30276.5,173805.94
56.43,1.3,43.57,1689552000.0,29630.0,30126.1,30329.7,30216.9,344113.427
55.64,1.25,44.36,1689638400.0,29400.0,29845.6,30227.5,30126.0,337396.417
55.27,1.24,44.73,1689724800.0,29745.0,29895.5,30178.5,29845.7,298418.854
55.26,1.24,44.74,1689811200.0,29468.8,29791.0,30420.0,29895.5,410263.764
54.63,1.2,45.37,1689897600.0,29705.9,29891.4,30056.2,29791.0,221145.074
54.79,1.21,45.21,1689984000.0,29602.2,29783.5,29986.0,29891.5,143375.956
55.35,1.24,44.65,1690070400.0,29718.9,30070.8,30368.2,29783.5,224713.846
56.63,1.31,43.37,1690156800.0,28830.0,29163.8,30091.7,30070.9,434182.417
55.65,1.26,44.35,1690243200.0,29033.0,29216.3,29379.5,29163.8,196438.618
55.86,1.27,44.14,1690329600.0,29083.0,29336.0,29670.5,29216.2,318527.582
55.98,1.27,44.02,1690416000.0,29065.5,29209.7,29558.4,29336.0,223376.534
