o,h,c,l,t,close,low,open,high,volume
0.009229,0.009654,0.009284,0.006382,1701302400,37716.8,37442.9,37837.2,38132.0,191188.871
0.009284,0.014195,0.00752,0.006376,1701388800,38660.0,37600.0,37716.9,38989.0,342361.994
0.00752,0.011911,0.011616,0.004215,1701475200,39435.0,38613.5,38659.9,39900.0,213210.311
0.011616,0.012849,0.012284,0.008535,1701561600,39979.7,39255.2,39435.1,40410.1,221917.905
0.012284,0.045708,0.01191,0.010309,1701648000,41993.1,39970.4,39979.8,42440.0,602492.859
0.01191,0.017667,0.017209,0.00665,1701734400,44081.7,41393.5,41993.1,44528.1,575038.041
0.017209,0.017306,0.009478,0.007362,1701820800,43774.8,43377.0,44081.7,44349.8,383957.738
0.009478,0.028466,0.021256,0.007551,1701907200,43296.0,42815.0,43775.1,44066.7,346421.958
0.021256,0.034163,0.012658,0.01123,1701993600,44209.5,43100.0,43296.0,44779.3,281880.593
0.012658,0.046871,0.026208,0.012658,1702080000,43734.3,43555.0,44209.6,44389.2,189339.656
0.026208,0.033889,0.021883,0.017734,1702166400,43810.0,43552.5,43734.2,44099.2,144548.259
0.021883,0.026547,0.01483,0.004306,1702252800,41271.0,40228.3,43810.1,43833.4,620753.439
0.01483,0.023492,0.019239,0.00566,1702339200,41515.0,40711.0,41271.1,42125.0,356541.118
0.019239,0.019741,0.009549,0.008749,1702425600,42875.0,40556.0,41514.9,43517.6,396710.296
0.009549,0.013077,0.011033,0.006809,1702512000,43032.4,41140.0,42875.0,43450.1,361628.325
0.011033,0.025764,0.009994,0.004902,1702598400,41968.0,41668.0,43032.3,43098.0,257177.013
0.009994,0.02433,0.014441,0.009994,1702684800,42287.4,41638.1,41968.0,42756.7,160549.459
0.014441,0.023368,0.014723,0.010087,1702771200,41396.5,41248.3,42287.4,42476.0,224722.851
0.014723,0.018137,0.01024,0.008871,1702857600,42671.7,40553.8,41396.6,42795.3,375385.675
0.01024,0.016683,0.011251,0.00862,1702944000,42298.3,41835.4,42671.8,43550.0,315311.844
0.011251,0.031738,0.02289,0.009747,1703030400,43708.9,42218.3,42298.2,44384.6,377008.923
0.02289,0.041032,0.02575,0.019759,1703116800,43896.3,43317.2,43708.9,44287.2,276922.155
0.02575,0.036335,0.016868,0.013581,1703203200,43999.2,43430.4,43896.4,44484.0,238341.933
0.016868,0.02866,0.010185,0.005674,1703289600,43725.2,43304.2,43999.2,44023.0,120792.199
0.010185,0.024648,0.011844,0.009211,1703376000,43008.4,42550.0,43725.2,43994.8,179967.251
0.011844,0.051711,0.03951,0.008675,1703462400,43611.9,42755.4,43008.4,43850.0,184210.274
0.03951,0.046168,0.034797,0.021549,1703548800,42538.5,41597.0,43611.9,43635.1,295583.678
0.034797,0.05723,0.019904,0.01988,1703635200,43453.8,42145.7,42538.6,43700.0,251351.538
0.019904,0.056693,0.052326,0.009863,1703721600,42600.1,42320.5,43453.8,43850.0,257515.182
0.052326,0.052326,0.032221,0.026577,1703808000,42095.1,41283.2,42600.1,43171.9,337421.865
0.032221,0.043472,0.026972,0.023268,1703894400,42174.2,41550.0,42095.1,42654.6,183890.67
0.026972,0.041339,0.038914,0.025845,1703980800,42314.0,42001.0,42174.3,42951.0,173508.289
0.038914,0.061231,0.061056,0.029494,1704067200,44230.2,42207.9,42314.0,44266.0,206424.144
0.061056,0.100893,0.027288,0.027198,1704153600,44979.8,44200.9,44230.3,45950.0,459798.523
0.027288,0.033706,0.010069,0.002636,1704240000,42849.5,40333.0,44979.7,45582.3,595855.225
0.010069,0.013619,0.006647,0.006454,1704326400,44143.8,42625.0,42849.5,44840.8,333923.098
0.006647,0.009372,0.006629,0.005441,1704412800,44145.4,42300.0,44143.8,44500.0,374967.791
0.006629,0.009966,0.00821,0.00632,1704499200,43956.7,43391.3,44145.3,44214.6,138542.797
0.00821,0.009469,0.005869,0.005457,1704585600,43916.9,43557.5,43956.6,44486.9,180710.714
0.005869,0.017126,0.016343,0.005869,1704672000,46972.7,43158.1,43916.9,47312.0,495087.983
0.016343,0.018519,0.010407,0.007988,1704758400,46114.0,44417.2,46972.6,48100.0,513362.773
0.010407,0.014239,0.010804,0.007961,1704844800,46662.9,44291.5,46113.9,47699.3,668657.474
0.010804,0.020903,0.009348,0.006789,1704931200,46337.8,45600.0,46663.0,49027.5,596698.379
0.009348,0.030902,0.009507,0.006447,1705017600,42788.9,41370.0,46337.9,46536.2,575943.258
0.009507,0.009507,0.006952,0.004586,1705104000,42846.4,42445.7,42789.0,43273.4,207737.326
0.006952,0.01199,0.009982,0.005588,1705190400,41734.9,41713.5,42846.4,43096.1,181096.968
0.009982,0.012539,0.009163,0.006196,1705276800,42515.0,41720.0,41734.9,43376.0,240059.141
0.009163,0.011248,0.008136,0.007864,1705363200,43133.0,42050.0,42515.0,43589.0,287207.233
0.008136,0.011445,0.011374,0.005986,1705449600,42783.4,42200.0,43133.0,43198.0,209396.081
0.011374,0.013182,0.010852,0.008406,1705536000,41323.1,40673.6,42783.3,42932.3,335080.756
0.010852,0.014773,0.01227,0.008321,1705622400,41662.2,40300.0,41323.2,42197.0,345941.73
