t,l,h,o,c,high,low,open,close,volume
1621036800,33037.92,36430.8,33037.92,35956.54,50709.43,46584.32,49873.26,46793.41,442023.496
1621123200,35433.02,38088.74,36778.57,37148.24,49829.39,43866.0,46794.62,46429.28,604537.63
1621209600,36727.19,43611.43,36969.52,42434.7,46655.0,42151.0,46429.28,43566.18,809129.365
1621296000,40177.15,43002.34,42682.77,43002.34,45846.61,42268.0,43565.11,42882.53,590358.592
1621382400,30305.54,46292.63,42098.71,30305.54,43615.93,28688.0,42882.54,36689.14,1373851.849
1621468800,24120.55,26287.17,26287.17,25270.52,42460.0,34882.0,36689.14,40500.3,775185.113
1621555200,24193.05,27363.73,25226.94,27363.73,42270.42,33400.0,40500.0,37211.02,930671.747
1621641600,27109.78,29523.06,27557.61,29489.94,38851.34,35201.11,37210.01,37432.58,588166.784
1621728000,27889.96,33013.83,29303.35,30840.82,38261.71,31096.7,37436.0,34651.6,996815.017
1621814400,30009.8,34508.7,31010.31,31854.28,39917.09,34366.0,34656.53,38779.66,707903.071
1621900800,29347.53,33295.86,32581.38,31230.54,39790.05,36439.32,38783.58,38326.84,598836.411
1621987200,30192.07,35153.73,31010.13,35153.73,40900.0,37804.76,38326.84,39224.2,577032.81
1622073600,31111.01,35177.1,35177.1,33477.66,40438.82,37133.22,39224.21,38527.38,543338.566
1622160000,31285.1,36840.5,34895.73,36135,38888.35,34689.57,38527.38,35670.99,832363.425
1622246400,35127.33,38464.33,36332.28,37606.4,37375.0,33650.0,35670.99,34611.94,733902.825
1622332800,36592.18,40470.03,39097.65,40470.03,36501.0,33356.0,34611.95,35651.81,511834.746
1622419200,36695.97,40686.79,40686.79,40000.46,37500.0,34150.0,35651.8,37243.38,635082.121
1622505600,36412.45,39696.2,39588.02,37576.1,37893.76,35500.0,37244.36,36693.41,590822.54
1622592000,37264.13,41352.21,38680.42,41352.21,38232.99,35905.0,36694.37,37569.99,441719.806
1622678400,38956.07,43637.26,41308.11,43637.26,39470.0,37150.15,37570.0,39247.4,507429.005
1622764800,41567.66,44542.77,43460.2,42491.02,39297.35,35552.51,39247.4,36828.03,700625.866
1622851200,40614.98,43374.14,42962.36,42387.74,37900.49,34800.0,36828.03,35498.62,631028.448
1622937600,42247.01,46127.5,42247.01,45558.64,36521.16,35201.86,35497.93,35801.71,443601.064
1623024000,42667.69,45885.88,45591.64,45255.21,36820.0,33200.0,35801.71,33550.96,636735.873
1623110400,45258.89,50770.4,45258.89,49784.67,34061.57,30969.0,33550.97,33372.58,976693.026
1623196800,46331.38,55300.93,49083.84,55300.93,37511.31,32390.0,33372.58,37368.45,1031014.087
1623283200,48623.48,52910.85,52910.85,49120.43,38489.0,35750.0,37369.99,36669.66,803185.699
1623369600,46173.74,49394.61,49394.61,48330.53,37679.54,35900.0,36669.65,37300.42,586122.898
1623456000,47527.87,49775.62,48115,48614,37432.95,34585.9,37300.41,35537.05,623532.476
1623542400,47464.78,51506.43,47888.13,51506.43,39374.18,34739.06,35535.95,38993.65,647035.314
1623628800,49806.17,53720.5,52316.9,52794.09,41000.0,38720.0,38993.66,40489.1,704979.881
1623715200,48832.5,52817.73,52817.73,52348.35,41413.0,39500.0,40489.1,40132.86,632066.994
1623801600,49796.86,52810.72,52394.21,52288.66,40495.0,38105.0,40132.86,38344.97,673235.496
1623888000,50774.84,55780.35,53602.16,55665.71,39565.0,37334.76,38344.97,38060.71,603849.861
1623974400,53085.17,56464.57,55431.06,54993.99,38198.0,35100.0,38060.71,35811.41,790379.249
1624060800,50682.33,55872.21,55580.56,55872.21,36471.8,34704.08,35811.41,35483.0,642185.382
1624147200,51946.94,58472.39,55282.85,58146.42,36155.0,33312.0,35483.01,35588.64,829896.441
1624233600,51809.74,55994.02,54162.45,51809.74,35746.28,31250.51,35588.63,31606.0,1397330.662
1624320000,50771.74,57218.28,51083.86,50771.74,33274.0,28780.01,31606.0,32496.0,1531824.85
1624406400,51627.19,56421.48,51627.19,51882.76,34867.77,31711.5,32496.0,33649.0,960700.369
1624492800,51958.31,56073.65,52129.37,55506.34,35406.74,32300.0,33650.0,34644.64,774899.165
1624579200,52836.33,57277.94,55519.05,52967.05,35500.0,31250.0,34644.65,31568.07,1093051.375
1624665600,52462.48,56155.88,53034.58,54603.42,32720.52,30120.0,31569.18,32255.56,1091384.749
1624752000,55037.9,57477.41,55610.05,55463.66,34762.0,31960.0,32250.15,34687.71,897147.453
1624838400,55031.13,60205.12,55625.22,55031.13,35279.38,33855.0,34687.71,34487.22,706158.545
