start_time,date,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
2021-08-18,2021-08-18,0.50081254,1.00325544,8882199683.89745,0.49918746,8853378081.97543
2021-08-19,2021-08-19,0.50465829,1.0188084,9912031424.62864,0.49534171,9729043683.37262
2021-08-20,2021-08-20,0.51188935,1.04871581,9795675335.15131,0.48811065,9340638578.07556
2021-08-21,2021-08-21,0.49820634,0.99285099,8425380828.97749,0.50179366,8486047639.99013
2021-08-22,2021-08-22,0.49548867,0.98211603,7069446553.82974,0.50451133,7198178561.3865795
2021-08-23,2021-08-23,0.4949439,0.97997806,8730529727.27689,0.5050561,8908903234.44342
2021-08-24,2021-08-24,0.48628754,0.94661425,9388227752.24685,0.51371246,9917691083.56613
2021-08-25,2021-08-25,0.50090606,1.00363081,9305808384.61989,0.49909394,9272142993.82015
2021-08-26,2021-08-26,0.48469553,0.94060027,10810418766.29444,0.51530447,11493106110.64264
2021-08-27,2021-08-27,0.50830047,1.03376235,9690337930.56145,0.49169953,9373854534.93954
2021-08-28,2021-08-28,0.49397431,0.97618427,5322881239.01222,0.50602569,5452742290.65808
2021-08-29,2021-08-29,0.49320364,0.97317912,7521204973.28467,0.50679636,7728489873.98639
2021-08-30,2021-08-30,0.48331126,0.9354012,8110488202.99522,0.51668874,8670598501.54551
2021-08-31,2021-08-31,0.49775695,0.99106786,8566413605.53339,0.50224305,8643619637.98331
2021-09-01,2021-09-01,0.50256385,1.01030826,8373396161.40367,0.49743615,8287961714.54841
2021-09-02,2021-09-02,0.49639819,0.98569581,8875112324.58867,0.50360181,9003905918.44503
2021-09-03,2021-09-03,0.49962924,0.99851804,10669987852.41145,0.50037076,10685823809.81596
2021-09-04,2021-09-04,0.4946263,0.97873375,6758729071.49534,0.5053737,6905584987.88808
2021-09-05,2021-09-05,0.51161414,1.04756135,7366607511.29433,0.48838586,7032149019.0210705
2021-09-06,2021-09-06,0.510643,1.04349789,7794269620.42504,0.489357,7469367866.44314
2021-09-07,2021-09-07,0.47693639,0.91181336,17582921988.21066,0.52306361,19283466113.5163
2021-09-08,2021-09-08,0.49383221,0.97562948,9844321477.19449,0.50616779,10090225498.1321
2021-09-09,2021-09-09,0.49361548,0.97478389,7026079762.49958,0.50638452,7207833264.72963
2021-09-10,2021-09-10,0.48758358,0.95153779,7629228769.89687,0.51241642,8017788524.95486
2021-09-11,2021-09-11,0.50438624,1.01770022,4414738689.77957,0.49561376,4337955910.43324
2021-09-12,2021-09-12,0.50679327,1.02754736,5144900818.56771,0.49320673,5006971960.91869
