start_time,datetime,stock_to_flow,stock_to_flow_reversion
2021-01-09 14:00:00,2021-01-09 14:00:00,991752.47614288,0.0412137
2021-01-09 15:00:00,2021-01-09 15:00:00,270478.94803897,0.1500812
2021-01-09 16:00:00,2021-01-09 16:00:00,425039.34691838,0.09423241
2021-01-09 17:00:00,2021-01-09 17:00:00,743819.85710716,0.05443382
2021-01-09 18:00:00,2021-01-09 18:00:00,425040.91834695,0.09575223
2021-01-09 19:00:00,2021-01-09 19:00:00,991763.14280955,0.04108528
2021-01-09 20:00:00,2021-01-09 20:00:00,495882.57140477,0.08207093
2021-01-09 21:00:00,2021-01-09 21:00:00,495883.73807144,0.08237398
2021-01-09 22:00:00,2021-01-09 22:00:00,330590.04760318,0.12224435
2021-01-09 23:00:00,2021-01-09 23:00:00,743828.60710716,0.05407887
2021-01-10 00:00:00,2021-01-10 00:00:00,371915.30355358,0.10936394
2021-01-10 01:00:00,2021-01-10 01:00:00,495888.07140477,0.08313902
2021-01-10 02:00:00,2021-01-10 02:00:00,991777.14280955,0.04140434
2021-01-10 03:00:00,2021-01-10 03:00:00,425048.34691838,0.0951202
2021-01-10 04:00:00,2021-01-10 04:00:00,425049.34691838,0.09516293
2021-01-10 05:00:00,2021-01-10 05:00:00,595070.08568573,0.06812855
2021-01-10 06:00:00,2021-01-10 06:00:00,297536.04284286,0.13780421
2021-01-10 07:00:00,2021-01-10 07:00:00,330596.60315874,0.12417825
2021-01-10 08:00:00,2021-01-10 08:00:00,495895.90473811,0.08246251
2021-01-10 09:00:00,2021-01-10 09:00:00,743844.85710716,0.05487664
2021-01-10 10:00:00,2021-01-10 10:00:00,371923.42855358,0.10879894
2021-01-10 11:00:00,2021-01-10 11:00:00,495898.90473811,0.07903211
2021-01-10 12:00:00,2021-01-10 12:00:00,495899.90473811,0.07979324
2021-01-10 13:00:00,2021-01-10 13:00:00,495900.90473811,0.08027782
2021-01-10 14:00:00,2021-01-10 14:00:00,330601.60315874,0.1192912
2021-01-10 15:00:00,2021-01-10 15:00:00,743854.60710716,0.05335572
2021-01-10 16:00:00,2021-01-10 16:00:00,991807.14280955,0.03957793
2021-01-10 17:00:00,2021-01-10 17:00:00,297543.14284286,0.12968164
2021-01-10 18:00:00,2021-01-10 18:00:00,297544.14284286,0.12799771
2021-01-10 19:00:00,2021-01-10 19:00:00,595089.28568573,0.06287999
2021-01-10 20:00:00,2021-01-10 20:00:00,495908.73807144,0.07605401
2021-01-10 21:00:00,2021-01-10 21:00:00,425065.63263266,0.08953008
