start_time,date,nrpl
2022-05-05,2022-05-05,-697924323.9346714
2022-05-06,2022-05-06,-503393863.57357174
2022-05-07,2022-05-07,-225762531.14179993
2022-05-08,2022-05-08,-495379158.6722491
2022-05-09,2022-05-09,-2505814691.028349
2022-05-10,2022-05-10,-1172056365.5462024
2022-05-11,2022-05-11,-2540976349.090592
2022-05-12,2022-05-12,-1542063640.2458773
2022-05-13,2022-05-13,-680060701.3979977
2022-05-14,2022-05-14,541888961.6118872
2022-05-15,2022-05-15,-45671746.8801992
2022-05-16,2022-05-16,-444967289.9997532
2022-05-17,2022-05-17,-362217209.6730276
2022-05-18,2022-05-18,-598633190.7653261
2022-05-19,2022-05-19,-537496983.3529234
2022-05-20,2022-05-20,-596903555.6781987
2022-05-21,2022-05-21,-108406499.40589473
2022-05-22,2022-05-22,-6955476.61440415
2022-05-23,2022-05-23,-410570670.9511069
2022-05-24,2022-05-24,-253612701.40936735
2022-05-25,2022-05-25,-127464662.62174273
2022-05-26,2022-05-26,-445181341.36300224
2022-05-27,2022-05-27,-859221594.2281513
2022-05-28,2022-05-28,-44752675.36000029
2022-05-29,2022-05-29,-15322651.85518357
2022-05-30,2022-05-30,152321018.63611895
2022-05-31,2022-05-31,338096634.68304855
2022-06-01,2022-06-01,-613127744.9327412
2022-06-02,2022-06-02,-1063137918.6976388
2022-06-03,2022-06-03,-408271549.48914254
2022-06-04,2022-06-04,-422687631.3084755
2022-06-05,2022-06-05,-128485531.78130846
2022-06-06,2022-06-06,-155538964.9085307
2022-06-07,2022-06-07,-734068630.6436472
2022-06-08,2022-06-08,-200485995.2312621
2022-06-09,2022-06-09,-586870208.7421327
2022-06-10,2022-06-10,-410331734.7981912
2022-06-11,2022-06-11,-504095692.377865
2022-06-12,2022-06-12,-415520798.8551199
2022-06-13,2022-06-13,-4261871208.561133
2022-06-14,2022-06-14,-3338393044.055328
2022-06-15,2022-06-15,-2496816351.714833
2022-06-16,2022-06-16,-1607601650.57504
2022-06-17,2022-06-17,-1426605035.9706252
2022-06-18,2022-06-18,-2121217312.44971
2022-06-19,2022-06-19,-176394171.09859055
2022-06-20,2022-06-20,-428378016.0045653
2022-06-21,2022-06-21,-668553415.516434
2022-06-22,2022-06-22,-875145585.6602333
2022-06-23,2022-06-23,-220164776.8156659
2022-06-24,2022-06-24,-417550781.2441437
2022-06-25,2022-06-25,94149770.49687096
2022-06-26,2022-06-26,-71762412.51500855
2022-06-27,2022-06-27,-538467994.6063504
2022-06-28,2022-06-28,-399397445.2716413
2022-06-29,2022-06-29,-487307581.4720802
2022-06-30,2022-06-30,-1614520078.518205
2022-07-01,2022-07-01,-575199853.624681
2022-07-02,2022-07-02,-265581105.40036175
2022-07-03,2022-07-03,-273839031.31063855
2022-07-04,2022-07-04,-54832089.02514416
2022-07-05,2022-07-05,-199262526.5999228
2022-07-06,2022-07-06,-842257236.4280771
2022-07-07,2022-07-07,-79674059.21843152
2022-07-08,2022-07-08,-138532611.8790693
2022-07-09,2022-07-09,-615151496.869648
2022-07-10,2022-07-10,-128483134.918919
2022-07-11,2022-07-11,-1357748161.679054
2022-07-12,2022-07-12,-327665906.3864806
2022-07-13,2022-07-13,-142970670.57831717
2022-07-14,2022-07-14,-389611375.40221536
2022-07-15,2022-07-15,-1558910946.011836
2022-07-16,2022-07-16,-8083171.91094511
2022-07-17,2022-07-17,-49919912.62006315
2022-07-18,2022-07-18,24975940.449896
2022-07-19,2022-07-19,-562091650.9104688
2022-07-20,2022-07-20,242998205.23555648
2022-07-21,2022-07-21,-808307203.0296533
2022-07-22,2022-07-22,-629499364.2591819
2022-07-23,2022-07-23,-291299445.4100161
2022-07-24,2022-07-24,-87318434.58067448
2022-07-25,2022-07-25,-487773544.8043845
2022-07-26,2022-07-26,-443987332.1059129
2022-07-27,2022-07-27,114557652.4375686
2022-07-28,2022-07-28,240240037.03516775
2022-07-29,2022-07-29,18817245.37574193
2022-07-30,2022-07-30,22133883.31675061
2022-07-31,2022-07-31,-115549668.81367752
2022-08-01,2022-08-01,-35272783.30561618
2022-08-02,2022-08-02,-170062646.2956606
2022-08-03,2022-08-03,-55141453.17684812
2022-08-04,2022-08-04,-364301004.15148926
2022-08-05,2022-08-05,-12703705.66898653
2022-08-06,2022-08-06,8489480.7838534
2022-08-07,2022-08-07,-11377531.18753767
2022-08-08,2022-08-08,74519232.76510946
2022-08-09,2022-08-09,-542015632.7095096
2022-08-10,2022-08-10,249350171.93646607
2022-08-11,2022-08-11,-7357823.67630273
2022-08-12,2022-08-12,55470004.76209069
2022-08-13,2022-08-13,15433687.34401039
2022-08-14,2022-08-14,-34727898.70457276
2022-08-15,2022-08-15,-123525692.54098909
2022-08-16,2022-08-16,-45633708.57421146
2022-08-17,2022-08-17,-219858161.80900356
2022-08-18,2022-08-18,-49829966.49203342
2022-08-19,2022-08-19,-774752252.6322038
2022-08-20,2022-08-20,-119264807.35810952
2022-08-21,2022-08-21,-46831998.32251424
2022-08-22,2022-08-22,-281752253.77554953
2022-08-23,2022-08-23,-135434939.74506196
2022-08-24,2022-08-24,-147396307.59302083
2022-08-25,2022-08-25,-176921611.64515668
2022-08-26,2022-08-26,-247639230.14592037
2022-08-27,2022-08-27,-316234922.6327214
2022-08-28,2022-08-28,-14104462.71771509
2022-08-29,2022-08-29,-55237379.98028164
2022-08-30,2022-08-30,-510330295.5875521
2022-08-31,2022-08-31,-167503898.9102354
2022-09-01,2022-09-01,-305225944.86986613
2022-09-02,2022-09-02,-287061695.9924877
2022-09-03,2022-09-03,-72810850.24518663
2022-09-04,2022-09-04,32561374.37058961
2022-09-05,2022-09-05,-119907290.67438434
2022-09-06,2022-09-06,-502171668.2433223
2022-09-07,2022-09-07,-275430305.13506055
2022-09-08,2022-09-08,-220970620.92609748
2022-09-09,2022-09-09,211298828.5275936
2022-09-10,2022-09-10,22402812.31741169
2022-09-11,2022-09-11,-70116602.36716713
