start_time,datetime,total_value_staked
2021-01-17 14:00:00,2021-01-17 14:00:00,2559227.501151518
2021-01-17 15:00:00,2021-01-17 15:00:00,2559252.377688515
2021-01-17 16:00:00,2021-01-17 16:00:00,2559277.370133605
2021-01-17 17:00:00,2021-01-17 17:00:00,2559304.815275652
2021-01-17 18:00:00,2021-01-17 18:00:00,2559329.364901433
2021-01-17 19:00:00,2021-01-17 19:00:00,2559354.228692109
2021-01-17 20:00:00,2021-01-17 20:00:00,2560758.01041934
2021-01-17 21:00:00,2021-01-17 21:00:00,2560782.801468115
2021-01-17 22:00:00,2021-01-17 22:00:00,2560807.322204663
2021-01-17 23:00:00,2021-01-17 23:00:00,2560834.828646448
2021-01-18 00:00:00,2021-01-18 00:00:00,2560859.626415813
