t,shortLiquidationUsd,longLiquidationUsd,high,close,volume,open,low
1638835200.0,6122094.34428,5075044.30947,51929.0,50577.2,224670.618,50424.72,50012.0
1638921600.0,6364214.31231,6799323.05065,51210.6,50455.61,238229.884,50577.2,48533.33
1639008000.0,13184140.01769,5076140.61214,50773.03,47539.76,273086.086,50459.61,47312.89
1639094400.0,8373296.36564,7754870.58949,50188.42,47136.35,302974.429,47539.34,46828.23
1639180800.0,3899757.68498,6192621.64485,49499.05,49381.15,210959.992,47132.31,46724.35
1639267200.0,2917135.99077,3504063.99606,50768.0,50057.01,183434.285,49379.51,48616.16
1639353600.0,9735384.14487,6077028.61205,50180.0,46679.93,348551.322,50057.02,45600.0
1639440000.0,5574036.36433,6529082.61396,48657.92,48324.04,266213.627,46679.93,46255.6
1639526400.0,6524652.77938,7765762.93748,49479.75,48870.48,345239.891,48324.0,46518.73
1639612800.0,7250050.66583,2683809.03028,49439.79,47624.5,215874.187,48870.48,47500.0
1639699200.0,9584013.9533,5774506.23108,47988.27,46125.33,326458.135,47629.1,45373.11
1639785600.0,3489018.53797,4040134.93065,47336.99,46815.99,191006.415,46125.33,45438.43
1639872000.0,4610650.11966,4975557.88125,48461.17,46668.63,241698.541,46815.99,46399.37
1639958400.0,6248431.7813,5767523.72533,47533.42,46898.14,273804.259,46668.65,45530.67
1640044800.0,2678431.88612,6809286.2631,49298.78,48875.15,260008.358,46896.82,46650.0
1640131200.0,3841259.08948,5677526.62837,49599.0,48569.69,208463.689,48875.88,48420.02
1640217600.0,3826150.02869,9348976.6576,51377.74,50817.92,255885.48,48569.69,48020.0
1640304000.0,7091937.47596,6481459.26776,51805.0,50808.55,220208.725,50817.94,50379.25
1640390400.0,2228372.53774,2184790.12671,51190.0,50403.64,147662.438,50809.37,50105.0
1640476800.0,5425114.88193,3916609.07039,51300.0,50765.73,184800.616,50403.64,49350.0
1640563200.0,5058109.2543,3817521.2332,52134.0,50707.72,216225.263,50765.73,50450.0
1640649600.0,13125869.43685,3896359.10502,50713.56,47522.03,336083.34,50707.72,47290.0
1640736000.0,5888046.03912,4568681.62294,48125.97,46436.54,274795.378,47522.02,46000.0
1640822400.0,4619001.14916,4907519.9258,47911.68,47095.02,229931.288,46436.53,45880.0
1640908800.0,9412471.96284,6185509.69745,48575.0,46210.56,287186.003,47095.02,45650.0
1640995200.0,2828019.7387,3994411.0526,47943.77,47704.35,179433.584,46210.57,46210.55
1641081600.0,5400391.75118,3758861.8687,48000.0,47280.0,184795.093,47704.35,46605.68
1641168000.0,8106730.09688,3247987.50696,47575.22,46445.81,244781.793,47280.01,45665.4
1641254400.0,17874013.11564,5107865.42895,47524.36,45833.42,292149.75,46445.8,45445.57
1641340800.0,22284798.40738,8257332.97906,47075.29,43421.69,485477.569,45833.41,42270.0
1641427200.0,5184851.62512,5100046.1717,43766.0,43080.01,299509.851,43421.7,42385.83
1641513600.0,11400293.24284,7255900.79007,43135.0,41553.86,473214.849,43080.01,40456.56
1641600000.0,7306228.30557,4682124.75424,42335.0,41688.05,283737.224,41553.87,40500.0
1641686400.0,4089682.51575,4371805.75373,42773.85,41851.22,223134.952,41688.05,41170.0
1641772800.0,10001108.02939,7406704.74281,42219.84,41801.55,453644.116,41851.22,39610.0
1641859200.0,4029945.27091,7766550.23081,43118.0,42700.68,323760.691,41801.55,41255.0
1641945600.0,2914005.01769,4523285.56095,44300.0,43880.72,281339.294,42700.69,42415.0
1642032000.0,7133131.37934,3403709.94899,44396.68,42534.32,289289.18,43880.72,42301.16
1642118400.0,4301435.57918,4306507.95098,43450.0,43042.4,272517.077,42538.72,41666.0
1642204800.0,2411009.82095,2664206.69714,43800.0,43070.51,184649.157,43042.4,42530.64
1642291200.0,2902400.2658,2558491.55492,43464.71,43060.66,177450.475,43070.51,42531.69
1642377600.0,7364580.75211,3081820.27641,43159.32,42176.34,232748.345,43060.66,41523.68
1642464000.0,5331229.02203,4858262.58108,42680.0,42337.58,267472.465,42176.34,41260.0
1642550400.0,9087343.61226,3576096.4126,42545.0,41657.89,333952.095,42337.58,41115.64
1642636800.0,10502649.05388,6660373.60067,43495.0,40661.69,399818.052,41656.9,40550.0
1642723200.0,29218650.07087,14303905.36907,41095.76,36425.98,790320.909,40662.06,35380.92
1642809600.0,18504708.46144,13280117.37315,36817.74,35043.73,676272.904,36426.46,33950.0
1642896000.0,6723924.17301,6350292.57558,36496.92,36230.01,369372.903,35043.73,34588.8
1642982400.0,17204508.54848,14700246.12662,37528.0,36648.31,823000.702,36230.0,32853.83
1643068800.0,7459995.79898,9634979.74291,37561.03,36934.26,409535.517,36648.3,35693.0
1643155200.0,10880358.07881,10407847.80879,38886.58,36787.43,554457.384,36934.26,36232.42
1643241600.0,10297423.95681,7906025.12035,37200.0,37131.0,422006.922,36787.42,35471.53
1643328000.0,5610406.42225,8064155.73049,38000.0,37696.21,367509.143,37131.0,36149.02
1643414400.0,3109028.63459,3248840.64201,38750.94,38150.01,238657.764,37696.22,37252.0
1643500800.0,3076000.18218,2466566.26902,38420.3,37870.01,195029.125,38150.0,37334.83
