start_time,datetime,tokens_transferred_mean,tokens_transferred_median,tokens_transferred_total
2021-01-12 13:00:00,2021-01-12 13:00:00,4.83718281,0.04039687,56459.59771445
2021-01-12 14:00:00,2021-01-12 14:00:00,5.55347992,0.04024641,85734.62296348
2021-01-12 15:00:00,2021-01-12 15:00:00,3.58122215,0.02377573,63133.36528566
2021-01-12 16:00:00,2021-01-12 16:00:00,4.33898072,0.02138512,46691.77153813
2021-01-12 17:00:00,2021-01-12 17:00:00,5.44497376,0.03210337,107538.2317003
2021-01-12 18:00:00,2021-01-12 18:00:00,4.81382423,0.03927715,30331.90649015
2021-01-12 19:00:00,2021-01-12 19:00:00,12.13079001,0.04285884,93807.39915467
2021-01-12 20:00:00,2021-01-12 20:00:00,6.527308,0.03295684,88555.98768344
2021-01-12 21:00:00,2021-01-12 21:00:00,8.07967472,0.0211359,145337.18888937
2021-01-12 22:00:00,2021-01-12 22:00:00,6.87412138,0.02169751,143648.51447531
2021-01-12 23:00:00,2021-01-12 23:00:00,4.79321374,0.01776122,82438.48313487
2021-01-13 00:00:00,2021-01-13 00:00:00,1.84584523,0.01691315,22908.7851895
2021-01-13 01:00:00,2021-01-13 01:00:00,8.49191943,0.02604035,96264.39867275
2021-01-13 02:00:00,2021-01-13 02:00:00,7.85328517,0.02159875,111548.06258822
2021-01-13 03:00:00,2021-01-13 03:00:00,6.15731403,0.04,41414.09414479
2021-01-13 04:00:00,2021-01-13 04:00:00,6.42709915,0.01530948,80518.69813619
2021-01-13 05:00:00,2021-01-13 05:00:00,5.63783052,0.02876554,57584.80095991
2021-01-13 06:00:00,2021-01-13 06:00:00,6.02849696,0.02689684,62177.91766669
2021-01-13 07:00:00,2021-01-13 07:00:00,1.957505,0.02631935,28105.85674833
2021-01-13 08:00:00,2021-01-13 08:00:00,9.45122279,0.04894403,78350.63696615
2021-01-13 09:00:00,2021-01-13 09:00:00,3.21625609,0.01838069,52334.91906439
2021-01-13 10:00:00,2021-01-13 10:00:00,7.23858388,0.02409863,105893.24351776
2021-01-13 11:00:00,2021-01-13 11:00:00,3.15297427,0.03,26812.89315827
2021-01-13 12:00:00,2021-01-13 12:00:00,4.38350792,0.03093541,56332.46023789
2021-01-13 13:00:00,2021-01-13 13:00:00,5.51328984,0.03,53749.06266063
2021-01-13 14:00:00,2021-01-13 14:00:00,5.0963286,0.02203007,132912.24977002
2021-01-13 15:00:00,2021-01-13 15:00:00,2.18033282,0.02244218,36490.05009295
2021-01-13 16:00:00,2021-01-13 16:00:00,6.85099037,0.03176036,86000.48208201
2021-01-13 17:00:00,2021-01-13 17:00:00,6.39183216,0.01969469,151141.26335438
2021-01-13 18:00:00,2021-01-13 18:00:00,3.38870029,0.02700684,46350.64261108
