longShortRatio,shortAccount,time,longAccount,low,high,open,volume,close
2.93,25.48,1652054400,74.52,30003.6,34243.3,34032.1,1078779.712,30056.6
2.93,25.48,1652140800,74.52,29701.4,32650.0,30056.0,863178.961,31002.1
2.93,25.48,1652227200,74.52,27651.0,32197.6,31002.1,1101875.972,29074.7
2.41,29.3,1652313600,70.7,26631.0,30257.0,29077.9,964475.589,29020.7
1.57,38.95,1652400000,61.05,28730.4,31072.6,29020.8,507620.105,29274.3
1.42,41.25,1652486400,58.75,28602.3,30352.2,29274.2,315756.895,30079.8
1.74,36.46,1652572800,63.54,29448.0,31462.0,30079.5,336773.139,31324.4
1.45,40.81,1652659200,59.19,29052.3,31327.4,31324.3,507243.166,29866.7
1.49,40.11,1652745600,59.89,29420.0,30794.0,29866.4,398624.519,30437.0
1.49,40.13,1652832000,59.87,28629.6,30700.0,30437.0,426700.457,28700.6
1.93,34.12,1652918400,65.88,28670.5,30550.0,28700.6,448856.724,30319.9
1.12,47.24,1653004800,52.76,28702.0,30784.4,30319.9,485439.171,29188.9
2.36,29.79,1653091200,70.21,28927.0,29650.0,29188.9,202804.089,29427.4
1.86,34.99,1653177600,65.01,29223.6,30500.0,29427.4,297116.44,30284.0
1.2,45.46,1653264000,54.54,28840.7,30658.0,30284.0,475720.75,29097.7
2.19,31.34,1653350400,68.66,28637.6,29887.3,29097.8,382124.449,29643.1
2.36,29.76,1653436800,70.24,29330.0,30246.7,29643.0,413459.484,29536.7
1.77,36.07,1653523200,63.93,27952.1,29877.0,29536.7,602137.086,29194.0
1.52,39.72,1653609600,60.28,28259.6,29387.0,29194.0,506638.884,28623.2
2.18,31.45,1653696000,68.55,28520.0,29265.7,28623.3,193644.283,29018.8
1.73,36.7,1653782400,63.3,28825.0,29595.2,29018.8,215139.934,29452.8
1.43,41.13,1653868800,58.87,29301.1,32307.6,29452.6,502712.176,31726.5
1.26,44.18,1653955200,55.82,31222.0,32427.5,31726.5,383688.265,31797.8
1.22,45.01,1654041600,54.99,29300.0,31986.1,31797.9,556992.756,29796.9
1.96,33.75,1654128000,66.25,29566.1,30750.0,29796.9,370924.687,30437.1
1.55,39.22,1654214400,60.78,29220.0,30693.2,30437.1,357110.377,29682.8
2.24,30.86,1654300800,69.14,29456.0,29988.0,29682.8,187520.534,29848.4
2.01,33.21,1654387200,66.79,29524.0,30250.0,29848.5,205385.831,29909.9
1.77,36.15,1654473600,63.85,29876.2,31780.0,29910.0,436522.874,31361.2
0.84,54.44,1654560000,45.56,29190.0,31599.0,31361.2,691714.985,31118.1
1.01,49.82,1654646400,50.18,29825.0,31325.0,31118.0,455686.637,30192.5
1.62,38.17,1654732800,61.83,29914.5,30691.9,30192.6,307312.175,30093.3
2.05,32.75,1654819200,67.25,28805.0,30374.1,30093.4,445928.659,29077.7
