start_time,bank_supply_ratio,date
2022-08-27,0.00655121,2022-08-27
2022-08-28,0.00655087,2022-08-28
2022-08-29,0.00655053,2022-08-29
2022-08-30,0.00655019,2022-08-30
2022-08-31,0.00654987,2022-08-31
2022-09-01,0.00654958,2022-09-01
2022-09-02,0.0065493,2022-09-02
2022-09-03,0.00654899,2022-09-03
2022-09-04,0.00654863,2022-09-04
2022-09-05,0.0065483,2022-09-05
2022-09-06,0.006548,2022-09-06
2022-09-07,0.00654769,2022-09-07
2022-09-08,0.00654742,2022-09-08
2022-09-09,0.0065471,2022-09-09
2022-09-10,0.00654677,2022-09-10
2022-09-11,0.00654637,2022-09-11
2022-09-12,0.00654605,2022-09-12
2022-09-13,0.00654576,2022-09-13
2022-09-14,0.00654548,2022-09-14
2022-09-15,0.00654517,2022-09-15
2022-09-16,0.0065449,2022-09-16
2022-09-17,0.00654453,2022-09-17
2022-09-18,0.0065442,2022-09-18
2022-09-19,0.00654393,2022-09-19
2022-09-20,0.0065436,2022-09-20
2022-09-21,0.0065433,2022-09-21
2022-09-22,0.00654303,2022-09-22
2022-09-23,0.00654274,2022-09-23
2022-09-24,0.00654243,2022-09-24
2022-09-25,0.00654211,2022-09-25
2022-09-26,0.00654179,2022-09-26
2022-09-27,0.00654152,2022-09-27
2022-09-28,0.0065412,2022-09-28
2022-09-29,0.00654089,2022-09-29
2022-09-30,0.00654053,2022-09-30
2022-10-01,0.00654015,2022-10-01
2022-10-02,0.00653981,2022-10-02
2022-10-03,0.00653948,2022-10-03
2022-10-04,0.00653914,2022-10-04
2022-10-05,0.00653876,2022-10-05
2022-10-06,0.00653842,2022-10-06
2022-10-07,0.00653806,2022-10-07
2022-10-08,0.00653769,2022-10-08
2022-10-09,0.00653735,2022-10-09
2022-10-10,0.00653699,2022-10-10
2022-10-11,0.00653666,2022-10-11
2022-10-12,0.00653637,2022-10-12
2022-10-13,0.00653606,2022-10-13
2022-10-14,0.00653573,2022-10-14
2022-10-15,0.00653541,2022-10-15
2022-10-16,0.0065351,2022-10-16
2022-10-17,0.00653478,2022-10-17
2022-10-18,0.00653448,2022-10-18
2022-10-19,0.00653416,2022-10-19
2022-10-20,0.00653385,2022-10-20
2022-10-21,0.00653352,2022-10-21
2022-10-22,0.00653323,2022-10-22
2022-10-23,0.0065329,2022-10-23
2022-10-24,0.00653261,2022-10-24
2022-10-25,0.00653235,2022-10-25
2022-10-26,0.00653202,2022-10-26
2022-10-27,0.00653173,2022-10-27
2022-10-28,0.00653139,2022-10-28
2022-10-29,0.00653109,2022-10-29
2022-10-30,0.0065308,2022-10-30
2022-10-31,0.00653043,2022-10-31
2022-11-01,0.00653013,2022-11-01
2022-11-02,0.00652987,2022-11-02
2022-11-03,0.00652952,2022-11-03
2022-11-04,0.00652924,2022-11-04
2022-11-05,0.00652892,2022-11-05
2022-11-06,0.00652863,2022-11-06
2022-11-07,0.00652833,2022-11-07
2022-11-08,0.00652798,2022-11-08
2022-11-09,0.00652766,2022-11-09
2022-11-10,0.00652735,2022-11-10
2022-11-11,0.00652707,2022-11-11
2022-11-12,0.00652671,2022-11-12
2022-11-13,0.00652644,2022-11-13
