start_time,datetime,fees_block_mean,fees_block_mean_usd,fees_reward_percent,fees_total,fees_total_usd
2021-01-07 21:00:00,2021-01-07 21:00:00,1.01155926,40000.77637419,0.13930331,7.08091485,280005.43461936
2021-01-07 22:00:00,2021-01-07 22:00:00,0.81972813,32488.73983263,0.11594903,8.19728133,324887.3983263
2021-01-07 23:00:00,2021-01-07 23:00:00,0.88357426,34675.94575301,0.12386137,5.30144557,208055.67451806
2021-01-08 00:00:00,2021-01-08 00:00:00,0.8913614,34997.71050643,0.12481673,5.34816841,209986.26303859
2021-01-08 01:00:00,2021-01-08 01:00:00,0.54949288,21214.3378216,0.0808138,4.39594302,169714.70257279
2021-01-08 02:00:00,2021-01-08 02:00:00,0.749945,27999.8766187,0.10713584,4.49967,167999.25971222
2021-01-08 03:00:00,2021-01-08 03:00:00,0.69557931,26417.77632939,0.10014705,4.17347586,158506.65797633
2021-01-08 04:00:00,2021-01-08 04:00:00,0.67240039,25951.24087978,0.09713399,3.36200193,129756.20439888
2021-01-08 05:00:00,2021-01-08 05:00:00,0.61803576,23667.84877412,0.08998727,2.47214305,94671.39509646
2021-01-08 06:00:00,2021-01-08 06:00:00,0.63136411,24194.28574987,0.09174985,3.78818464,145165.71449921
2021-01-08 07:00:00,2021-01-08 07:00:00,0.57203996,22081.94299842,0.08385175,2.86019981,110409.71499212
2021-01-08 08:00:00,2021-01-08 08:00:00,0.85292143,32987.01735801,0.12008037,4.26460713,164935.08679007
2021-01-08 09:00:00,2021-01-08 09:00:00,0.94948729,36788.88276976,0.13188263,1.89897458,73577.76553952
2021-01-08 10:00:00,2021-01-08 10:00:00,0.75123889,30000.94094955,0.10730085,7.51238888,300009.40949554
2021-01-08 11:00:00,2021-01-08 11:00:00,1.04007644,42866.1721407,0.14267017,3.12022932,128598.51642209
2021-01-08 12:00:00,2021-01-08 12:00:00,1.16357723,48315.93601662,0.1569522,3.49073168,144947.80804986
2021-01-08 13:00:00,2021-01-08 13:00:00,1.05398645,43565.65658808,0.1443029,10.53986448,435656.56588083
2021-01-08 14:00:00,2021-01-08 14:00:00,1.0216425,42235.03641,0.1404968,8.17314002,337880.29127999
2021-01-08 15:00:00,2021-01-08 15:00:00,0.99879639,41042.51570766,0.13778789,8.98916752,369382.64136896
2021-01-08 16:00:00,2021-01-08 16:00:00,1.14434128,47292.11299348,0.15475906,8.01038898,331044.79095436
2021-01-08 17:00:00,2021-01-08 17:00:00,1.03855231,42904.15300723,0.14249089,5.19276155,214520.76503616
2021-01-08 18:00:00,2021-01-08 18:00:00,1.25102548,50794.31455964,0.16678059,5.0041019,203177.25823857
2021-01-08 19:00:00,2021-01-08 19:00:00,1.13257844,45696.56004371,0.15341231,6.79547063,274179.36026229
2021-01-08 20:00:00,2021-01-08 20:00:00,1.11402218,43833.00527643,0.15127904,11.14022184,438330.05276433
2021-01-08 21:00:00,2021-01-08 21:00:00,1.17856359,46884.42598372,0.15865296,5.89281795,234422.12991859
2021-01-08 22:00:00,2021-01-08 22:00:00,1.10332924,44561.57766273,0.15004486,6.61997541,267369.46597637
2021-01-08 23:00:00,2021-01-08 23:00:00,0.88106088,35947.23686146,0.12355257,7.92954789,323525.13175312
2021-01-09 00:00:00,2021-01-09 00:00:00,1.04595522,42512.96606048,0.14336097,5.22977608,212564.83030238
2021-01-09 01:00:00,2021-01-09 01:00:00,0.80854954,32375.60963855,0.11454896,4.04274771,161878.04819275
2021-01-09 02:00:00,2021-01-09 02:00:00,0.9120223,36676.83046162,0.12734145,5.47213382,220060.9827697
2021-01-09 03:00:00,2021-01-09 03:00:00,0.93415119,37429.65945154,0.13002944,3.73660476,149718.63780616
2021-01-09 04:00:00,2021-01-09 04:00:00,0.47374124,19016.96813567,0.07045798,5.21115366,209186.64949237
2021-01-09 05:00:00,2021-01-09 05:00:00,1.02797156,40917.25429846,0.14124424,4.11188625,163669.01719385
2021-01-09 06:00:00,2021-01-09 06:00:00,0.69366613,27248.74972159,0.09989912,5.54932901,217989.99777269
2021-01-09 07:00:00,2021-01-09 07:00:00,1.35160983,53295.96981012,0.17780574,1.35160983,53295.96981012
2021-01-09 08:00:00,2021-01-09 08:00:00,0.98893111,39316.93910966,0.13661286,6.92251776,275218.57376765
2021-01-09 09:00:00,2021-01-09 09:00:00,0.83034617,33655.22138852,0.1172748,4.15173086,168276.10694259
2021-01-09 10:00:00,2021-01-09 10:00:00,0.87894218,35661.35643371,0.12329209,5.27365308,213968.13860224
2021-01-09 11:00:00,2021-01-09 11:00:00,0.75618351,30803.20822267,0.10793087,3.78091756,154016.04111333
2021-01-09 12:00:00,2021-01-09 12:00:00,0.69631816,28367.85718049,0.10024277,5.5705453,226942.8574439
2021-01-09 13:00:00,2021-01-09 13:00:00,0.87130592,35794.66818829,0.12235199,3.48522368,143178.67275315
2021-01-09 14:00:00,2021-01-09 14:00:00,0.95712315,39545.33056612,0.13280239,2.87136946,118635.99169836
2021-01-09 15:00:00,2021-01-09 15:00:00,0.75111226,30607.72891128,0.1072847,8.26223488,336685.01802409
2021-01-09 16:00:00,2021-01-09 16:00:00,0.68410349,27601.93217816,0.09865781,4.78872443,193213.52524715
2021-01-09 17:00:00,2021-01-09 17:00:00,1.08383576,43914.19164065,0.14778566,4.33534303,175656.7665626
2021-01-09 18:00:00,2021-01-09 18:00:00,0.81078586,33031.92626018,0.11482941,5.67550105,231223.48382124
2021-01-09 19:00:00,2021-01-09 19:00:00,1.14685238,46813.84453238,0.155046,3.44055715,140441.53359715
2021-01-09 20:00:00,2021-01-09 20:00:00,0.74533116,30182.08144202,0.10654694,4.47198694,181092.48865209
2021-01-09 21:00:00,2021-01-09 21:00:00,0.75274308,30692.46567676,0.1074926,4.51645849,184154.79406054
2021-01-09 22:00:00,2021-01-09 22:00:00,0.64245304,26063.91997574,0.09321109,5.78207739,234575.27978165
2021-01-09 23:00:00,2021-01-09 23:00:00,0.63179234,25539.58926667,0.09180636,2.52716935,102158.3570667
2021-01-10 00:00:00,2021-01-10 00:00:00,0.54352479,22014.13182967,0.0800063,4.34819831,176113.05463735
2021-01-10 01:00:00,2021-01-10 01:00:00,0.60141648,24772.02240735,0.08777987,3.60849885,148632.13444413
2021-01-10 02:00:00,2021-01-10 02:00:00,1.02725959,42222.48832987,0.14116022,3.08177878,126667.46498962
2021-01-10 03:00:00,2021-01-10 03:00:00,0.47274927,19239.3002413,0.07032082,3.3092449,134675.10168909
2021-01-10 04:00:00,2021-01-10 04:00:00,0.50466353,20449.45863474,0.07471335,3.5326447,143146.21044318
2021-01-10 05:00:00,2021-01-10 05:00:00,0.45138673,18312.20714971,0.06735721,2.25693366,91561.03574857
2021-01-10 06:00:00,2021-01-10 06:00:00,0.39420683,16087.78185737,0.05933091,3.94206829,160877.81857368
2021-01-10 07:00:00,2021-01-10 07:00:00,0.32864393,13443.85072746,0.04995618,2.95779535,120994.6565471
