start_time,date,range_0d_1d,range_10y_inf,range_12m_18m,range_18m_2y,range_1d_1w,range_1m_3m,range_1w_1m,range_2y_3y,range_3m_6m,range_3y_5y,range_5y_7y,range_6m_12m,range_7y_10y
2021-12-11,2021-12-11,48603.42917089,1.26129453,13187.20969291,8032.56093752,49212.70680049,58019.25433355,58164.64858203,7493.82199057,39904.18589694,6527.79300235,464.38417777,44114.40414107,338.42417836
2021-12-12,2021-12-12,49800.4732275,1.26139134,13249.6351778,8037.99928515,49063.08235132,58890.50700993,56724.96706148,7499.6926579,39929.5299,6527.79412985,465.02568169,44171.9199582,338.45374231
2021-12-13,2021-12-13,47621.56032096,1.26161756,13764.19289529,8043.07516172,49317.21710412,59217.31990415,56107.45285164,7508.99600885,40035.50117,6523.83782242,465.4027488,44813.56157572,338.55931709
2021-12-14,2021-12-14,47414.07204404,1.26158552,13809.35369294,8051.40601607,48663.86380611,59409.62587225,55773.97138877,7514.02330064,40116.69939386,6529.76508767,465.7487315,44839.36894322,338.59111448
2021-12-15,2021-12-15,48262.08683184,1.26181154,13857.79231924,8059.49612532,48117.53543855,59694.55651565,55153.90114074,7514.25290214,40258.95505517,6529.54241696,466.30343455,44867.92468219,338.66364528
2021-12-16,2021-12-16,48192.35586638,1.2620644,14065.53084521,8126.98354898,47973.49518617,59794.5257656,54458.58083249,7519.96091933,40309.87502448,6532.72917903,467.96704563,44929.45407401,338.70713696
2021-12-17,2021-12-17,46795.64509391,1.26230203,14225.23427513,8138.32059734,48013.23822924,59852.322909,54152.10299048,7546.74800789,40364.57468059,6523.07293693,468.33120366,45040.96511435,338.72895771
2021-12-18,2021-12-18,46737.35169208,1.26375525,14425.62583003,8146.82962844,47661.29687049,59845.75966085,53907.68785287,7551.76921229,40449.19266843,6523.19628244,468.96812881,45172.41538053,339.06596659
2021-12-19,2021-12-19,47005.56409681,1.26439734,14522.95243471,8156.91270169,47459.39438841,59920.95636358,53742.10547636,7556.86737772,40571.96859476,6523.01278951,469.69090056,45198.94037694,339.25021105
2021-12-20,2021-12-20,46406.68642383,1.26551909,14603.33819075,8172.65982913,47507.45339999,60077.82883962,53296.15963488,7565.2079859,40638.90113201,6523.4583749,471.09538859,45191.43530542,339.48488026
2021-12-21,2021-12-21,48657.13065289,1.26574555,14733.12943101,8177.80877593,47316.92806046,60195.5958182,52970.61198042,7569.77550187,40748.95079649,6524.12380461,471.84958982,45236.24364862,339.62291306
2021-12-22,2021-12-22,48892.96591942,1.26610931,15093.8531234,8183.75406433,47672.97174159,60217.52431632,52671.91972076,7564.31438807,40818.70722427,6525.21680123,472.64622112,45528.88728974,339.69138718
2021-12-23,2021-12-23,49456.37560678,1.26630399,15352.76605397,8191.39456241,47910.59735643,60297.43554067,52203.79968753,7567.68321342,40869.11852343,6525.05905903,473.0443072,45794.71124173,339.7297874
2021-12-24,2021-12-24,51077.80617313,1.26692382,15444.22396701,8199.10828283,48264.89278265,60305.45344784,51796.99868815,7571.75319774,40898.95826089,6525.18651492,473.80178293,45865.2396842,339.85501328
2021-12-25,2021-12-25,50851.35596064,1.26760022,15494.6577178,8205.45842546,49168.25049633,60219.38927522,50789.82282203,7573.40004689,41023.23247069,6529.63246682,475.468588,45820.48574342,340.00883768
2021-12-26,2021-12-26,50303.30455581,1.26839368,15554.5493808,8209.94800792,49377.87281765,60225.45307778,50582.50949665,7576.37714762,41086.00503672,6531.48143986,477.41293401,45815.01249749,340.1250085
2021-12-27,2021-12-27,51342.07076014,1.26870482,15764.44413701,8214.14108658,49685.70603525,60331.12911065,50281.75315031,7580.57842912,41168.6267918,6531.70914041,478.20387719,45884.97433805,340.17574628
2021-12-28,2021-12-28,48543.39152749,1.26891754,16810.02771063,8220.1313372,50054.04034737,60395.2364144,50109.59361861,7583.43336618,41291.47674043,6531.89169453,478.9364616,46575.37732122,340.21839243
2021-12-29,2021-12-29,47358.88191056,1.26324567,16900.01538138,8228.16139642,50087.64357518,60435.82627331,49785.91348182,7587.53221293,41810.5764494,6530.66770923,479.2339933,46358.2264873,340.27720949
2021-12-30,2021-12-30,47319.96658049,1.26396009,16937.32618631,8234.08909483,49702.76415472,60438.64449154,49433.29589014,7591.40145416,41865.0774075,6534.0934163,480.95359467,46408.52567746,340.39000009
2021-12-31,2021-12-31,46984.48842089,1.26420139,17094.64785838,8236.74547198,48517.70191508,60473.0175729,49163.54500442,7596.72449319,41943.66067075,6542.09152546,481.61927934,46486.83067403,340.43307583
2022-01-01,2022-01-01,47238.2095922,1.26535281,17231.97833311,8241.93558995,47876.39918226,60427.70751016,48969.82100185,7600.80271214,42014.88345231,6545.62908323,483.80701618,46541.43981302,340.81139733
2022-01-02,2022-01-02,47271.12544183,1.26706344,17457.43264592,8252.9993396,47776.70505998,60421.86173638,48758.84709105,7606.07209692,42133.97423282,6546.3168698,485.04628736,46618.41154577,340.97669504
2022-01-03,2022-01-03,46455.35195944,1.26794638,17607.77160803,8257.08266803,47453.85747548,60299.56267345,48889.46359968,7613.02476728,42235.31599796,6545.96527259,486.30848725,46645.87022737,341.05627736
2022-01-04,2022-01-04,46410.5718001,1.26842711,17901.80515234,8275.83249156,47058.93174851,60197.53614731,48890.68440313,7614.18274902,42427.74553806,6546.77777784,487.05132939,46729.11421467,341.07981377
2022-01-05,2022-01-05,45408.73554422,1.2714273,18168.07068389,8286.05718719,46943.40853354,60030.97922686,48809.88237394,7617.28289792,42683.16234582,6548.49389848,488.16228381,46837.77781769,341.34885292
2022-01-06,2022-01-06,43102.57389235,1.27208138,18441.24811503,8290.03434161,46569.15838374,59847.04501371,48515.73555868,7619.69262229,42833.4606222,6548.47715115,488.84315232,46922.59210613,341.41091249
2022-01-07,2022-01-07,41836.30792964,1.27362298,18849.83320977,8291.87300786,45024.49093487,59787.73819036,48378.39064515,7623.98714587,43050.64045418,6548.8378086,489.80398721,46969.34578161,341.57345683
