h,c,o,l,t,low,open,close,volume,high
0.041164,0.017189,0.012917,0.011737,1699574400,36350.0,36719.6,37330.4,299373.892,37570.0
0.024795,0.020587,0.017189,0.01347,1699660800,36588.0,37330.3,37162.1,159239.284,37422.2
0.036577,0.032028,0.020587,0.020587,1699747200,36753.6,37162.1,37085.5,118890.045,37258.4
0.032028,0.014759,0.032028,0.014566,1699833600,36350.0,37085.6,36486.2,257075.648,37464.8
0.021715,0.00821,0.014759,0.008152,1699920000,34446.3,36486.2,35559.0,397265.8,36779.9
0.016229,0.013271,0.00821,0.007119,1700006400,35388.0,35559.1,37885.6,423818.57,38000.0
0.019556,0.008388,0.013271,0.006313,1700092800,35486.1,37885.5,36176.0,434444.366,37956.5
0.01477,0.008807,0.008388,0.007179,1700179200,35868.3,36176.0,36621.9,319943.051,37020.5
0.011928,0.009528,0.008807,0.007342,1700265600,36196.0,36621.9,36580.9,121720.922,36900.0
0.015464,0.01103,0.009528,0.008434,1700352000,36380.0,36580.9,37375.9,154713.007,37528.2
0.017203,0.009217,0.01103,0.008242,1700438400,36600.0,37375.8,37462.5,310504.037,37784.7
0.01047,0.009362,0.009217,0.006921,1700524800,35720.0,37462.6,35737.0,450731.16,37675.0
0.01164,0.011242,0.009362,0.001855,1700611200,35610.7,35737.0,37413.4,338189.618,37880.0
0.014752,0.010329,0.011242,0.005697,1700697600,36856.3,37413.5,37294.3,185369.931,37650.0
0.014771,0.006153,0.010329,0.006074,1700784000,37257.3,37294.4,37706.3,351031.723,38425.0
0.012017,0.008866,0.006153,0.006153,1700870400,37570.9,37706.3,37766.6,82589.329,37886.5
0.011883,0.009756,0.008866,0.005068,1700956800,37126.0,37766.7,37437.9,173758.644,37807.6
0.013306,0.010801,0.009756,0.005591,1701043200,36700.0,37437.9,37234.3,266112.699,37560.0
0.010936,0.008085,0.010801,0.007322,1701129600,36856.0,37234.4,37812.1,318426.327,38395.0
0.012884,0.009229,0.008085,0.003478,1701216000,37551.8,37812.0,37837.1,261631.881,38500.0
0.009654,0.009284,0.009229,0.006382,1701302400,37442.9,37837.2,37716.8,191188.871,38132.0
0.014195,0.00752,0.009284,0.006376,1701388800,37600.0,37716.9,38660.0,342361.994,38989.0
0.011911,0.011616,0.00752,0.004215,1701475200,38613.5,38659.9,39435.0,213210.311,39900.0
0.012849,0.012284,0.011616,0.008535,1701561600,39255.2,39435.1,39979.7,221917.905,40410.1
0.045708,0.01191,0.012284,0.010309,1701648000,39970.4,39979.8,41993.1,602492.859,42440.0
0.017667,0.017209,0.01191,0.00665,1701734400,41393.5,41993.1,44081.7,575038.041,44528.1
0.017306,0.009478,0.017209,0.007362,1701820800,43377.0,44081.7,43774.8,383957.738,44349.8
0.028466,0.021256,0.009478,0.007551,1701907200,42815.0,43775.1,43296.0,346421.958,44066.7
0.034163,0.012658,0.021256,0.01123,1701993600,43100.0,43296.0,44209.5,281880.593,44779.3
0.046871,0.026208,0.012658,0.012658,1702080000,43555.0,44209.6,43734.3,189339.656,44389.2
0.033889,0.021883,0.026208,0.017734,1702166400,43552.5,43734.2,43810.0,144548.259,44099.2
0.026547,0.01483,0.021883,0.004306,1702252800,40228.3,43810.1,41271.0,620753.439,43833.4
0.023492,0.019239,0.01483,0.00566,1702339200,40711.0,41271.1,41515.0,356541.118,42125.0
0.019741,0.009549,0.019239,0.008749,1702425600,40556.0,41514.9,42875.0,396710.296,43517.6
0.013077,0.011033,0.009549,0.006809,1702512000,41140.0,42875.0,43032.4,361628.325,43450.1
0.025764,0.009994,0.011033,0.004902,1702598400,41668.0,43032.3,41968.0,257177.013,43098.0
0.02433,0.014441,0.009994,0.009994,1702684800,41638.1,41968.0,42287.4,160549.459,42756.7
0.023368,0.014723,0.014441,0.010087,1702771200,41248.3,42287.4,41396.5,224722.851,42476.0
0.018137,0.01024,0.014723,0.008871,1702857600,40553.8,41396.6,42671.7,375385.675,42795.3
0.016683,0.011251,0.01024,0.00862,1702944000,41835.4,42671.8,42298.3,315311.844,43550.0
0.031738,0.02289,0.011251,0.009747,1703030400,42218.3,42298.2,43708.9,377008.923,44384.6
0.041032,0.02575,0.02289,0.019759,1703116800,43317.2,43708.9,43896.3,276922.155,44287.2
0.036335,0.016868,0.02575,0.013581,1703203200,43430.4,43896.4,43999.2,238341.933,44484.0
0.02866,0.010185,0.016868,0.005674,1703289600,43304.2,43999.2,43725.2,120792.199,44023.0
0.024648,0.011844,0.010185,0.009211,1703376000,42550.0,43725.2,43008.4,179967.251,43994.8
0.051711,0.03951,0.011844,0.008675,1703462400,42755.4,43008.4,43611.9,184210.274,43850.0
0.046168,0.034797,0.03951,0.021549,1703548800,41597.0,43611.9,42538.5,295583.678,43635.1
0.05723,0.019904,0.034797,0.01988,1703635200,42145.7,42538.6,43453.8,251351.538,43700.0
0.056693,0.052326,0.019904,0.009863,1703721600,42320.5,43453.8,42600.1,257515.182,43850.0
0.052326,0.032221,0.052326,0.026577,1703808000,41283.2,42600.1,42095.1,337421.865,43171.9
0.043472,0.026972,0.032221,0.023268,1703894400,41550.0,42095.1,42174.2,183890.67,42654.6
0.041339,0.038914,0.026972,0.025845,1703980800,42001.0,42174.3,42314.0,173508.289,42951.0
0.061231,0.061056,0.038914,0.029494,1704067200,42207.9,42314.0,44230.2,206424.144,44266.0
0.100893,0.027288,0.061056,0.027198,1704153600,44200.9,44230.3,44979.8,459798.523,45950.0
0.033706,0.010069,0.027288,0.002636,1704240000,40333.0,44979.7,42849.5,595855.225,45582.3
0.013619,0.006647,0.010069,0.006454,1704326400,42625.0,42849.5,44143.8,333923.098,44840.8
0.009372,0.006629,0.006647,0.005441,1704412800,42300.0,44143.8,44145.4,374967.791,44500.0
0.009966,0.00821,0.006629,0.00632,1704499200,43391.3,44145.3,43956.7,138542.797,44214.6
0.009469,0.005869,0.00821,0.005457,1704585600,43557.5,43956.6,43916.9,180710.714,44486.9
0.017126,0.016343,0.005869,0.005869,1704672000,43158.1,43916.9,46972.7,495087.983,47312.0
0.018519,0.010407,0.016343,0.007988,1704758400,44417.2,46972.6,46114.0,513362.773,48100.0
0.014239,0.010804,0.010407,0.007961,1704844800,44291.5,46113.9,46662.9,668657.474,47699.3
0.020903,0.009348,0.010804,0.006789,1704931200,45600.0,46663.0,46337.8,596698.379,49027.5
0.030902,0.009507,0.009348,0.006447,1705017600,41370.0,46337.9,42788.9,575943.258,46536.2
0.009507,0.006952,0.009507,0.004586,1705104000,42445.7,42789.0,42846.4,207737.326,43273.4
0.01199,0.009982,0.006952,0.005588,1705190400,41713.5,42846.4,41734.9,181096.968,43096.1
0.012539,0.009163,0.009982,0.006196,1705276800,41720.0,41734.9,42515.0,240059.141,43376.0
0.011248,0.008136,0.009163,0.007864,1705363200,42050.0,42515.0,43133.0,287207.233,43589.0
0.011445,0.011374,0.008136,0.005986,1705449600,42200.0,43133.0,42783.4,209396.081,43198.0
0.013182,0.010852,0.011374,0.008406,1705536000,40673.6,42783.3,41323.1,335080.756,42932.3
0.014773,0.01227,0.010852,0.008321,1705622400,40300.0,41323.2,41662.2,345941.73,42197.0
