l,o,c,t,h,low,high,close,volume,open
4337611629,4377797099,4674821809,1603152000,4674821809,11673.0,12045.78,11900.03,312811.802,11744.99
4663138255,4708814182,4939595738,1603238400,5025675284,11876.0,13240.0,12796.07,591963.069,11900.03
4897161757,4950386905,5087290578,1603324800,5093727750,12675.5,13188.27,12968.87,343851.666,12796.06
5032824987,5097821296,5183829155,1603411200,5184717245,12725.04,13043.0,12925.82,237042.526,12970.39
5092460463,5189158864,5290592326,1603497600,5290592326,12871.07,13177.59,13110.88,176146.631,12925.82
5156018394,5346678466,5186989723,1603584000,5437980505,12715.0,13369.0,13023.81,206012.652,13110.88
5169964406,5169964406,5379038030,1603670400,5379038030,12729.0,13240.0,13047.24,316503.296,13024.21
5126222335,5271244199,5471812235,1603756800,5471812235,13041.3,13787.83,13629.38,411509.506,13047.24
5084599129,5522041592,5084599129,1603843200,5554900298,12876.0,13863.0,13256.17,476993.789,13629.89
5079898675,5150530449,5269748831,1603929600,5269748831,12965.0,13637.22,13446.65,355352.336,13255.79
5123804024,5282095066,5186201272,1604016000,5378873156,13100.0,13665.65,13549.12,349890.573,13446.65
5264310694,5266333570,5558997871,1604102400,5579700252,13403.36,14140.0,13783.73,357853.23,13549.12
5497249869,5561039671,5516498823,1604188800,5590807604,13605.9,13891.52,13752.86,198395.231,13783.73
5302782157,5525944575,5370174288,1604275200,5557685769,13195.0,13823.75,13540.54,327991.768,13752.87
5145358743,5395421628,5230526916,1604361600,5404992231,13276.33,14070.0,14016.55,348730.51,13541.55
5094745502,5225326658,5156036531,1604448000,5396584600,13512.0,14280.0,14134.31,451433.42,14016.55
5218432994,5218432994,5725855969,1604534400,5785014549,14088.01,15777.0,15598.75,717489.697,14134.32
5580630875,5728225660,5702300795,1604620800,5757953775,15177.0,15984.2,15590.96,559380.06,15598.74
5651395720,5674454539,5727361099,1604707200,5778189136,14350.0,15774.0,14824.34,457582.681,15590.95
5414452539,5763131263,5597578686,1604793600,5763131263,14710.0,15678.0,15473.2,290616.393,14824.33
5559169815,5612450934,5621107461,1604880000,5788744794,14822.0,15869.0,15328.72,474181.983,15473.2
5576140133,5600151382,5576140133,1604966400,5670236884,15071.0,15474.17,15294.68,244073.495,15328.72
5556674551,5560968004,5904194409,1605052800,5904194409,15274.89,16000.0,15690.24,330772.852,15294.68
5791352446,5928422073,6028782656,1605139200,6078250937,15437.7,16345.0,16289.02,471759.126,15690.24
5990380828,6053471891,5990380828,1605225600,6248993347,15955.6,16479.99,16320.54,306656.359,16289.01
5818926549,5978322557,5908360911,1605312000,5996398607,15700.0,16326.82,16064.51,266206.937,16320.54
5786322864,5892834476,5838212828,1605398400,5892834476,15768.0,16161.23,15952.27,210318.453,16064.51
5813355466,5839472341,6212958403,1605484800,6212958403,15862.0,16882.0,16707.07,342459.329,15951.93
6212584130,6223149474,6344332217,1605571200,6344332217,16550.0,17890.1,17670.01,524094.697,16707.0
6219595887,6416208294,6457462938,1605657600,6605879153,17215.03,18520.0,17788.32,732937.097,17670.01
6334962298,6409668406,6555357646,1605744000,6555357646,17347.27,18200.0,17811.68,406500.977,17788.32
6496093510,6585634329,6917601432,1605830400,6917601432,17748.92,18831.6,18664.31,407926.802,17811.68
6837473063,6957861473,6873365015,1605916800,6962421445,18302.08,18986.0,18721.99,342412.49,18662.85
6897369428,6918984286,6960281481,1606003200,7051141494,17645.98,18780.0,18435.2,373779.417,18721.99
6919117741,6983566459,7208235669,1606089600,7227809963,18013.97,18812.65,18382.07,364221.378,18434.17
6960446816,7244329241,7346884566,1606176000,7346884566,18000.0,19440.0,19179.64,477968.289,18382.07
7168335427,7334874818,7434232634,1606262400,7434232634,18509.12,19554.19,18741.67,426276.99,19178.53
