l,o,c,t,h,high,open,volume,close,low
0.00824397,0.03566062,0.02685226,1610841600,0.03566062,36898.0,36025.65,287686.129,35869.83,33863.5
0.03064543,0.03064543,0.06611207,1610928000,0.07773736,37547.94,35875.72,253386.703,36686.86,34808.47
0.0434015,0.07000603,0.07745391,1611014400,0.1106317,37961.0,36690.0,257889.419,35891.03,35850.0
0.00646065,0.07415092,0.0127613,1611100800,0.07415092,36461.44,35891.74,329192.419,35500.0,33403.0
0.00885067,0.01492429,0.00885067,1611187200,0.0240546,35636.17,35499.23,550562.277,30879.97,30069.9
0.00226379,0.01002235,0.00517045,1611273600,0.01323782,33831.52,30875.77,453568.538,32986.34,28880.0
0.00461131,0.00611173,0.0066303,1611360000,0.01235124,33495.0,32990.08,256776.411,32086.48,31405.0
0.00671477,0.00671477,0.01344232,1611446400,0.02245554,33125.75,32086.48,212107.044,32275.63,30914.2
0.00727646,0.01335525,0.02756335,1611532800,0.04763037,34880.0,32274.88,316687.524,32253.68,31921.47
0.00327885,0.02221747,0.00531478,1611619200,0.02221747,32950.0,32253.68,346861.707,32474.14,30810.0
-0.00494144,0.00514844,0.00024907,1611705600,0.00620326,32562.2,32474.81,431022.839,30381.04,29240.0
-0.0052103,-0.00119812,0.00578533,1611792000,0.01551971,33778.95,30382.96,311528.373,33399.75,29843.33
0.00413445,0.00659769,0.09481852,1611878400,0.13049307,38641.1,33399.99,713579.785,34269.35,31960.0
0.01860756,0.09186442,0.02137247,1611964800,0.09186442,34988.88,34267.04,267861.872,34289.85,32849.06
0.01836364,0.01966266,0.02244659,1612051200,0.02747654,34393.22,34284.76,211293.891,33126.21,32193.04
0.01014795,0.02131436,0.03973324,1612137600,0.04553876,34720.0,33125.11,240632.325,33546.09,32322.47
0.02553019,0.03956451,0.07417526,1612224000,0.08128827,36041.0,33546.08,239856.23,35504.06,33450.0
0.04527267,0.071066,0.05478065,1612310400,0.071066,37700.0,35504.07,240308.078,37652.51,35410.0
0.03526186,0.05582313,0.03696847,1612396800,0.07733511,38833.0,37651.92,306715.022,36976.93,36233.0
0.02749701,0.03791853,0.05174755,1612483200,0.06948714,38411.82,36975.19,196277.444,38362.65,36586.68
0.03844995,0.05705884,0.09309585,1612569600,0.09309585,40992.4,38357.17,310826.315,39249.54,38269.0
0.05744132,0.08720168,0.07546584,1612656000,0.11551171,39757.87,39249.53,296721.925,38849.25,37403.27
0.04803523,0.07576938,0.14246266,1612742400,0.15736961,47146.0,38849.24,440167.093,46451.32,38037.0
0.12156482,0.1436489,0.12156482,1612828800,0.20484747,48266.36,46451.32,381477.426,46492.54,45057.65
0.07948937,0.12086818,0.09104232,1612915200,0.14404667,47475.0,46492.53,334979.017,44850.0,43770.0
0.05982639,0.08869534,0.10982115,1613001600,0.12868729,48810.0,44850.0,330540.045,48060.21,44038.97
0.08621548,0.11393767,0.09887675,1613088000,0.12987029,49278.98,48060.21,259186.288,47361.03,46121.0
0.05968916,0.09399451,0.06166964,1613174400,0.12505304,48290.0,47364.0,199965.397,47221.62,46252.1
0.06195008,0.06431175,0.1523951,1613260800,0.15642931,49875.16,47221.63,241935.666,48655.21,47093.16
0.05502318,0.14502592,0.08850104,1613347200,0.14502592,49100.0,48655.21,248960.404,47981.58,45349.21
0.08617502,0.08617502,0.11427561,1613433600,0.15311556,50953.44,47981.6,343592.011,49197.94,47101.02
0.09535314,0.11692296,0.16379169,1613520000,0.17093969,52800.0,49197.93,312007.458,52194.62,49029.62
0.11305378,0.15824635,0.11379238,1613606400,0.15953365,52640.0,52194.62,185489.89,51619.7,50948.0
0.08425851,0.1116644,0.11472755,1613692800,0.11722374,56582.0,51612.46,257911.872,56004.1,50800.0
0.0512968,0.10870724,0.07970775,1613779200,0.10870724,57699.0,56005.85,240296.308,55917.41,53905.0
0.06746768,0.07749248,0.11539907,1613865600,0.11952394,58472.14,55908.45,196820.573,57487.43,55564.5
0.06258064,0.10821456,0.06258064,1613952000,0.10821456,57591.87,57475.5,480660.187,54121.1,47751.42
0.01083507,0.0627282,0.02020101,1614038400,0.0627282,54260.12,54125.55,748737.462,48930.0,44893.82
0.00974616,0.01991093,0.01263552,1614124800,0.03134928,51435.58,48930.01,333415.219,49702.03,47000.0
0.00842407,0.01097152,0.01844785,1614211200,0.02625508,52134.96,49702.05,349943.016,47089.37,46685.43
0.0078138,0.01889121,0.01762947,1614297600,0.02366754,48438.01,47087.97,440670.32,46313.13,44100.0
0.00738844,0.01958394,0.00738844,1614384000,0.03615047,48476.05,46313.12,256027.074,46102.63,44926.77
0.00517695,0.00893781,0.01659737,1614470400,0.0225257,46678.0,46097.09,370358.825,45163.36,43002.05
0.00569344,0.01579015,0.00916957,1614556800,0.01579015,49800.0,45162.64,315659.931,49592.7,44972.49
0.00845213,0.01230537,0.00921436,1614643200,0.02369019,50221.77,49594.99,273100.435,48450.57,47058.06
0.00798827,0.00798827,0.03181023,1614729600,0.0391928,52681.51,48454.21,350311.234,50373.75,48110.66
