start_time,date,market_premium
2022-05-05,2022-05-05,-25.980163692676214
2022-05-06,2022-05-06,-24.862120554584383
2022-05-09,2022-05-09,-24.859228373146458
2022-05-10,2022-05-10,-25.955736099082095
2022-05-11,2022-05-11,-28.753428649468617
2022-05-12,2022-05-12,-31.613770783753314
2022-05-13,2022-05-13,-27.124927503572927
2022-05-16,2022-05-16,-32.0272038558111
2022-05-17,2022-05-17,-31.310420772890268
2022-05-18,2022-05-18,-30.013842779843184
2022-05-19,2022-05-19,-30.256900309413226
2022-05-20,2022-05-20,-30.478000281161073
2022-05-23,2022-05-23,-31.3743375759715
2022-05-24,2022-05-24,-31.97062807784221
2022-05-25,2022-05-25,-30.08098537220114
2022-05-26,2022-05-26,-29.354993020217147
2022-05-27,2022-05-27,-28.25015407856431
2022-05-31,2022-05-31,-30.085321871488425
2022-06-01,2022-06-01,-29.25819357123772
2022-06-02,2022-06-02,-29.090903523935975
2022-06-03,2022-06-03,-29.714718782333097
2022-06-06,2022-06-06,-30.42308610321518
2022-06-07,2022-06-07,-29.636848159697003
2022-06-08,2022-06-08,-29.976323739489747
2022-06-09,2022-06-09,-30.1071273574002
2022-06-10,2022-06-10,-30.385081716729047
2022-06-13,2022-06-13,-27.68017348838532
2022-06-14,2022-06-14,-29.645852958648433
2022-06-15,2022-06-15,-32.45542100978127
2022-06-16,2022-06-16,-32.26020045638269
2022-06-17,2022-06-17,-33.88960168685512
2022-06-21,2022-06-21,-29.258199795509775
2022-06-22,2022-06-22,-26.65424408815537
2022-06-23,2022-06-23,-29.660621063048787
2022-06-24,2022-06-24,-29.2506746627957
2022-06-27,2022-06-27,-29.299306855940465
2022-06-28,2022-06-28,-29.087644146933155
2022-06-29,2022-06-29,-28.129695546238377
2022-06-30,2022-06-30,-34.47597795775725
2022-07-01,2022-07-01,-31.000500760392956
2022-07-05,2022-07-05,-30.414630571193292
2022-07-06,2022-07-06,-33.57590716045182
2022-07-07,2022-07-07,-30.970402245378835
2022-07-08,2022-07-08,-30.784123550193335
2022-07-11,2022-07-11,-30.106366160156185
2022-07-12,2022-07-12,-31.378892397070928
2022-07-13,2022-07-13,-33.38285585696513
2022-07-14,2022-07-14,-30.762543170692712
2022-07-15,2022-07-15,-28.59847164992676
2022-07-18,2022-07-18,-31.85731870081379
2022-07-19,2022-07-19,-28.63540380855889
2022-07-20,2022-07-20,-27.17273054520288
2022-07-21,2022-07-21,-29.472211735355515
2022-07-22,2022-07-22,-30.69572315681038
2022-07-25,2022-07-25,-29.882855069577573
2022-07-27,2022-07-27,-32.689865361916524
2022-07-28,2022-07-28,-32.4593994842473
2022-07-29,2022-07-29,-32.40151232987783
2022-08-01,2022-08-01,-33.654166972213915
2022-08-02,2022-08-02,-32.989889773288574
2022-08-03,2022-08-03,-30.879602033785968
2022-08-04,2022-08-04,-32.813825848279755
2022-08-05,2022-08-05,-33.68628853196623
2022-08-08,2022-08-08,-30.90541036125614
2022-08-09,2022-08-09,-32.64235112024381
2022-08-10,2022-08-10,-32.14299235051003
2022-08-11,2022-08-11,-31.105129072451685
2022-08-12,2022-08-12,-32.23250975179727
2022-08-15,2022-08-15,-32.05996016346725
2022-08-16,2022-08-16,-31.918539741737384
2022-08-17,2022-08-17,-33.06735400981389
2022-08-18,2022-08-18,-32.109131308306324
2022-08-19,2022-08-19,-30.89382810791857
2022-08-22,2022-08-22,-34.229082564394844
2022-08-23,2022-08-23,-31.642697075284676
2022-08-24,2022-08-24,-30.821334488294102
2022-08-25,2022-08-25,-32.385003551002775
2022-08-26,2022-08-26,-31.941228921943132
2022-08-29,2022-08-29,-32.483197451072364
2022-08-30,2022-08-30,-30.85386845753678
2022-08-31,2022-08-31,-31.95131928943259
2022-09-01,2022-09-01,-33.645145796116005
2022-09-02,2022-09-02,-32.48419782190408
2022-09-06,2022-09-06,-32.10848834107177
2022-09-07,2022-09-07,-33.872042330216736
2022-09-08,2022-09-08,-31.76797753872656
2022-09-09,2022-09-09,-31.47153785238368
2022-09-12,2022-09-12,-31.223970302420135
2022-09-13,2022-09-13,-31.72203030827993
2022-09-14,2022-09-14,-33.45942716259622
2022-09-15,2022-09-15,-33.1189181372935
2022-09-16,2022-09-16,-34.11480365211964
2022-09-19,2022-09-19,-32.60556390520366
2022-09-20,2022-09-20,-32.70893296152024
2022-09-21,2022-09-21,-31.192569137243588
2022-09-22,2022-09-22,-34.077060890327736
2022-09-23,2022-09-23,-36.76823983330498
2022-09-26,2022-09-26,-35.47149321205436
2022-09-27,2022-09-27,-35.12007339811404
2022-09-28,2022-09-28,-34.42368800843919
2022-09-29,2022-09-29,-36.98159059440344
2022-09-30,2022-09-30,-35.97093636095543
2022-10-03,2022-10-03,-35.253220999826915
2022-10-04,2022-10-04,-35.15477872568249
2022-10-05,2022-10-05,-35.16409120772342
2022-10-06,2022-10-06,-34.739652549941106
2022-10-07,2022-10-07,-36.63758855322275
2022-10-11,2022-10-11,-36.137558644482226
2022-10-12,2022-10-12,-36.174389603983606
2022-10-13,2022-10-13,-36.672431959127096
2022-10-14,2022-10-14,-36.52829110869521
2022-10-17,2022-10-17,-36.05031256060516
2022-10-18,2022-10-18,-36.16796250054125
2022-10-19,2022-10-19,-35.81132599246547
2022-10-20,2022-10-20,-35.44183096914626
2022-10-21,2022-10-21,-34.983457986168155
2022-10-24,2022-10-24,-34.788548871379824
2022-10-25,2022-10-25,-33.59404862623747
2022-10-26,2022-10-26,-34.24941171055295
2022-10-27,2022-10-27,-34.65781383015922
2022-10-28,2022-10-28,-36.0813824046304
2022-10-31,2022-10-31,-36.088459146775634
2022-11-01,2022-11-01,-35.86244316983982
2022-11-02,2022-11-02,-36.15833113528291
2022-11-03,2022-11-03,-36.12863022903401
2022-11-04,2022-11-04,-36.72846104642843
2022-11-07,2022-11-07,-36.03085567314207
2022-11-08,2022-11-08,-37.84208043638696
2022-11-09,2022-11-09,-39.6995265230419
2022-11-10,2022-11-10,-40.27266622868822
2022-11-14,2022-11-14,-41.17562206072532
2022-11-15,2022-11-15,-37.42331382651739
2022-11-16,2022-11-16,-39.70517914197115
2022-11-17,2022-11-17,-42.73676396766345
2022-11-18,2022-11-18,-45.406905918478635
2022-11-21,2022-11-21,-42.69079515016176
2022-11-22,2022-11-22,-43.13464062745918
2022-11-23,2022-11-23,-39.291136295867226
2022-11-25,2022-11-25,-40.27175529600229
2022-11-28,2022-11-28,-40.39439964439113
2022-11-29,2022-11-29,-42.213775244929494
2022-11-30,2022-11-30,-42.31526553669374
2022-12-01,2022-12-01,-42.728242332696
2022-12-02,2022-12-02,-42.53980950743944
2022-12-05,2022-12-05,-43.135845579338714
2022-12-06,2022-12-06,-43.91971710293645
2022-12-07,2022-12-07,-47.298545724100485
2022-12-08,2022-12-08,-47.96474621351543
2022-12-09,2022-12-09,-48.70228289019957
2022-12-12,2022-12-12,-48.47390009471134
2022-12-13,2022-12-13,-48.95846443772102
2022-12-14,2022-12-14,-48.35232874444782
2022-12-15,2022-12-15,-47.66205456677976
2022-12-16,2022-12-16,-47.80149138364283
2022-12-19,2022-12-19,-45.86077496429969
2022-12-20,2022-12-20,-47.65302467970919
2022-12-21,2022-12-21,-47.61150250330745
2022-12-22,2022-12-22,-46.95606357470783
2022-12-23,2022-12-23,-45.63756171710508
2022-12-27,2022-12-27,-48.4822136681494
2022-12-28,2022-12-28,-48.385438184074374
2022-12-29,2022-12-29,-47.45847773906745
2022-12-30,2022-12-30,-45.33952194607143
2023-01-03,2023-01-03,-46.13671901633786
2023-01-04,2023-01-04,-45.51729109465923
2023-01-05,2023-01-05,-45.014308733513765
2023-01-06,2023-01-06,-44.0978311620827
2023-01-09,2023-01-09,-38.46142146899705
2023-01-10,2023-01-10,-37.92463729913904
2023-01-11,2023-01-11,-40.15502567479443
2023-01-12,2023-01-12,-38.99803132195442
2023-01-13,2023-01-13,-37.74809491179426
2023-01-17,2023-01-17,-39.2251667986017
2023-01-18,2023-01-18,-42.60178627616299
2023-01-19,2023-01-19,-40.387808317049654
2023-01-20,2023-01-20,-41.10665018425077
2023-01-23,2023-01-23,-41.221103073819506
2023-01-24,2023-01-24,-41.97735373509206
2023-01-25,2023-01-25,-42.401118338770615
2023-01-26,2023-01-26,-41.63286785798032
2023-01-27,2023-01-27,-41.19515719649625
2023-01-30,2023-01-30,-42.84592576108184
2023-01-31,2023-01-31,-42.34946994849972
2023-02-01,2023-02-01,-41.48548482844914
2023-02-02,2023-02-02,-39.57562593187175
2023-02-03,2023-02-03,-42.27907605687652
2023-02-06,2023-02-06,-42.4566802692656
2023-02-07,2023-02-07,-42.602960535202214
2023-02-08,2023-02-08,-43.79939726357743
2023-02-09,2023-02-09,-46.44285372709136
2023-02-10,2023-02-10,-45.829023460069415
2023-02-13,2023-02-13,-47.5799997525169
2023-02-14,2023-02-14,-46.333055400796816
2023-02-15,2023-02-15,-45.06312801179676
2023-02-16,2023-02-16,-44.50354348289758
2023-02-17,2023-02-17,-45.47696332170216
2023-02-21,2023-02-21,-46.62638718306115
2023-02-22,2023-02-22,-47.384108230726504
2023-02-23,2023-02-23,-45.42643030554922
2023-02-24,2023-02-24,-45.67745967520527
2023-02-27,2023-02-27,-46.2477507213702
2023-02-28,2023-02-28,-45.182762321877824
2023-03-01,2023-03-01,-46.44914685511864
2023-03-02,2023-03-02,-46.08619604851019
2023-03-03,2023-03-03,-44.70726853986275
2023-03-06,2023-03-06,-42.2664431659249
2023-03-07,2023-03-07,-36.109026572527526
2023-03-08,2023-03-08,-32.9291549627301
2023-03-09,2023-03-09,-36.25955339914972
2023-03-10,2023-03-10,-38.55197674079635
2023-03-13,2023-03-13,-42.20967681703753
2023-03-14,2023-03-14,-39.719359371863675
2023-03-15,2023-03-15,-39.711273034136184
2023-03-16,2023-03-16,-38.07924568859345
2023-03-17,2023-03-17,-37.94193659335661
2023-03-20,2023-03-20,-36.35542395401542
2023-03-21,2023-03-21,-37.27959635586336
2023-03-22,2023-03-22,-39.16107679234838
2023-03-23,2023-03-23,-37.30350365594298
2023-03-24,2023-03-24,-35.758300063660506
2023-03-27,2023-03-27,-38.17902400914451
2023-03-28,2023-03-28,-36.94912902172259
2023-03-29,2023-03-29,-38.4895368038915
2023-03-30,2023-03-30,-37.86184210796033
2023-03-31,2023-03-31,-36.727781373766355
2023-04-03,2023-04-03,-36.422382665343655
2023-04-04,2023-04-04,-37.63045109540707
2023-04-05,2023-04-05,-36.69464976614568
2023-04-06,2023-04-06,-36.32954492011115
2023-04-10,2023-04-10,-36.30964025890416
2023-04-11,2023-04-11,-35.392415874677006
2023-04-12,2023-04-12,-37.06202612732928
2023-04-13,2023-04-13,-35.78244938669689
2023-04-14,2023-04-14,-36.95125387396948
2023-04-17,2023-04-17,-37.03148232797114
2023-04-18,2023-04-18,-37.810584016815426
2023-04-19,2023-04-19,-37.445268609085545
2023-04-20,2023-04-20,-38.27221604817613
2023-04-21,2023-04-21,-38.53540916338151
2023-04-24,2023-04-24,-39.904327341028534
2023-04-25,2023-04-25,-41.724060164914114
2023-04-26,2023-04-26,-41.4061396359917
2023-04-27,2023-04-27,-38.49909247199511
2023-04-28,2023-04-28,-38.21837502915998
2023-05-01,2023-05-01,-40.04799520682458
2023-05-02,2023-05-02,-37.53801838354536
2023-05-03,2023-05-03,-37.835230632575055
2023-05-04,2023-05-04,-36.70559808798696
2023-05-05,2023-05-05,-37.07443585186743
2023-05-08,2023-05-08,-38.09902944161762
2023-05-09,2023-05-09,-37.396129175737414
2023-05-10,2023-05-10,-38.32141545865814
2023-05-11,2023-05-11,-40.0273793851346
2023-05-12,2023-05-12,-41.24748477312714
2023-05-15,2023-05-15,-39.05025780941751
2023-05-16,2023-05-16,-40.26944931168476
2023-05-17,2023-05-17,-39.52428254391991
2023-05-18,2023-05-18,-40.66795565526798
2023-05-19,2023-05-19,-40.91258209861803
2023-05-22,2023-05-22,-41.648219488587856
2023-05-23,2023-05-23,-41.88287030190874
2023-05-24,2023-05-24,-42.56095687195424
2023-05-25,2023-05-25,-42.59942444961609
2023-05-26,2023-05-26,-42.82156541148539
2023-05-30,2023-05-30,-42.77978131923417
2023-05-31,2023-05-31,-43.632046660821736
2023-06-01,2023-06-01,-42.78400452316841
