start_time,date,fund_flow_ratio
2022-09-15,2022-09-15,0.00565515
2022-09-16,2022-09-16,0.00604258
2022-09-17,2022-09-17,0.00849993
2022-09-18,2022-09-18,0.00497747
2022-09-19,2022-09-19,0.00595559
2022-09-20,2022-09-20,0.00459879
2022-09-21,2022-09-21,0.0059411
2022-09-22,2022-09-22,0.00558217
2022-09-23,2022-09-23,0.00878805
2022-09-24,2022-09-24,0.00553946
2022-09-25,2022-09-25,0.00509574
2022-09-26,2022-09-26,0.00594218
2022-09-27,2022-09-27,0.01135332
2022-09-28,2022-09-28,0.0100248
2022-09-29,2022-09-29,0.00919314
2022-09-30,2022-09-30,0.01197276
2022-10-01,2022-10-01,0.01223495
2022-10-02,2022-10-02,0.00785636
2022-10-03,2022-10-03,0.00748591
2022-10-04,2022-10-04,0.0100056
2022-10-05,2022-10-05,0.00975798
2022-10-06,2022-10-06,0.01351306
2022-10-07,2022-10-07,0.01261552
2022-10-08,2022-10-08,0.00938236
2022-10-09,2022-10-09,0.00569227
2022-10-10,2022-10-10,0.00568962
2022-10-11,2022-10-11,0.00684931
2022-10-12,2022-10-12,0.00666582
2022-10-13,2022-10-13,0.01110266
2022-10-14,2022-10-14,0.01226406
2022-10-15,2022-10-15,0.0104838
2022-10-16,2022-10-16,0.00959516
2022-10-17,2022-10-17,0.01141778
2022-10-18,2022-10-18,0.00943566
2022-10-19,2022-10-19,0.00678928
2022-10-20,2022-10-20,0.01095551
2022-10-21,2022-10-21,0.00991352
2022-10-22,2022-10-22,0.00831293
2022-10-23,2022-10-23,0.00778726
2022-10-24,2022-10-24,0.00976064
2022-10-25,2022-10-25,0.01496086
2022-10-26,2022-10-26,0.01392902
2022-10-27,2022-10-27,0.00961146
2022-10-28,2022-10-28,0.01239006
2022-10-29,2022-10-29,0.0101401
2022-10-30,2022-10-30,0.00889536
2022-10-31,2022-10-31,0.01057044
2022-11-01,2022-11-01,0.01282495
2022-11-02,2022-11-02,0.00952789
2022-11-03,2022-11-03,0.00645281
2022-11-04,2022-11-04,0.00796816
2022-11-05,2022-11-05,0.00861247
2022-11-06,2022-11-06,0.00366353
2022-11-07,2022-11-07,0.00878653
2022-11-08,2022-11-08,0.03175639
2022-11-09,2022-11-09,0.02511042
2022-11-10,2022-11-10,0.02148177
2022-11-11,2022-11-11,0.01485369
2022-11-12,2022-11-12,0.01561299
2022-11-13,2022-11-13,0.01032121
2022-11-14,2022-11-14,0.01753043
2022-11-15,2022-11-15,0.01354895
2022-11-16,2022-11-16,0.01682925
2022-11-17,2022-11-17,0.01982015
2022-11-18,2022-11-18,0.13708331
2022-11-19,2022-11-19,0.01206198
2022-11-20,2022-11-20,0.01169618
2022-11-21,2022-11-21,0.02063627
2022-11-22,2022-11-22,0.02301578
2022-11-23,2022-11-23,0.02874838
2022-11-24,2022-11-24,0.02516865
2022-11-25,2022-11-25,0.01805688
2022-11-26,2022-11-26,0.02440178
2022-11-27,2022-11-27,0.02626135
