start_time,date,open_interest
2023-03-16,2023-03-16,3345367269.3381004
2023-03-17,2023-03-17,3754885282.8413
2023-03-18,2023-03-18,3637929585.2709
2023-03-19,2023-03-19,3965909772.4779
2023-03-20,2023-03-20,3921532434.4982
2023-03-21,2023-03-21,3932202711.672401
2023-03-22,2023-03-22,4052261862.2078
2023-03-23,2023-03-23,3777569148.0921
2023-03-24,2023-03-24,3482849303.9402003
2023-03-25,2023-03-25,3464204649.5032
2023-03-26,2023-03-26,3666422065.0856
2023-03-27,2023-03-27,3469405768.0791
2023-03-28,2023-03-28,3584930886.3371
2023-03-29,2023-03-29,3938295577.0205
2023-03-30,2023-03-30,3648294078.4904
2023-03-31,2023-03-31,3869289951.3117
2023-04-01,2023-04-01,3822326586.3401
2023-04-02,2023-04-02,3758942716.2131
2023-04-03,2023-04-03,3405326182.2637997
2023-04-04,2023-04-04,3540940172.6173
2023-04-05,2023-04-05,3532230437.2987
2023-04-06,2023-04-06,3575399864.0987
2023-04-07,2023-04-07,3656798496.6291
2023-04-08,2023-04-08,3650683441.8829
2023-04-09,2023-04-09,3754477672.8702
2023-04-10,2023-04-10,4427410605.0314
2023-04-11,2023-04-11,4395386545.6238
2023-04-12,2023-04-12,4349415132.7326
2023-04-13,2023-04-13,4377219056.420199
2023-04-14,2023-04-14,3965108733.9117
2023-04-15,2023-04-15,3968866739.548099
2023-04-16,2023-04-16,3931341319.282699
2023-04-17,2023-04-17,3815841093.0631
2023-04-18,2023-04-18,3866511543.1435
2023-04-19,2023-04-19,3628772540.5708
2023-04-20,2023-04-20,3663761587.0053
2023-04-21,2023-04-21,3605394857.5185
2023-04-22,2023-04-22,3737114106.699499
2023-04-23,2023-04-23,3679982450.903
2023-04-24,2023-04-24,3630497787.305
2023-04-25,2023-04-25,3709127852.1626
2023-04-26,2023-04-26,3413647725.8542
2023-04-27,2023-04-27,3683722332.358499
2023-04-28,2023-04-28,3695737466.1024
2023-04-29,2023-04-29,3679833476.378899
2023-04-30,2023-04-30,3626483558.831
2023-05-01,2023-05-01,3650981464.7101
2023-05-02,2023-05-02,3718129170.507
2023-05-03,2023-05-03,3610399080.2608
2023-05-04,2023-05-04,3716654736.4583
2023-05-05,2023-05-05,3916418735.406
2023-05-06,2023-05-06,3657730550.997
2023-05-07,2023-05-07,3641511498.4708
2023-05-08,2023-05-08,3762818525.2908
2023-05-09,2023-05-09,3834983081.5648
2023-05-10,2023-05-10,3618733380.7896
2023-05-11,2023-05-11,3766218800.7382
2023-05-12,2023-05-12,3678557046.236
2023-05-13,2023-05-13,3696602181.6076
2023-05-14,2023-05-14,3719111556.7518
2023-05-15,2023-05-15,3730527531.1638
2023-05-16,2023-05-16,3759193641.9528
2023-05-17,2023-05-17,3783194219.6416
2023-05-18,2023-05-18,3618054958.4396
2023-05-19,2023-05-19,3609952469.9464
2023-05-20,2023-05-20,3668731582.0908
2023-05-21,2023-05-21,3659856739.1555
2023-05-22,2023-05-22,3672803550.663299
2023-05-23,2023-05-23,3712841683.3399
2023-05-24,2023-05-24,3881913492.3549
2023-05-25,2023-05-25,3825354706.0908
2023-05-26,2023-05-26,3690019443.7664
2023-05-27,2023-05-27,3755615457.9112
2023-05-28,2023-05-28,4009570775.407
2023-05-29,2023-05-29,3959115681.8989
2023-05-30,2023-05-30,3953257222.2392
2023-05-31,2023-05-31,3878171467.6332
2023-06-01,2023-06-01,3887615413.6583
2023-06-02,2023-06-02,3921487387.2645
2023-06-03,2023-06-03,3947057419.0727
2023-06-04,2023-06-04,3807899839.1322
2023-06-05,2023-06-05,3920897359.1574
2023-06-06,2023-06-06,3804109522.3071
2023-06-07,2023-06-07,3509072551.616
2023-06-08,2023-06-08,3539047487.8136997
2023-06-09,2023-06-09,3515487869.0093994
2023-06-10,2023-06-10,3459586401.0088
2023-06-11,2023-06-11,3374601464.7395
2023-06-12,2023-06-12,3483969470.8236
2023-06-13,2023-06-13,3490520814.9262004
2023-06-14,2023-06-14,3422293110.5769997
2023-06-15,2023-06-15,3501068519.7717
2023-06-16,2023-06-16,3578985298.599
2023-06-17,2023-06-17,3524535436.8817
2023-06-18,2023-06-18,3522080639.7152004
2023-06-19,2023-06-19,3722883199.193
2023-06-20,2023-06-20,4280167329.3925
2023-06-21,2023-06-21,4389566740.0234995
2023-06-22,2023-06-22,4386946689.7871
2023-06-23,2023-06-23,4381080123.002
