start_time,datetime,exchange_supply_ratio
2021-01-15 09:00:00,2021-01-15 09:00:00,0.0333733
2021-01-15 10:00:00,2021-01-15 10:00:00,0.03340113
2021-01-15 11:00:00,2021-01-15 11:00:00,0.03342049
2021-01-15 12:00:00,2021-01-15 12:00:00,0.0333948
2021-01-15 13:00:00,2021-01-15 13:00:00,0.033382
2021-01-15 14:00:00,2021-01-15 14:00:00,0.03342289
2021-01-15 15:00:00,2021-01-15 15:00:00,0.03337745
2021-01-15 16:00:00,2021-01-15 16:00:00,0.03325434
2021-01-15 17:00:00,2021-01-15 17:00:00,0.03326282
2021-01-15 18:00:00,2021-01-15 18:00:00,0.03336415
2021-01-15 19:00:00,2021-01-15 19:00:00,0.03346379
2021-01-15 20:00:00,2021-01-15 20:00:00,0.0334063
2021-01-15 21:00:00,2021-01-15 21:00:00,0.03341061
2021-01-15 22:00:00,2021-01-15 22:00:00,0.03341037
2021-01-15 23:00:00,2021-01-15 23:00:00,0.03341414
2021-01-16 00:00:00,2021-01-16 00:00:00,0.03338686
2021-01-16 01:00:00,2021-01-16 01:00:00,0.03341046
2021-01-16 02:00:00,2021-01-16 02:00:00,0.03337728
2021-01-16 03:00:00,2021-01-16 03:00:00,0.03334797
2021-01-16 04:00:00,2021-01-16 04:00:00,0.03332438
2021-01-16 05:00:00,2021-01-16 05:00:00,0.03330097
2021-01-16 06:00:00,2021-01-16 06:00:00,0.03330281
2021-01-16 07:00:00,2021-01-16 07:00:00,0.03331945
2021-01-16 08:00:00,2021-01-16 08:00:00,0.03333159
2021-01-16 09:00:00,2021-01-16 09:00:00,0.03336502
2021-01-16 10:00:00,2021-01-16 10:00:00,0.03335616
2021-01-16 11:00:00,2021-01-16 11:00:00,0.03334817
2021-01-16 12:00:00,2021-01-16 12:00:00,0.0333638
2021-01-16 13:00:00,2021-01-16 13:00:00,0.03348279
2021-01-16 14:00:00,2021-01-16 14:00:00,0.0335509
2021-01-16 15:00:00,2021-01-16 15:00:00,0.03358734
2021-01-16 16:00:00,2021-01-16 16:00:00,0.03362624
2021-01-16 17:00:00,2021-01-16 17:00:00,0.03368845
2021-01-16 18:00:00,2021-01-16 18:00:00,0.0337201
2021-01-16 19:00:00,2021-01-16 19:00:00,0.03370624
2021-01-16 20:00:00,2021-01-16 20:00:00,0.03367808
2021-01-16 21:00:00,2021-01-16 21:00:00,0.03367157
2021-01-16 22:00:00,2021-01-16 22:00:00,0.03368853
2021-01-16 23:00:00,2021-01-16 23:00:00,0.03374486
2021-01-17 00:00:00,2021-01-17 00:00:00,0.03372938
2021-01-17 01:00:00,2021-01-17 01:00:00,0.03367948
2021-01-17 02:00:00,2021-01-17 02:00:00,0.03364225
2021-01-17 03:00:00,2021-01-17 03:00:00,0.03361956
2021-01-17 04:00:00,2021-01-17 04:00:00,0.03363731
2021-01-17 05:00:00,2021-01-17 05:00:00,0.03361063
2021-01-17 06:00:00,2021-01-17 06:00:00,0.03358541
2021-01-17 07:00:00,2021-01-17 07:00:00,0.03354394
2021-01-17 08:00:00,2021-01-17 08:00:00,0.03362102
2021-01-17 09:00:00,2021-01-17 09:00:00,0.03366444
2021-01-17 10:00:00,2021-01-17 10:00:00,0.03362753
2021-01-17 11:00:00,2021-01-17 11:00:00,0.03362434
2021-01-17 12:00:00,2021-01-17 12:00:00,0.03364079
2021-01-17 13:00:00,2021-01-17 13:00:00,0.03363816
2021-01-17 14:00:00,2021-01-17 14:00:00,0.03363524
2021-01-17 15:00:00,2021-01-17 15:00:00,0.03367249
2021-01-17 16:00:00,2021-01-17 16:00:00,0.03339209
2021-01-17 17:00:00,2021-01-17 17:00:00,0.03339449
2021-01-17 18:00:00,2021-01-17 18:00:00,0.03337824
2021-01-17 19:00:00,2021-01-17 19:00:00,0.03335838
2021-01-17 20:00:00,2021-01-17 20:00:00,0.03332694
2021-01-17 21:00:00,2021-01-17 21:00:00,0.03350886
2021-01-17 22:00:00,2021-01-17 22:00:00,0.03349794
2021-01-17 23:00:00,2021-01-17 23:00:00,0.03349041
2021-01-18 00:00:00,2021-01-18 00:00:00,0.03350375
2021-01-18 01:00:00,2021-01-18 01:00:00,0.03339774
2021-01-18 02:00:00,2021-01-18 02:00:00,0.03337317
2021-01-18 03:00:00,2021-01-18 03:00:00,0.03332711
2021-01-18 04:00:00,2021-01-18 04:00:00,0.03337049
2021-01-18 05:00:00,2021-01-18 05:00:00,0.03334675
2021-01-18 06:00:00,2021-01-18 06:00:00,0.03336152
2021-01-18 07:00:00,2021-01-18 07:00:00,0.03338773
2021-01-18 08:00:00,2021-01-18 08:00:00,0.03334146
2021-01-18 09:00:00,2021-01-18 09:00:00,0.03334385
2021-01-18 10:00:00,2021-01-18 10:00:00,0.0333112
2021-01-18 11:00:00,2021-01-18 11:00:00,0.03330796
2021-01-18 12:00:00,2021-01-18 12:00:00,0.03341725
2021-01-18 13:00:00,2021-01-18 13:00:00,0.03308622
2021-01-18 14:00:00,2021-01-18 14:00:00,0.03301925
2021-01-18 15:00:00,2021-01-18 15:00:00,0.03303767
2021-01-18 16:00:00,2021-01-18 16:00:00,0.03302706
2021-01-18 17:00:00,2021-01-18 17:00:00,0.03300678
2021-01-18 18:00:00,2021-01-18 18:00:00,0.03302082
2021-01-18 19:00:00,2021-01-18 19:00:00,0.03303533
2021-01-18 20:00:00,2021-01-18 20:00:00,0.03304551
2021-01-18 21:00:00,2021-01-18 21:00:00,0.03300722
2021-01-18 22:00:00,2021-01-18 22:00:00,0.03300736
2021-01-18 23:00:00,2021-01-18 23:00:00,0.0330267
2021-01-19 00:00:00,2021-01-19 00:00:00,0.0330817
2021-01-19 01:00:00,2021-01-19 01:00:00,0.03304379
